rank	username	minecraft:broken/minecraft:diamond_shovel
1	Di_infiri	57
2	CoffeeNoir	48
3	eviltunix	42
4	cedric72	30
5	Enderxz3	27
6	joethahobo	20
7	Skylord_Luke	17
8	HellsSponge	16
9	Franco093	13
9	picardred	13
11	ProfessorBee	9
11	hanaryheatwave	9
13	Kubelz	8
13	AdmiralSmoke	8
15	Xclax101	7
16	gcaisawesome	6
16	noam464	6
16	epiksk8erduck	6
16	SSytex_X	6
16	Hermanni__	6
16	Iamthejo	6
22	pintsizedrogue	5
22	chimpmunker	5
22	BlancoFlaco	5
22	burbankbuilder28	5
22	PigDab	5
27	Alexanderjac	4
27	Groovy_MoonBird	4
27	jacxhadow	4
27	_Dean_123	4
27	Zythose	4
27	Tyrannosplart	4
27	Dakar_	4
27	radioactv_jelly	4
27	FelixPSY375	4
36	RoskobiOne	3
36	bigstankyy	3
36	ItsHydroMC	3
36	Rich_Kat	3
36	GingerNeutron	3
36	mwrty	3
36	WET_WET_WET	3
36	Snowflowe	3
36	F_Uhre	3
36	LeonelSalamanca	3
36	El_Jalapeno	3
36	Groundler	3
36	lordpipe	3
36	RadarHz	3
36	CattSoup	3
51	Mr_Byzantine	2
51	PhantomsGhost_	2
51	jspwn	2
51	SaphLaseer	2
51	KarlKaek	2
51	Gemstuff	2
51	301851	2
51	rarrq	2
51	Euclidoris	2
51	Scathra	2
51	thescout7	2
51	John6970	2
51	Zaridey	2
51	PeteO1995	2
51	ImDisconnected_	2
51	Winklepicker279	2
51	seramalen	2
51	Mattesco	2
51	TheShyPig	2
51	KeruNatsema	2
51	Kim_Jong_eel	2
51	Dan_Scha	2
51	Ajax6	2
51	Akoot_	2
51	wezzzi	2
51	Joestra	2
51	luseis	2
51	AstreaTSS	2
51	Blu3beast	2
51	censorsheep	2
51	BumbleBeever	2
51	Fildyr	2
51	Warlord324	2
51	SUN_DREAM	2
51	lcvezra	2
51	obzii	2
51	Njensen7	2
51	Steelynan	2
51	EcksD	2
51	xolstoi	2
51	trexgb	2
92	Louiis123	1
92	NatalieTW	1
92	Tobinator_007	1
92	_Huge_Male_	1
92	Ganongeek	1
92	Cowison	1
92	Sleek_Storm_721	1
92	Ryan_GEMS	1
92	ExtraDumb	1
92	hm947	1
92	RebelAndroid	1
92	eitanzaki	1
92	the_fireminer	1
92	Batman922	1
92	MoistMicrowave	1
92	Simon_Lowell	1
92	Mahoose	1
92	nocturne78	1
92	Vizzoid	1
92	Prodiginus	1
92	Blackberry1310	1
92	Frxnkz	1
92	Auseawesome	1
92	CliffEmAll	1
92	Zedducius	1
92	BobDeBouwer1337	1
92	MrExplorer	1
92	MinttyFressh	1
92	Cortexia	1
92	zorin123	1
92	noodlepack	1
92	squillz105	1
92	Pineapplesugr	1
92	emrekn	1
92	Xalithia	1
92	ROY4LE	1
92	Stiar	1
92	NoxxxxiS	1
92	Kakolbus	1
92	Ecplosive	1
92	Windo_licker	1
92	yheece	1
92	Doom_melon	1
92	longappendage	1
92	SuperPooch06	1
92	Jonafrog99	1
92	Arceus1975	1
92	ibarker21	1
92	AnnieBathory	1
92	Silvo614	1
92	_Boipl_	1
92	Azmodan_246	1
92	JETrotter	1
92	LilyNova	1
92	Bumpy419	1
92	Inconvenionce	1
92	Voxin2K	1
92	ApophisNova	1
92	The_Cruncy	1
92	dartwaffle	1
92	MousePlays	1
92	MonitorLizards	1
92	zToasty69z	1
92	NormanFetus	1
92	Nicky19	1
92	yulgur1	1
92	audiocracked	1
92	masskedman	1
92	garrykasparow	1
92	Russiancat1	1
92	fkndweeb	1
92	HELLO_I_AM_BEAR	1
92	Darkgon	1
92	JESS_THE_RERE	1
92	Manaateee	1
92	1442	1
92	shrimp_flips	1
92	MightyWertu	1
92	cog	1
92	Racengan	1
92	Toriankel	1
92	SkateboardR6	1
92	ItsJWolff	1
92	Vorlice	1
92	Yahir091	1
92	WyngGoy	1
92	Cocoamallows	1
92	Majonezzon	1
92	Strangemonkey71	1
92	ayamefag	1
92	kyouma777	1
92	SvenskaHugo	1
92	AssFullaCum	1
92	DracZSenpai	1
92	BlankityMcBlank	1
92	starbits140	1
92	__tomato	1
92	tsitrawhy	1
92	_TCARREIRA_	1
92	_i_ERROR_i_	1
92	Rainaldus	1
92	mobunni	1
92	scarletwarrior1	1
92	MyNamaSheff	1
92	Kiki_Majiki	1
92	Powowowow	1
92	Sral7	1
92	Teebone15	1
92	JohnPrice	1
92	Kateesaur	1
92	00000000-0000-0000-0009-01ff0c3e5e4f	1
