rank	username	minecraft:broken/minecraft:iron_helmet
1	cedric72	11
2	ooga47	9
3	Frozil20	8
3	rarrq	8
3	whoaluv	8
6	monky_irl	7
6	Yamdalorian	7
8	Caribouse	6
8	PeteO1995	6
8	Meatlaugh	6
8	jnp_gaming	6
12	livingdaydreams	5
12	Tiberonus	5
12	Paintz	5
12	Kubelz	5
12	thewindmillman	5
12	Deathkob	5
12	Tyrannosplart	5
12	DanTheBuilderino	5
12	Njensen7	5
21	Natty	4
21	Literally_Rat	4
21	cheerytomato	4
21	excelsionprime	4
21	himak1	4
21	noam464	4
21	Kakolbus	4
21	Arceus1975	4
21	sufjanlover	4
21	Dakar_	4
21	FreakGenius	4
21	El_Jalapeno	4
21	MS_Pryxx	4
21	Razzgriz	4
21	Kowcio_	4
21	Skippeh	4
21	WYFYoyo	4
38	H0UNDFRMH3LL	3
38	bigstankyy	3
38	NotMyLucKMC	3
38	BlancoFlaco	3
38	abdomera	3
38	Batman922	3
38	CoffeeNoir	3
38	MOSS000	3
38	Gregward_Smith	3
38	teqilas	3
38	Valoth	3
38	Malorn_Aetherius	3
38	Saucepeh	3
38	_Dean_123	3
38	intropass	3
38	Xalithia	3
38	drunkeeez	3
38	M_Patata	3
38	trixterrx	3
38	AJplaysMC_	3
38	Rumpletaezer	3
38	LovableFemboy	3
38	Boipl	3
38	Corbsman	3
38	BRRRN179	3
38	PaperCanvas	3
38	thgrocks	3
38	Maenara	3
38	Meepcraft	3
38	Avocadogerms	3
38	RedcatVII	3
38	_MeowMix	3
38	MasterNueve	3
38	ZeaBaron	3
38	Vetomo8000	3
38	Kura2218	3
38	xzvu	3
38	ConnorDanky_	3
38	RadarHz	3
38	MelodyGaysharks	3
78	gary_	2
78	pintsizedrogue	2
78	Bandito_Roamer	2
78	Frigzy_	2
78	dudcreeper	2
78	Mowelan	2
78	xyct	2
78	Cowison	2
78	dabloons	2
78	shineh10	2
78	q_wq	2
78	Flex_Tape_Phil	2
78	IronArshXS	2
78	Ryan_GEMS	2
78	Tolhart	2
78	RatatJuice	2
78	Paleshield	2
78	openatheclose	2
78	_AceOfSpace_	2
78	Julmish	2
78	Prismyst	2
78	ShedJr_	2
78	301851	2
78	IgnoredBee	2
78	beeperbeeper5	2
78	Ssor69	2
78	CaracolCxnt	2
78	Tongon	2
78	jushykins	2
78	jacxhadow	2
78	mattybeewrapss	2
78	bloodbiter	2
78	Ravenbie	2
78	AngalexikCZ	2
78	Dali1465	2
78	eviltunix	2
78	DrowsyOracle	2
78	ZeroAbyssTTV	2
78	Winklepicker279	2
78	mariominejedi	2
78	CarltheCuck	2
78	MyNameIsJobo	2
78	DangerGirlArt	2
78	Hyp3rion_	2
78	RyuNeko932000	2
78	LordZacler	2
78	The11thDoctor	2
78	Mattesco	2
78	_Cloverbelle_	2
78	Sharksicle_art	2
78	J4k__	2
78	XeroByMyth	2
78	lizardfightclub	2
78	KliBeast21	2
78	Elastiq	2
78	Akoot_	2
78	Nicky19	2
78	ILoveCarrot	2
78	hoaimi	2
78	_Crimson_Legate	2
78	yulgur1	2
78	TheSeismicDuck	2
78	Vanni9	2
78	Lord_Zacler	2
78	avalan64	2
78	AspenLightVT	2
78	Paul_Katan	2
78	BigCronkin	2
78	QueenShuvi	2
78	_flud	2
78	MightyWertu	2
78	BumbleBeever	2
78	LordAurum	2
78	SkateboardR6	2
78	Lord_Doob	2
78	WyngGoy	2
78	sp00ky_ghost977	2
78	layabout100	2
78	LordSpeed37	2
78	Thunder_bird4337	2
78	Sank34	2
78	Decaying_Lotus	2
78	SvenskaHugo	2
78	IdeallyGrey	2
78	djancak	2
78	MC_Skribble	2
78	miramyu	2
78	stellarjay	2
