rank	username	minecraft:broken/minecraft:wooden_hoe
1	beeperbeeper5	13
2	Groovy_MoonBird	10
3	joethahobo	7
3	Smoke____	7
5	_stets	6
6	TheShyPig	4
6	THEKINGLyric10	4
6	xolstoi	4
9	Merv__	2
9	Jackster03	2
9	shdesolt	2
9	bloodbiter	2
9	wiqor	2
9	benediktine1	2
9	Onennon	2
9	IamCL4SSY	2
9	aldplaysmc	2
9	luseis	2
9	Enderxz3	2
9	DkansK	2
21	_Virify_	1
21	I_Am_Mushkin	1
21	ExtraDumb	1
21	eitanzaki	1
21	Kuragari_	1
21	PhantomBionic	1
21	Sleepy_Time_	1
21	Mimiir345	1
21	xPixelRainx	1
21	DarkFisto	1
21	Dnulgreb	1
21	o0z	1
21	ProfessorBee	1
21	Fullut	1
21	Mariopreeet	1
21	xxPipperDipperxx	1
21	noam464	1
21	xFaiithyX	1
21	Fast_Turtle	1
21	iTurbo	1
21	Bumpy419	1
21	Invisie	1
21	Cattoh	1
21	Hail_the_wombat	1
21	Leyna3	1
21	Lord_Jord	1
21	Gryglu583	1
21	kiluaemc	1
21	EveryonesUncle	1
21	JESS_THE_RERE	1
21	MyNameIsDakar	1
21	HellsSponge	1
21	Tobias0113	1
21	El_Jalapeno	1
21	Blu3beast	1
21	BumbleBeever	1
21	SingedBread	1
21	TheRoboSock	1
21	markaus77	1
21	Yoaty	1
21	Warlord324	1
21	Hisiste	1
21	Spacewardharpy7	1
21	lordpipe	1
21	Smiguli_	1
21	Kura2218	1
21	Pickel_Lord	1
21	YungMaki	1
21	BlankityMcBlank	1
21	djancak	1
21	Soplight	1
21	Moetis	1
21	Drawgirl	1
21	gnyW	1
21	TitanCrafting	1
21	Legendosh	1
21	momis24	1
21	TechnoNinja64	1
21	ThatBurritoTh0	1
21	FishisTTV	1
