rank	username	minecraft:crafted/minecraft:acacia_button
1	beeperbeeper5	803
2	TheWickedBird	512
3	Mattesco	127
4	ImpavidArcher	90
5	500am	64
5	noam464	64
5	StarCookiees_	64
8	MattieHD	63
8	Kowcio_	63
10	Yamdalorian	54
11	Bandito_Roamer	45
12	mimbo1211	40
13	Mahoose	31
14	NameGenerat0r	25
15	Jackattack53	23
16	thewindmillman	22
16	Manaateee	22
18	MeowMeowMcmuffin	21
18	Spacewardharpy7	21
20	duqboy	20
21	legal_tax_evader	19
22	TheKingK_	18
23	Mr_Byzantine	16
24	lordpipe	14
25	AspenLightVT	12
25	HellsSponge	12
27	Groovy_MoonBird	10
28	Merv__	9
28	Steelynan	9
30	PhantomsGhost_	8
30	joethahobo	8
30	Skylord_Luke	8
30	PigDab	8
30	AlexxO_o	8
30	MS_Pryxx	8
30	Soul_Atreus	8
37	Akoot_	7
37	starbits140	7
39	ProfessorDiaper	6
40	abdomera	5
40	CoffeeNoir	5
40	Blackberry1310	5
40	IAmTheWalrus910	5
44	FujiBS	4
44	KarlKaek	4
44	m_be9	4
44	12Magner05	4
44	lorpus	4
44	Tyrannosplart	4
44	Sral7	4
44	skitzxo	4
52	corvidpartyfor6	3
52	ReflexCode	3
52	Groundler	3
52	Ezekson	3
56	CLG_Kata	2
56	Franco093	2
56	mads388a	2
56	ormr_kin	2
56	Moofyman	2
56	FreddyFart	2
56	EveryonesUncle	2
56	pixelviolin	2
56	Soplight	2
65	jushykins	1
65	Scathra	1
65	gamerlord1324	1
65	Kakolbus	1
65	Karetoko	1
65	mariominejedi	1
65	jewbacaman	1
65	El_Jalapeno	1
65	SvenskaHugo	1
65	EcksD	1
65	RoboTramp7865	1
65	Enderxz3	1
