rank	username	minecraft:crafted/minecraft:acacia_planks
1	beeperbeeper5	49358
2	AdmiralSmoke	30520
3	Spacewardharpy7	30312
4	Franco093	11012
5	Steelynan	7492
6	PigDab	6792
7	Mahoose	6540
8	fffMike	6451
9	KarlKaek	6412
10	ApophisNova	5688
10	MyNamaSheff	5688
12	eitanzaki	5079
13	Di_infiri	4916
14	joethahobo	4476
15	PlasticOtari	4228
16	Werbe	4158
17	Elastiq	4004
18	Enderxz3	3696
19	lordpipe	3436
20	YungMaki	3432
21	r123moore	3328
22	Groovy_MoonBird	3211
23	Mattesco	3092
24	hanaryheatwave	2948
25	kalzor	2928
26	Meatlaugh	2902
27	mariominejedi	2884
28	noam464	2748
29	Zaridey	2732
30	Bandito_Roamer	2716
31	Mr_Byzantine	2636
32	xxPipperDipperxx	2630
33	Jackattack53	2600
34	EveryonesUncle	2596
35	Zythose	2560
36	El_Jalapeno	2552
37	Zedducius	2536
38	HellsSponge	2456
39	ProfessorBee	2364
40	TheSeismicDuck	2320
41	youhjjhhhjj	2308
42	Nicky19	2304
43	12Magner05	2260
44	ConnorDanky_	2148
45	Soplight	1958
46	ROY4LE	1864
47	Alteriity	1860
48	TheSecondLord	1840
49	Historical_Sand	1820
50	Ezekson	1800
51	starbits140	1796
52	Soul_Atreus	1748
53	TheShyPig	1740
54	himak1	1668
55	Mowelan	1648
56	Blackberry1310	1644
57	xolstoi	1620
58	Hoid_the_Roamer	1580
59	2Stout	1578
60	Lez_	1556
61	Winklepicker279	1512
61	Onennon	1512
63	Doom_melon	1504
64	ImpavidArcher	1500
65	Frozil20	1448
66	Manaateee	1428
66	Powowowow	1428
68	EMC_	1420
69	lillips	1416
70	tartanboy	1344
71	mihimihimihi	1308
72	lorpus	1276
73	Merv__	1274
74	MadmanRaven	1244
75	Inbefour	1236
76	smogfrog	1172
77	thgrocks	1140
78	legal_tax_evader	1072
79	thewindmillman	1068
80	Blaiku	1036
81	KingMatthew506	1024
82	Sral7	1012
83	m_be9	992
83	4774	992
85	ProfessorDiaper	988
86	jewbacaman	932
87	JESS_THE_RERE	928
88	xX_Stalin69_Xx	920
89	Apollo_993	900
89	h2p_emrld	900
91	T045RTY	896
92	NameGenerat0r	872
92	ReflexCode	872
94	Kowcio_	868
95	gcaisawesome	848
96	pintsizedrogue	836
97	500am	820
98	xzvu	776
99	Lord_Jord	768
100	jessewegottacook	764
101	MoistMicrowave	752
102	set67	742
103	Sheldor097	740
104	dopplexd	732
105	peach0s	728
106	Blu3beast	716
107	Moofyman	694
108	ThePoliteG	680
109	stellarjay	674
110	Nicserso	672
111	kekhon	668
112	Snowflowe	664
113	mawileite	652
114	Hyp3rion_	648
115	AnnieBathory	636
116	EcksD	616
117	Seindi	588
118	FelixPSY375	584
119	Vizzoid	580
120	KlausVonStiglitz	576
121	fade_emerge78823	572
122	KartivGal	564
122	FreddyFart	564
124	Kakolbus	556
125	eiC_	544
125	Malware_Mara	544
127	excelsionprime	532
128	LeeMcGee30	528
129	ChillenChiggen	516
129	Deodorante	516
131	_Huge_Male_	512
131	UMosDiesIrae	512
131	tsitrawhy	512
134	luseis	508
135	Rich_Kat	504
136	RedcatVII	496
137	07shiny	484
137	CattSoup	484
139	corvidpartyfor6	472
140	_Karmaa	464
141	yulgur1	460
142	FreakGenius	452
143	ItsAki_	448
143	IAmTheWalrus910	448
145	Lutres_	444
146	lilsay	440
147	DennyKai	436
148	Barlycorn	428
149	MS_Pryxx	424
150	underscore_2	420
151	Touched_Bread	416
152	Huwulling	412
153	PhantomsGhost_	408
154	TJawesome09	396
154	Legendosh	396
156	Spenduh	392
157	thescout7	386
158	CueMix	380
158	Biites	380
160	xXTheWolfmanXx	376
160	SellyZ	376
162	firesgal3116	372
162	tlustyCZARNY	372
164	Dakar_	368
165	alderban107	364
166	oscminus	356
166	fluddd	356
166	Dreamdbr14	356
169	SpaceGrenadier	352
169	Chuvacevedo	352
171	WyngGoy	344
172	_Panyu_	336
172	Megarboh	336
172	560cool	336
175	SaucyDark	328
176	Quaintster	324
176	csendeslol	324
178	baxteerr	320
178	SvenskaHugo	320
180	slkiey	316
180	claivin	316
182	AgressiveEggdog	312
182	CoffeeNoir	312
182	Hiryu27	312
185	eviltunix	308
186	Euclidoris	304
187	Kynigito	300
188	DarlaMeow	298
189	MyNameIsJobo	296
189	__tomato	296
189	SammiWolfGirl	296
192	King_Pancake1	292
192	Vellu21	292
194	Karetoko	288
195	MousePlays	284
196	Groundler	280
197	Ilinca_Io	278
198	Myrosia	276
198	Ajax6	276
198	duqboy	276
201	Secret_Canary	272
201	mwrty	272
201	Marbz_	272
201	Jimb0nat0r	272
205	Fractured_	268
205	PojkenJesper	268
205	_Ruzeeq_	268
208	bitsplease	264
208	Kubeusz2010	264
210	Moetis	260
211	Hyugo	256
211	prizm_	256
211	pappaberg	256
211	geekbird	256
211	Slapface522	256
216	Inchef	254
217	LeonelSalamanca	252
217	561cool	252
219	MustardDrinker	248
219	Schlitzman	248
221	Tyrannosplart	244
222	SmashingPump	236
222	RatatJuice	236
224	ougstur	232
225	Creativebuilder2	228
225	Bumpy419	228
227	tortillatitan	224
227	Maenara	224
229	Arteriana	220
229	RobotMinion101	220
229	PortlyPete69	220
232	_Nuf	212
233	Ozixar	210
234	Dblikstad	196
234	Toriankel	196
234	Segotep999	196
237	RoboTramp7865	192
238	Swexti	188
239	Toowny	184
239	C0oOK13M0N5T3R	184
239	_3Stump_	184
242	abramgray	180
243	k_ce	176
243	titanlax	176
243	Fullut	176
243	SpacesickPrism	176
247	AJplaysMC_	172
247	Fuad_R	172
249	FujiBS	168
249	TheMilkerOfCats	168
249	Skippeh	168
252	SteveCraftBlocks	164
252	OffWithTheirHead	164
252	ZoomieZoomie	164
255	Krowuss	160
255	_beep_boop	160
257	Alexanderjac	156
257	RebelAndroid	156
257	jushykins	156
257	AlphaWolfPlaysMC	156
261	Factoroni	154
262	SwooshBoi	152
263	KillerNekoRain	150
264	CLG_Kata	148
264	cedric72	148
264	Drawgirl	148
