rank	username	minecraft:crafted/minecraft:birch_button
1	EcksD	527
2	Deerfoot	334
3	YungMaki	322
4	Werbe	256
5	_Dean_123	217
6	Legendosh	214
7	rarrq	213
8	Rasmanden	144
9	500am	141
10	CharlieButt	112
11	AlexxO_o	94
12	PigDab	92
13	beeperbeeper5	74
14	thewindmillman	73
14	TheShyPig	73
16	mwrty	72
16	noam464	72
18	ApophisNova	71
18	MyNamaSheff	71
18	Smoke____	71
21	Hyp3rion_	69
22	EMC_	65
23	WeebleSock	64
23	Zoeyfortnite	64
25	Ezekson	55
26	TheSecondLord	54
27	Lord_Jord	46
28	claivin	36
29	sp00ky_ghost977	32
30	joethahobo	27
31	killmeiamtraitor	26
32	MangoTheFish	25
32	Eczbek	25
34	Mahoose	23
35	HolyVenom	20
36	Soplight	18
37	UCP_TheKingK	16
37	Spenduh	16
39	Blackberry1310	14
39	Freak_Genius	14
41	AlexStrange	13
42	pintsizedrogue	12
42	DC_XII	12
42	PirreJR	12
45	teslawolf38	11
46	eitanzaki	10
46	lordpipe	10
48	SuperPooch06	9
49	IAmTheWalrus910	8
49	PortlyPete69	8
49	Sral7	8
52	_Virify_	7
52	Fildyr	7
54	NotMeanttoChange	6
54	xxPipperDipperxx	6
54	Jackattack53	6
54	HellsSponge	6
54	Groundler	6
54	Optiprimus	6
60	The_Great_Jake	5
60	Winston_Ingram	5
60	Hermanni__	5
63	Mr_Byzantine	4
63	Merv__	4
63	SaucyDark	4
63	Incinere	4
63	JoniDisco	4
63	SoftSix	4
63	RustyKedel	4
63	Di_infiri	4
63	EveryonesUncle	4
63	Deathkob	4
63	The_Skramz	4
74	xPixelRainx	3
74	thescout7	3
74	egglapras	3
74	Shin69	3
78	I_Am_Mushkin	2
78	ivorico	2
78	Myszoaz	2
78	titanlax	2
78	_Nuf	2
78	Jokerman369	2
78	Bolete	2
78	swag_bro2004	2
78	cedric72	2
78	Fuad_R	2
78	The_slideV3	2
78	Leeeegend	2
78	Blu3beast	2
78	BumbleBeever	2
78	bndo	2
78	Sheldor097	2
78	fffMike	2
78	Njensen7	2
78	Nicserso	2
78	Jordan_R	2
98	Elprone266	1
98	dudcreeper	1
98	Tommhh	1
98	Dedalus36	1
98	Zippyzam	1
98	RebelAndroid	1
98	livingdaydreams	1
98	T045RTY	1
98	TheMaster972	1
98	oreee	1
98	Whiterooster001	1
98	Cryptacity	1
98	bloodbiter	1
98	12Magner05	1
98	ProfessorBee	1
98	corvidpartyfor6	1
98	Scathra	1
98	Motsaro	1
98	emrekn	1
98	ROY4LE	1
98	hcb238	1
98	HypixelForums	1
98	prizm_	1
98	Kakolbus	1
98	Giannism	1
98	MyNameIsJobo	1
98	jedi_george	1
98	Hiryu27	1
98	Onennon	1
98	Kynigito	1
98	YahooScreen9000	1
98	Sky_light_KING	1
98	ChrisKyleST3	1
98	420BreadLizard	1
98	LexMakesHistory	1
98	The_Quack_Dealer	1
98	jake314810	1
98	MustaLoordi	1
98	El_Jalapeno	1
98	Nycteus_	1
98	GravitySaint	1
98	Blaiku	1
98	_k2x	1
98	DeGodz4life	1
98	DolphinLaugh	1
98	Spacewardharpy7	1
98	monky_irl	1
98	Eraxa	1
98	Sank34	1
98	SvenskaHugo	1
98	Kowcio_	1
98	lcvezra	1
98	LeeMcGee30	1
98	KingMatthew506	1
98	Steelynan	1
98	MissCeleste7	1
98	Skippeh	1
98	little_dUki	1
98	Lowjinx	1
98	UrbanPlanner1978	1
98	kinas45y5	1
98	00000000-0000-0000-0009-01f898304150	1
