rank	username	minecraft:crafted/minecraft:birch_door
1	BlankityMcBlank	192
2	joethahobo	168
3	noam464	126
4	Kateesaur	93
5	Spacewardharpy7	87
6	Lez_	54
6	Eczbox	54
6	Werbe	54
6	Eczbek	54
10	GingerNeutron	45
10	_Dean_123	45
12	fffMike	42
13	tuckerdoodle	36
13	FreakGenius	36
15	Mr_Byzantine	33
15	shineh10	33
15	picardred	33
15	AdmiralSmoke	33
19	Kirrow	30
19	PortlyPete69	30
19	ZoomieZoomie	30
19	Ezekson	30
23	Soplight	27
24	thewindmillman	21
24	TheShyPig	21
24	Legendosh	21
27	Apollo_993	18
27	Sabby65	18
27	beeperbeeper5	18
27	crying_wolf_13	18
27	EveryonesUncle	18
27	Manaateee	18
33	xxPipperDipperxx	15
33	Bazongoman	15
33	Maenara	15
33	KlausVonStiglitz	15
37	pintsizedrogue	12
37	NatalieTW	12
37	PhantomsGhost_	12
37	KarlKaek	12
37	Wooptey	12
37	ShedJr_	12
37	dopplexd	12
37	titanlax	12
37	kekhon	12
37	eviltunix	12
37	smarticuno	12
37	Kakolbus	12
37	CarltheCuck	12
37	Di_infiri	12
37	Malware_Mara	12
37	SuperPooch06	12
37	Rebytre	12
37	studiousV2	12
37	Kryktal	12
37	Deathkob	12
37	Xclax101	12
37	lordpipe	12
37	Optiprimus	12
37	lcvezra	12
37	cichy096	12
37	MelodyGaysharks	12
63	6king6colt6	9
63	bigstankyy	9
63	gren_ben	9
63	rarrq	9
63	Blackberry1310	9
63	MinttyFressh	9
63	DSYisDizzy	9
63	Arceus1975	9
63	Fast_Turtle	9
63	MustardDrinker	9
63	Mattesco	9
63	Zielo2017PL	9
63	Akoot_	9
63	Pootis11	9
63	Lord_Jord	9
63	yulgur1	9
63	handsome_strong	9
63	KermitTheKripple	9
63	Fuad_R	9
63	MAns_44	9
63	El_Jalapeno	9
63	Groundler	9
63	ProfessorDiaper	9
63	brofrickcheaters	9
63	stellarjay	9
63	SpacesickPrism	9
63	Steelynan	9
63	AltnumberF4	9
91	MunkaKris	6
91	Groovy_MoonBird	6
91	Ailmast	6
91	teslawolf38	6
91	EMC_	6
91	Ryan_GEMS	6
91	BlancoFlaco	6
91	SaucyDark	6
91	eitanzaki	6
91	Mahoose	6
91	jessewegottacook	6
91	heckface	6
91	TheSecondLord	6
91	jacxhadow	6
91	ThePoliteG	6
91	ProfessorBee	6
91	Megarboh	6
91	SoftSix	6
91	Fullut	6
91	NoraTheYandere	6
91	Dali1465	6
91	Eraza	6
91	Guno327	6
91	olliebollie48	6
91	Avrelion	6
91	ZeroAbyssTTV	6
91	RustyKedel	6
91	SirPiccardo	6
91	The11thDoctor	6
91	Truckoss	6
91	F_Uhre	6
91	_Cloverbelle_	6
91	cedric72	6
91	brycepants	6
91	SkyHighSkier	6
91	parodypatient	6
91	JoeSaysBingBong	6
91	HellsSponge	6
91	IAmTheWalrus910	6
91	sp00ky_ghost977	6
91	OPTOMA_KING	6
91	TheEnderMan548	6
91	SvenskaHugo	6
91	Kowcio_	6
91	YungMaki	6
91	HAruSAme14	6
91	Nargotah	6
91	MilleGrug	6
91	Vellu21	6
91	anbbang	6
91	EcksD	6
91	jnp_gaming	6
91	Jimb0nat0r	6
91	diggydog67	6
145	YahooScreen9000	5
145	lizardfightclub	5
147	Lisa_Katrina_17	3
147	maxdacatv2	3
147	emzero	3
147	jjettii	3
147	Travasaur	3
147	Skyler_Diablo	3
147	chipklip	3
147	Sero277	3
147	Paint	3
147	BPTY4618	3
147	PizzaJake	3
147	dabloons	3
147	NibPicker	3
