rank	username	minecraft:crafted/minecraft:birch_stairs
1	Wowful	3192
2	Smoke____	2320
3	Legendosh	1872
4	F_Uhre	1432
5	Blackberry1310	1328
6	Mahoose	1184
7	rarrq	1164
8	TheShyPig	1112
9	beeperbeeper5	1076
10	EveryonesUncle	1048
11	Russiancat1	1024
12	lordpipe	864
13	Lez_	748
14	SuperPooch06	724
15	h2p_emrld	700
16	_Karmaa	672
17	Lord_Jord	664
18	PabloGonza02	580
19	catandmoose	548
20	Kryktal	540
21	CattSoup	516
22	Elastiq	484
23	_Dean_123	436
24	Frozil20	420
25	dendydoom	412
26	EMC_	400
27	joethahobo	348
28	ItzYaBoiPicard	340
29	KarlKaek	336
30	Stiar	328
31	NYJ	324
32	The_slideV3	300
33	ProfessorDiaper	292
34	hanaryheatwave	272
35	CoffeeNoir	268
36	The11thDoctor	252
37	Yatitay	248
38	adeptius	244
39	pixelviolin	236
40	Merv__	228
41	Skyler_Diablo	216
42	fffMike	212
43	Austinizzle	210
44	Mr_Byzantine	208
45	surfinggiraffejp	192
46	Wooptey	188
46	thewindmillman	188
48	pintsizedrogue	184
48	500am	184
48	MangoSalad316	184
51	PizzaJake	172
51	Simon_Lowell	172
53	picardred	168
53	Malorn_Aetherius	168
55	PlasticOtari	156
56	ROY4LE	144
56	MyNameIsJobo	144
56	Arceus1975	144
56	SkyHighSkier	144
60	LetsDoItLive	140
60	tompup	140
62	Adlair	136
62	JESS_THE_RERE	136
64	Ezekson	132
65	ECstardust	128
65	TheSecondLord	128
65	olliebollie48	128
65	Jackattack53	128
65	Skylord_Luke	128
65	ooga47	128
65	Blu3beast	128
65	Soplight	128
73	crying_wolf_13	124
73	lillips	124
75	ImpavidArcher	120
75	MinttyFressh	120
75	SirMinza	120
75	Nostrom	120
75	MyNameIsDakar	120
75	Kowcio_	120
81	Megarboh	116
81	Dali1465	116
83	DBoydart303	112
83	xxPipperDipperxx	112
83	SammiWolfGirl	112
86	Atroxes	108
86	handsome_strong	108
88	kekhon	104
89	WET_WET_WET	100
90	07shiny	96
90	anbbang	96
92	IWorkAtIkea	92
92	InfernalMound	92
92	Jimb0nat0r	92
95	smarticuno	88
95	El_Jalapeno	88
97	_Cloverbelle_	84
97	Steelynan	84
97	ScarmedLeft	84
100	Esme_1	80
100	Marbz_	80
102	Nicky_H225	72
102	stuy9	72
102	Groundler	72
102	Optiprimus	72
102	jnp_gaming	72
102	MelodyGaysharks	72
108	teslawolf38	68
108	Inchef	68
108	Mattesco	68
108	RoofTyler	68
108	FreakGenius	68
113	Di_infiri	64
114	MsBeeMan	60
114	NibPicker	60
114	XboxPanda	60
114	funnyblitz123	60
114	ZeroAbyssTTV	60
114	Hoid_the_Roamer	60
114	SvenskaSara	60
114	Nicserso	60
122	Groovy_MoonBird	56
122	Huwulling	56
122	dopplexd	56
122	thescout7	56
122	Racengan	56
122	xolstoi	56
