rank	username	minecraft:crafted/minecraft:brewing_stand
1	Lez_	1744
2	Jackattack53	963
3	Vorlice	299
4	noam464	281
5	500am	210
6	Hyp3rion_	207
7	diamondgolem35	180
8	Di_infiri	177
9	eitanzaki	138
10	HellsSponge	78
11	Groovy_MoonBird	75
11	thewindmillman	75
13	T045RTY	74
14	Racengan	71
15	Spacewardharpy7	66
16	joethahobo	64
16	_i_ERROR_i_	64
18	AdmiralSmoke	63
19	beeperbeeper5	59
20	Smashic	45
21	SmashingPump	43
22	kekhon	42
22	EveryonesUncle	42
24	SammiWolfGirl	40
25	Mahoose	39
26	luseis	38
27	RebelAndroid	35
27	IamCL4SSY	35
29	mwrty	34
30	TheSecondLord	29
30	GooseWithin	29
30	Eraxa	29
33	pintsizedrogue	27
33	LeauVox4921	27
33	SingedBread	27
33	h2p_emrld	27
37	Blaiku	26
37	Soplight	26
39	bloodbiter	25
39	Snowflowe	25
39	Winston_Ingram	25
42	q_wq	24
42	lillips	24
42	PlasticOtari	24
45	EngagedGrub41	23
46	CollinMH06	21
46	lordpipe	21
46	djancak	21
49	Blu3beast	20
50	RoskobiOne	19
51	Historical_Sand	18
51	tobinwilliams	18
53	Werbe	17
53	Zoeyfortnite	17
55	PhantomsGhost_	16
55	Merv__	16
55	Xclax101	16
58	Felenov	15
58	TechnoNinja64	15
60	r123moore	14
60	yulgur1	14
60	Manaateee	14
63	Frozil20	13
63	gcaisawesome	13
63	ougstur	13
66	Inchef	12
67	EMC_	11
67	rarrq	11
67	Rumpletaezer	11
67	oscminus	11
67	Akoot_	11
67	claivin	11
67	jnp_gaming	11
74	Jovaphobic	10
75	m_be9	9
75	NotMeanttoChange	9
75	GoofyBread	9
75	SvenskaHugo	9
75	ConnorDanky_	9
75	Nicserso	9
81	H0UNDFRMH3LL	8
81	jushykins	8
81	_Dean_123	8
81	4774	8
81	Kakolbus	8
81	F_Uhre	8
81	TheShyPig	8
81	LeonelSalamanca	8
81	pixelviolin	8
90	ProfessorBee	7
90	hanaryheatwave	7
90	Hoid_the_Roamer	7
90	_Karmaa	7
90	fluddd	7
90	THEKINGLyric10	7
90	sp00ky_ghost977	7
90	YungMaki	7
98	6king6colt6	6
98	12Magner05	6
98	Fullut	6
98	walll	6
98	_Bguette_	6
98	starbits140	6
98	__tomato	6
105	ECstardust	5
105	Eraza	5
105	seramalen	5
105	wezzzi	5
105	AlphaWolfPlaysMC	5
105	Fildyr	5
105	33sudo	5
105	stellarjay	5
105	Steelynan	5
105	Skippeh	5
105	Jimb0nat0r	5
116	Alteriity	4
116	Prismyst	4
116	Myszoaz	4
116	jessewegottacook	4
116	Swexti	4
116	titanlax	4
116	Blackberry1310	4
116	crying_wolf_13	4
116	Blazebit	4
116	surfinggiraffejp	4
116	xxPipperDipperxx	4
116	mimbo1211	4
116	prizm_	4
116	Arceus1975	4
116	SaintJosie	4
116	Tyrannosplart	4
116	ReflexCode	4
116	TheNobleOstrich	4
116	Dreamdbr14	4
116	Hermanni__	4
116	2blox_	4
116	calamariclam_I	4
138	Bandito_Roamer	3
138	Sleek_Storm_721	3
138	youhjjhhhjj	3
138	KomputerDude	3
138	MoistMicrowave	3
138	Ssor69	3
138	Malorn_Aetherius	3
138	ratglock	3
138	Covalents	3
138	SuperPooch06	3
138	whoaluv	3
138	Chromary	3
138	Hiryu27	3
138	The_Cruncy	3
138	Onennon	3
138	PigDab	3
138	Lord_Jord	3
138	XxCookiequeenxX	3
138	TheImperial	3
138	SexcMf	3
138	_TCARREIRA_	3
138	Dogcorn69420	3
160	Apollo_993	2
160	PazinGaming	2
160	SlowMoNinja1994	2
160	ivorico	2
160	Euclidoris	2
160	jacxhadow	2
160	wiqor	2
160	lorpus	2
160	ROY4LE	2
160	Paintz	2
160	fallingemma	2
160	SlayerCrypto	2
160	corpsecity	2
160	RobotMinion101	2
160	ooga47	2
160	Kim_Jong_eel	2
160	Maenara	2
160	Elastiq	2
160	ReSynced	2
160	JESS_THE_RERE	2
160	FlashMigma	2
160	Hisiste	2
160	MakeHistory157	2
160	Kowcio_	2
160	lcvezra	2
160	Luigipunch989	2
160	Invintic	2
160	MilleGrug	2
160	skrongus	2
160	WYFYoyo	2
190	k_ce	1
190	Mr_Byzantine	1
190	Froste131	1
190	CLG_Kata	1
190	dudcreeper	1
190	Paint	1
190	BPTY4618	1
190	FujiBS	1
190	KingFaenor	1
190	__lizi	1
190	TooManyDuck	1
190	Tolhart	1
190	RatatJuice	1
190	Ryker	1
190	openatheclose	1
190	livingdaydreams	1
190	SyntheticSurgeon	1
190	Huwulling	1
190	ShedJr_	1
190	ITDV	1
190	H72l9w	1
190	fr0stss	1
190	TheFlfthHorseman	1
