rank	username	minecraft:crafted/minecraft:brick_stairs
1	Steelynan	732
2	burbankbuilder28	688
3	Werbe	592
4	_stets	408
5	Di_infiri	260
6	Merv__	237
7	Jordan_R	214
8	Dedalus36	200
8	Spacewardharpy7	200
10	2Stout	196
11	m_be9	136
12	PlasticOtari	135
13	MyNameIsDakar	111
14	Inchef	106
15	cowgirlkasia	100
16	lcvezra	96
17	Quotary	94
18	joethahobo	92
19	Enderslayerxz3	89
20	El_Jalapeno	88
21	Akoot_	80
21	Nicserso	80
23	ReyTheLegend	78
24	xxPipperDipperxx	68
24	DTwenty	68
24	Frozil12	68
27	stahouo	64
28	Diavri	60
28	Kakolbus	60
28	Freeman666	60
28	Deerfoot	60
32	ImpavidArcher	56
32	Russiancat1	56
34	fkGrim	52
35	Mr_Byzantine	48
36	SpacesickPrism	47
37	EcksDofficial	46
38	Zythose	40
38	SkateboardR6	40
40	Skylord_Luke	36
40	EveryonesUncle	36
42	SingedBread	34
42	Soplight	34
44	KarlKaek	32
44	Jackattack53	32
46	censorsheep	28
47	Mahoose	24
48	Historical_Sand	20
48	EcksD	20
50	Ezekson	18
51	tuckerdoodle	16
51	kekhon	16
51	thewindmillman	16
51	NNikitas	16
51	Roikdean	16
56	Jeteight	14
57	SaucyDark	12
57	Doom_melon	12
57	_naturell	12
57	RodSerlingCringe	12
57	DarkS0L	12
57	Barlycorn	12
57	FGamerJ	12
64	eitanzaki	8
64	SpaceGrenadier	8
64	titanlax	8
64	TheSecondLord	8
64	TheShyPig	8
64	NomadicRobin_	8
64	Jiminbub	8
64	Freak_Genius	8
64	bloomkieren	8
64	cum_chalice	8
74	JohnnyFyes	4
74	teslawolf38	4
74	peach0s	4
74	Myszoaz	4
74	BilboBaggins23	4
74	Awyrlas	4
74	PegLegPete93	4
74	LeauVox4921	4
74	Chromary	4
74	groofles	4
74	Nekomin0	4
85	beeperbeeper5	3
