rank	username	minecraft:crafted/minecraft:campfire
1	Lez_	2216
2	Jackattack53	782
3	luseis	597
4	_Dean_123	520
5	Mahoose	493
6	Manaateee	483
7	Kakolbus	437
8	Steelynan	373
9	EMC_	319
10	Marbz_	313
11	AdmiralSmoke	277
12	SDMNAEK	265
13	Werbe	256
14	500am	250
15	H0UNDFRMH3LL	248
16	anbbang	243
17	EveryonesUncle	226
18	Kowcio_	218
19	PlasticOtari	178
20	ConnorDanky_	175
21	Historical_Sand	173
21	titanlax	173
23	_Huge_Male_	168
24	Hyp3rion_	158
25	pintsizedrogue	152
25	PhantomsGhost_	152
27	diamondgolem35	149
28	excelsionprime	143
29	Megarboh	139
30	thewindmillman	137
30	TheShyPig	137
32	Racengan	134
33	beeperbeeper5	132
34	HellsSponge	129
35	TheSecondLord	124
36	SvenskaHugo	108
37	eitanzaki	103
38	m_be9	101
39	ImpavidArcher	99
40	fkGrim	97
41	Mr_Byzantine	96
42	Inchef	89
43	Groovy_MoonBird	84
44	Rebytre	83
44	Vetral1	83
46	lcvezra	80
47	Merv__	79
48	noam464	77
49	Frozil20	73
50	Euclidoris	71
51	ApophisNova	70
51	MyNamaSheff	70
53	kekhon	69
54	ewpunk	66
55	shadowthemonkey	65
56	SmashingPump	64
57	Cryptacity	63
58	oscminus	62
58	claivin	62
58	lordpipe	62
61	benediktine1	60
62	Lord_Jord	59
63	Blu3beast	58
63	SammiWolfGirl	58
65	CoffeeNoir	56
66	SkateboardR6	55
67	Chromary	54
67	KeruNatsema	54
69	ese_wn_po	53
69	UCP_TheKingK	53
69	SpacesickPrism	53
72	Di_infiri	52
73	Fullut	50
73	EngagedGrub41	50
75	Dblikstad	49
76	Y_A_N_N_I	48
77	LeauVox4921	46
77	Skylord_Luke	46
77	GooseWithin	46
77	AstreaTSS	46
77	WyngGoy	46
82	RyuNeko932000	45
83	Zoeyfortnite	44
84	Smashic	43
85	_Bguette_	42
86	NomadicRobin_	41
87	BronkerBrum	40
88	xxPipperDipperxx	39
88	burbankbuilder28	39
90	Onennon	38
90	Mr_Sun15	38
92	Tommhh	37
92	BobDeBouwer1337	37
92	Meatlaugh	37
92	MAns_44	37
92	Soplight	37
97	IgnoredBee	34
97	Blackberry1310	34
97	12Magner05	34
100	ECstardust	33
100	CarryLine	33
100	starbits140	33
100	PortlyPete69	33
104	rarrq	32
104	hanaryheatwave	32
104	audiocracked	32
104	mihimihimihi	32
104	YungMaki	32
109	ReSynced	30
109	iSammael	30
109	pixelviolin	30
112	Enderxz3	29
112	00000000-0000-0000-0009-01ff0c3e5e4f	29
114	CheifJumbo	26
115	SaltineDream	25
115	bloodbiter	25
117	Pineapplesugr	24
117	XboxPanda	24
117	CharlieButt	24
117	Felenov	24
117	Skippeh	24
122	Ryan_GEMS	23
122	HolyVenom	23
124	q_wq	22
124	Incinere	22
126	PazinGaming	21
126	TheDankPlatypus	21
126	SuperPooch06	21
126	FishyBoy3811	21
126	El_Jalapeno	21
126	Warlord324	21
126	Druid95	21
126	Nicserso	21
134	jnp_gaming	20
135	jacxhadow	19
135	Moofyman	19
135	Legendosh	19
138	Bandito_Roamer	18
138	SaucyDark	18
138	Vizzoid	18
138	M_Patata	18
138	prizm_	18
138	Eczbox	18
138	MasterNueve	18
138	_Mythic____	18
138	Eczbek	18
138	h2p_emrld	18
148	YairZaki	17
148	thescout7	17
148	orxngejuice	17
148	CollinMH06	17
148	HELLO_I_AM_BEAR	17
153	Mattesco	16
153	Shogunite	16
153	PlzNoBM	16
153	BurgerKnight	16
153	ZeroKraken	16
158	Hpdinosaur	15
158	Kamflame10	15
158	MyNameIsJobo	15
158	Snowflowe	15
158	Eraxa	15
163	TheFlfthHorseman	14
163	yheece	14
163	Solar_Power	14
163	Akoot_	14
163	Fuhrer_Teemo	14
163	sp00ky_ghost977	14
169	soundad	13
169	youhjjhhhjj	13
169	Ozixar	13
169	groofles	13
169	FreakGenius	13
169	Quotary	13
175	Ssor69	12
175	ROY4LE	12
175	gcaisawesome	12
175	Winklepicker279	12
175	legal_tax_evader	12
175	masskedman	12
175	Lutres_	12
175	Kubeusz2010	12
175	Jimb0nat0r	12
184	k_ce	11
184	CLG_Kata	11
184	KarlKaek	11
184	RatatJuice	11
184	Auseawesome	11
184	Arceus1975	11
184	JETrotter	11
184	Jimi7hits	11
184	ReflexCode	11
184	OffWithTheirHead	11
184	_3Stump_	11
184	TechnoNinja64	11
184	xolstoi	11
197	6king6colt6	10
197	Sleek_Storm_721	10
197	Pofen	10
197	InfernalMound	10
197	tobinwilliams	10
197	Sorry_Arey	10
197	Deathkob	10
197	The_Skramz	10
197	StinkyDiplomat	10
206	T045RTY	9
206	Huwulling	9
206	jessewegottacook	9
206	Sleepy_Time_	9
206	heckface	9
206	Karetoko	9
206	ooga47	9
206	wezzzi	9
206	DemTechAlpha	9
206	brofrickcheaters	9
216	eviltunix	8
216	Xalithia	8
216	2Stout	8
216	NoxxxxiS	8
216	imcombxt	8
216	Zythose	8
216	epiksk8erduck	8
216	SaintJosie	8
