rank	username	minecraft:crafted/minecraft:chain
1	noam464	6795
2	beeperbeeper5	3096
3	Hyp3rion_	1126
4	Lord_Jord	1118
5	Mattesco	1090
6	gcaisawesome	932
7	pintsizedrogue	911
8	Lez_	859
9	PigDab	800
10	TheSecondLord	781
11	Mahoose	773
12	Kakolbus	737
13	12Magner05	731
14	thewindmillman	716
15	Manaateee	694
16	Blaiku	683
17	FreakGenius	641
18	Kowcio_	620
19	PlasticOtari	586
20	Jackattack53	564
21	Legendosh	544
22	Yamdalorian	543
23	mihimihimihi	537
24	SkateboardR6	500
25	mwrty	481
26	EveryonesUncle	460
27	jacxhadow	443
28	Merv__	441
29	ROY4LE	433
30	Lutres_	415
31	joethahobo	414
32	luseis	405
33	Enderxz3	402
34	Marbz_	358
35	500am	333
36	Werbe	331
37	Frozil20	321
38	TheWickedBird	318
39	Winklepicker279	314
40	ImpavidArcher	312
41	Pumpkin_P_Patch	298
42	TheShyPig	276
43	Inchef	271
44	ECstardust	260
45	SingedBread	257
46	Jimb0nat0r	243
47	Soplight	240
48	burbankbuilder28	231
49	YungMaki	222
50	Steelynan	218
51	SammiWolfGirl	209
52	Mr_Byzantine	201
52	Krowuss	201
54	_Huge_Male_	192
54	StinkyDiplomat	192
56	Spacewardharpy7	191
57	ogoa	189
58	TheDankPlatypus	185
58	EdGalbraith	185
60	Druid95	184
61	ScootOfBoot	179
62	Shogunite	174
63	Quotary	170
64	fragrantmonke444	168
65	Hoid_the_Roamer	160
66	SvenskaHugo	156
67	AlexxO_o	155
68	rarrq	154
69	skitzxo	142
70	Huwulling	139
71	Fullut	138
71	Chromary	138
73	Alteriity	135
74	RoskobiOne	129
75	KarlKaek	128
75	KeruNatsema	128
75	IdeallyGrey	128
78	r123moore	126
79	hanaryheatwave	124
80	Akoot_	120
81	ActualPatbaf	114
82	Historical_Sand	113
83	xxPipperDipperxx	112
84	Blackberry1310	108
85	EngagedGrub41	106
86	PazinGaming	103
86	Fuad_R	103
88	_Dean_123	101
89	Skylord_Luke	98
90	Apollo_993	93
91	PaperCanvas	91
92	Saucepeh	86
93	Megarboh	81
94	non089	80
95	crashomon	74
96	Racengan	67
97	diamondgolem35	64
97	livingdaydreams	64
97	HUNTERmaun	64
100	prizm_	62
100	Jonafrog99	62
102	TheKingK_	61
103	Solar_Power	57
103	wwwwinnebagoooo	57
105	F_Uhre	56
105	SpacesickPrism	56
107	MrExplorer	55
108	Erased_Identity	54
109	drunkeeez	53
110	Dakar_	49
110	_Karmaa	49
110	ElectricDragon81	49
113	Niklas20114552	48
113	ApophisNova	48
113	MyNamaSheff	48
116	djancak	47
117	Flores991	46
117	MattieHD	46
119	CharlieButt	45
120	Zythose	43
121	CalebDHawk	42
121	ZeroKraken	42
123	myaccountwasgone	41
123	Nicserso	41
125	FishyBoy3811	40
126	T045RTY	39
127	shineh10	36
127	Secret_Canary	36
127	Elastiq	36
130	Arceus1975	35
130	Reneedium	35
130	Winston_Ingram	35
133	SpaceGrenadier	34
134	M_Patata	32
134	Deathkob	32
134	lordpipe	32
134	MasterNueve	32
134	EcksD	32
139	Ryan_GEMS	30
139	Moofyman	30
139	pixelviolin	30
139	ZoomieZoomie	30
143	k_ce	28
143	BobDeBouwer1337	28
143	XxCookiequeenxX	28
146	tuckerdoodle	27
146	CoffeeNoir	27
146	bloodbiter	27
149	teslawolf38	26
150	SlayerCrypto	24
150	Snowflowe	24
152	Vorlice	23
153	lorywithay	22
153	SnowyAvi	22
153	MousePlays	22
156	Tommhh	21
156	2Stout	21
158	Myszoaz	19
158	Jekyll	19
158	HellsSponge	19
161	titanlax	18
161	Gzrdy	18
161	GooseWithin	18
161	2blox_	18
165	kekhon	17
165	Awyrlas	17
165	benediktine1	17
165	thebaddruid	17
165	groofles	17
165	MinuteMira	17
165	CattSoup	17
172	TheFlfthHorseman	16
172	Sorry_Arey	16
172	Lord_Doob	16
172	PortlyPete69	16
