rank	username	minecraft:crafted/minecraft:cherry_fence
1	Lez_	750
2	Mattesco	150
3	Mr_Byzantine	123
4	lordpipe	96
5	Alteriity	90
5	icim	90
7	Enderxz3	78
8	oscminus	69
9	Reneedium	57
9	OreTheBear	57
11	StarCookiees_	39
12	Nach0Bear	36
13	Krowuss	30
13	Kowcio_	30
15	bl1ss0	27
16	PazinGaming	24
17	_Huge_Male_	21
18	Napoleonpancake	15
18	pretty_pink_reno	15
20	k_ce	12
20	MattieHD	12
20	Werbe	12
23	Mr_Sun15	6
24	pintsizedrogue	3
24	Merv__	3
24	RebytreGT	3
24	Manaateee	3
24	pixelviolin	3
24	skitzxo	3
