rank	username	minecraft:crafted/minecraft:composter
1	noam464	3303
2	Spacewardharpy7	916
3	thewindmillman	889
4	eitanzaki	870
5	Di_infiri	663
6	PlasticOtari	474
7	EMC_	346
8	Smoke____	321
9	PigDab	308
10	pintsizedrogue	293
11	M_Patata	288
11	MasterNueve	288
13	T045RTY	259
14	Blaiku	258
15	Marbz_	257
16	Werbe	248
17	gcaisawesome	165
18	Hyp3rion_	157
19	Jimi7hits	150
20	EveryonesUncle	136
21	Steelynan	124
22	Mahoose	116
23	Lord_Jord	112
23	HellsSponge	112
25	El_Jalapeno	108
25	Blu3beast	108
27	kekhon	107
28	Inchef	106
29	Freak_Genius	100
30	500am	93
31	ayamefag	85
32	_Virify_	79
33	Merv__	74
34	Awyrlas	68
35	lillips	65
36	emrekn	64
37	beeperbeeper5	54
38	Jackattack53	53
39	DemTechAlpha	50
40	Hpdinosaur	48
40	tuckerdoodle	48
42	Comma__	40
43	PhantomsGhost_	39
43	sp00ky_ghost977	39
45	Blackberry1310	35
46	NotMeanttoChange	34
46	Sral7	34
48	Dan_Scha	31
48	mawileite	31
50	benediktine1	30
51	Cowison	29
51	Snowflowe	29
51	TheShyPig	29
51	Soplight	29
51	Eczbek	29
56	oxfordschool	27
57	12Magner05	24
57	lordpipe	24
59	TooManyDuck	23
59	KeruNatsema	23
61	CoffeeNoir	22
61	loveseeker	22
63	fred870d	21
64	Froste131	18
64	WET_WET_WET	18
64	Winston_Ingram	18
64	Hermanni__	18
64	EcksD	18
69	Drlzyy	17
69	Historical_Sand	17
69	CliffEmAll	17
69	Racengan	17
73	Fullut	16
73	Zythose	16
73	HolyVenom	16
76	Da_Boss_Rani	15
76	The_slideV3	15
78	Jiminie	14
79	q_wq	13
79	RebelAndroid	13
79	Rumpletaezer	13
79	Inbefour	13
79	DanTheBuilderino	13
79	starbits140	13
85	diamondgolem35	12
85	thescout7	12
85	Onennon	12
85	Deathkob	12
85	MightyWertu	12
85	Kowcio_	12
85	YungMaki	12
92	_stets	11
92	Bucscw24	11
92	pixelviolin	11
92	gaming4Naming	11
92	Legendosh	11
97	joethahobo	10
97	Dusk_95	10
97	07shiny	10
97	tsitrawhy	10
97	BreadBacon	10
102	Harotio	9
102	youhjjhhhjj	9
102	dopplexd	9
102	Kakolbus	9
102	audiocracked	9
102	claivin	9
102	Hisiste	9
102	PortlyPete69	9
110	Ozixar	8
110	ProfessorBee	8
110	UncreativeArtist	8
110	SlayerCrypto	8
110	Fast_Turtle	8
110	ClemenPine	8
110	Sky_light_KING	8
117	Prodiginus	7
117	whoaluv	7
117	Arceus1975	7
117	Kim_Jong_eel	7
117	TheSeismicDuck	7
117	Meatlaugh	7
117	BumbleBeever	7
117	Luigipunch989	7
125	Louiis123	6
125	dimondking777	6
125	Hyugo	6
125	Ryker	6
125	Frxnkz	6
125	jacxhadow	6
125	m_be9	6
125	LeauVox4921	6
125	KliBeast21	6
125	_Bguette_	6
125	MAns_44	6
125	Xclax101	6
125	SammiWolfGirl	6
125	TheOuterCore	6
125	JayToe	6
140	Malorn_Aetherius	5
140	TheSecondLord	5
140	_Nuf	5
140	slkiey	5
140	DaviusMaximoose	5
140	Groundler	5
140	Sheldor097	5
140	Ezekson	5
140	TechnoNinja64	5
140	EcksDofficial	5
140	ThatBurritoTh0	5
151	Alteriity	4
151	Natty	4
151	crying_wolf_13	4
151	Jon__Arbuckle	4
151	xxPipperDipperxx	4
151	TheDankPlatypus	4
151	BlueZabu	4
151	Bazongoman	4
151	MyNameIsJobo	4
151	andy_rex	4
151	Jeteight	4
151	Skylord_Luke	4
151	Skomo	4
151	MonitorLizards	4
151	dezxalo	4
151	NomadicRobin_	4
151	DarkS0L	4
151	Fuad_R	4
151	fluddd	4
151	Barlycorn	4
151	Eraxa	4
151	SvenskaHugo	4
151	CattSoup	4
151	Lowjinx	4
175	fanofbands101	3
175	ShedJr_	3
175	nocturne78	3
175	Euclidoris	3
175	Notta	3
175	Cryptacity	3
175	_Dean_123	3
175	Kamflame10	3
175	PegLegPete93	3
175	Xalithia	3
175	John6970	3
175	HoltGrim	3
175	prizm_	3
175	groofles	3
175	RodSerlingCringe	3
