rank	username	minecraft:crafted/minecraft:cyan_dye
1	thewindmillman	100318
2	hanaryheatwave	17282
3	Jackattack53	11192
4	beeperbeeper5	10972
5	ConnorDanky_	9790
6	joethahobo	4854
7	YungMaki	4308
8	Huwulling	2968
9	Marbz_	2800
10	Hyp3rion_	2536
11	PlasticOtari	2312
12	Frozil20	1650
13	lordpipe	1454
14	Inbefour	1372
15	DarlaMeow	1324
16	Ezekson	1022
17	Yamdalorian	850
18	cog	768
19	Fullut	728
20	thescout7	696
21	luseis	681
22	Awyrlas	640
22	Di_infiri	640
24	EngagedGrub41	606
25	_Karmaa	576
26	legal_tax_evader	534
27	xxPipperDipperxx	506
28	PazinGaming	482
29	kekhon	474
30	Sral7	466
31	Rumpletaezer	444
32	Werbe	418
33	rarrq	394
34	Kakolbus	388
35	I_Am_Mushkin	384
35	h2p_emrld	384
37	pintsizedrogue	370
38	TheSecondLord	348
39	noam464	346
40	__tomato	336
41	teslawolf38	330
42	Spacewardharpy7	318
43	Enderxz3	316
44	Blackberry1310	302
45	Zythose	296
46	NameGenerat0r	278
47	ApophisNova	262
47	MyNamaSheff	262
49	Apollo_993	256
49	EdGalbraith	256
49	EveryonesUncle	256
49	emreknugrlu	256
49	stellarjay	256
54	r123moore	250
55	HellsSponge	248
56	TheWickedBird	236
57	Historical_Sand	234
58	TheShyPig	212
58	Syropatathe	212
60	Steelynan	202
61	Kowcio_	198
62	Karbl	192
63	NieToksikpl	176
64	abramgray	174
65	Quotary	168
66	500am	158
67	Snowflowe	148
68	EcksD	144
69	Mattesco	134
70	PhantomsGhost_	128
70	ImpavidArcher	128
70	eitanzaki	128
70	QuiCreans	128
74	Blaiku	126
75	titanlax	110
75	Legendosh	110
77	CoffeeNoir	106
77	epiksk8erduck	106
79	Lez_	104
79	lunkuku	104
81	Merv__	94
82	bl1ss0	82
83	Mahoose	77
84	Iagoku	72
84	monolu	72
86	dopplexd	68
87	Ssor69	66
88	ShedJr_	64
88	audiocracked	64
90	The_slideV3	62
91	AuroraValkyrie	58
92	sp00ky_ghost977	57
93	XxCookiequeenxX	50
93	ZoomieZoomie	50
95	Comma__	44
96	ECstardust	42
96	Xalithia	42
96	Arceus1975	42
99	ibarker21	38
99	KartivGal	38
101	Tersea_	36
101	corpsecity	36
101	QueenShuvi	36
101	skitzxo	36
105	DemTechAlpha	34
106	groofles	32
106	fluddd	32
108	mwrty	30
108	CalebDHawk	30
110	Megarboh	28
111	Druid95	26
111	Skippeh	26
113	SellyZ	24
114	Hiryu27	22
114	WyngGoy	22
116	_Dean_123	20
116	Olib3ar	20
116	TechnoNinja64	20
119	oscminus	18
119	claivin	18
119	annebolyn	18
119	00000000-0000-0000-0009-01ff0c3e5e4f	18
123	heckface	16
123	LeauVox4921	16
123	El_Jalapeno	16
123	bloomkieren	16
127	Mr_Byzantine	14
127	Eraxa	14
127	CattSoup	14
130	corvidpartyfor6	12
130	theonlymagikarp	12
130	Bumpy419	12
130	Groundler	12
134	T045RTY	10
134	Alteriity	10
134	12Magner05	10
134	SuperPooch06	10
138	CLG_Kata	8
138	Hyugo	8
138	Notta	8
138	Zaridey	8
138	King_Pancake1	8
138	SvenskaHugo	8
144	k_ce	6
144	Bandito_Roamer	6
144	Swexti	6
144	MattieHD	6
144	poopybh	6
144	Scathra	6
144	pappaberg	6
144	Krowuss	6
144	Akoot_	6
144	Jiminbub	6
144	Fuhrer_Teemo	6
144	SingedBread	6
144	KingMatthew506	6
157	Ryker	4
157	Saucepeh	4
157	Cryptacity	4
157	Hoid_the_Roamer	4
157	Galactic_Badger	4
157	Shortest_Man	4
157	wezzzi	4
157	LexMakesHistory	4
157	StinkyDiplomat	4
157	FreakGenius	4
157	Fildyr	4
157	Razzgriz	4
157	Pumpkin_P_Patch	4
157	SSytex_X	4
157	Luigipunch989	4
157	mobunni	4
157	Jimb0nat0r	4
174	Groovy_MoonBird	2
174	RebelAndroid	2
174	livingdaydreams	2
174	lorywithay	2
174	Prismyst	2
174	Gregward_Smith	2
174	Da_Boss_Rani	2
174	Euclidoris	2
174	Crowman1	2
174	jushykins	2
174	bloodbiter	2
174	m_be9	2
174	himak1	2
174	whoaluv	2
174	Reneedium	2
174	The11thDoctor	2
174	RobotMinion101	2
174	seramalen	2
174	MousePlays	2
174	Samificator	2
174	ClemenPine	2
174	Luminad3	2
174	yulgur1	2
174	masskedman	2
174	Deathkob	2
174	censorsheep	2
174	Barlycorn	2
174	Hisiste	2
174	iSammael	2
174	pixelviolin	2
174	SammiWolfGirl	2
174	Invintic	2
174	Eczbek	2
