rank	username	minecraft:crafted/minecraft:dark_oak_boat
1	beeperbeeper5	429
2	Groovy_MoonBird	221
3	Werbe	129
4	Lord_Jord	85
5	DarlaMeow	61
6	Legendosh	57
7	censorsheep	56
8	Frozil12	47
9	SingedBread	36
10	djancak	32
11	chipklip	31
12	H72l9w	27
13	pintsizedrogue	26
14	Enderslayerxz3	23
15	Blackberry1310	22
16	KarlKaek	20
17	joethahobo	19
17	Sky_light_KING	19
19	rarrq	18
20	jnp_gaming	17
20	EcksDofficial	17
22	wezzzi	15
22	audiocracked	15
22	OfficerAnvil	15
25	BobDeBouwer1337	14
25	Fullut	14
25	Awyrlas	14
25	SuperPooch06	14
25	Rebytre	14
25	fffMike	14
31	MightyWertu	13
32	m_be9	12
32	Snowflowe	12
32	Jij0	12
35	HellsSponge	11
36	burbankbuilder28	10
36	Hiryu27	10
38	SaucyDark	9
38	xxPipperDipperxx	9
38	Kynigito	9
38	FishyBoy3811	9
38	yulgur1	9
38	Karbl	9
38	Blu3beast	9
38	LeeMcGee30	9
38	oxfordschool	9
47	eitanzaki	8
47	Mahoose	8
47	Euclidoris	8
47	The_slideV3	8
47	Smoke____	8
52	T045RTY	7
52	Russiancat1	7
52	Hisiste	7
52	TheOnlyRake	7
56	teslawolf38	6
56	thescout7	6
56	r123moore	6
56	AnnieBathory	6
56	Groundler	6
56	Eraxa	6
56	SammiWolfGirl	6
56	The_SlideV5	6
64	dudcreeper	5
64	Motsaro	5
64	benediktine1	5
64	Jackattack53	5
64	XxCookiequeenxX	5
64	EveryonesUncle	5
64	Jiminie	5
64	MyNameIsDakar	5
64	UCP_TheKingK	5
64	Soplight	5
64	PlasticOtari	5
75	Merv__	4
75	6king6colt6	4
75	12Magner05	4
75	NotMeanttoChange	4
75	SellyZ	4
75	TheDankPlatypus	4
75	Zythose	4
75	Leyna3	4
75	NomadicRobin_	4
75	Inbefour	4
75	claivin	4
75	__tomato	4
75	_TCARREIRA_	4
75	CalebDHawk	4
75	Steelynan	4
75	2blox	4
75	Sral7	4
75	h2p_emrld	4
93	I_Am_Mushkin	3
93	ImpavidArcher	3
93	RebelAndroid	3
93	TAKrules	3
93	Atroxes	3
93	Notta	3
93	Nicky_H225	3
93	_Dean_123	3
93	Inchef	3
93	ROY4LE	3
93	__TheNorseMan__	3
93	lia1337owo	3
93	MyNameIsJobo	3
93	thewindmillman	3
93	LAVA129	3
93	CranialBlowout	3
93	PigDab	3
93	TheShyPig	3
93	thgrocks	3
93	Maenara	3
93	DTwenty	3
93	ese_wn_po	3
93	linxthesontaran	3
93	avalan64	3
93	NameGenerat0r	3
93	fluddd	3
93	Barlycorn	3
93	Kyrum2169	3
93	stahouo	3
93	PortlyPete69	3
93	Njensen7	3
93	EcksD	3
93	Zoeyfortnite	3
93	JayToe	3
93	FishisTTV	3
93	00000000-0000-0000-0009-01f16526f034	3
129	AuroraValkyrie	2
129	Lukeee33	2
129	dongli	2
129	Incinere	2
129	HavickMC	2
129	FirsTimeGamingTV	2
129	Ozixar	2
129	cowgirlkasia	2
129	ratglock	2
129	Ardennes	2
129	kekhon	2
129	GingerNeutron	2
129	500am	2
129	boog4loo	2
129	set67	2
129	ItzYaBoiPicard	2
129	CharlieButt	2
129	Winklepicker279	2
129	fr_ser	2
129	Hoid_the_Roamer	2
129	SokaOtaku	2
129	ApophisNova	2
129	CruncyIsTaken	2
129	fred870d	2
129	aec9	2
129	stuy9	2
129	XMiner22	2
129	fkGrim	2
129	1442	2
129	Nycteus_	2
129	Warlord324	2
129	Yahir091	2
129	Dusk_95	2
129	TheTommyGun63	2
129	AvaRosey	2
129	Omar_Alone	2
129	Optiprimus	2
129	Pickel_Lord	2
129	voiding_	2
129	Zetsey	2
129	starbits140	2
129	Spenduh	2
129	lcvezra	2
129	xX_Stalin69_Xx	2
129	MyNamaSheff	2
129	Tristankill	2
175	Bandito_Roamer	1
175	King_Wars125	1
175	_NieToksikpl_	1
175	Jalvajar	1
175	MrBeesMan	1
175	TildaAndrea	1
175	Iagoku	1
175	BlancoFlaco	1
175	Spaghettatron	1
175	maliraspberry	1
175	livingdaydreams	1
175	ShedJr_	1
175	MOSS000	1
175	MSK__	1
175	Historical_Sand	1
175	gaziter10	1
175	chlorinex	1
175	Vizzoid	1
175	Hano_Clown	1
175	PoofHairGuy	1
175	CliffEmAll	1
175	Cryptacity	1
175	4383	1
175	TheSecondLord	1
175	Comma__	1
175	YungJakobo	1
175	MinttyFressh	1
175	ProfessorBee	1
