rank	username	minecraft:crafted/minecraft:dark_oak_wood
1	Euclidoris	8454
2	EveryonesUncle	4701
3	M_Patata	2790
4	MasterNueve	2406
5	RoofTyler	2214
6	500am	1191
7	Werbe	1002
8	Frozil20	933
9	Enderxz3	579
10	Mr_Byzantine	567
11	Kowcio_	498
12	SuperPooch06	402
13	PlasticOtari	384
14	00000000-0000-0000-0009-01ff0c3e5e4f	288
15	CalebDHawk	285
16	noam464	258
17	NatrixxddxYT	243
18	The_slideV3	240
19	Rebytre	231
20	Historical_Sand	228
21	ExtraDumb	222
22	Sheldor097	219
23	m_be9	213
24	beeperbeeper5	207
24	rarrq	207
26	Blackberry1310	180
27	_Cloverbelle_	177
28	PigDab	156
29	Touched_Bread	144
29	GlitchyPlate810	144
31	joethahobo	129
32	eitanzaki	123
33	IamCL4SSY	111
34	AlexxO_o	105
35	bigstankyy	96
35	XboxPanda	96
37	ImpavidArcher	90
37	Smoke____	90
39	Merv__	87
40	ConnorDanky_	81
41	h2p_emrld	75
42	diamondgolem35	69
42	luseis	69
44	eviltunix	66
44	pixelviolin	66
46	Mahoose	63
46	Vetral1	63
48	pintsizedrogue	60
48	groofles	60
50	Legendosh	54
51	Sleek_Storm_721	51
51	thewindmillman	51
53	SyK7	48
53	BlancoFlaco	48
53	livingdaydreams	48
53	ProfessorBee	48
53	Typadopoulos	48
58	Inchef	42
59	Bandito_Roamer	36
60	gcaisawesome	33
60	CollinMH06	33
62	jnp_gaming	30
63	NoxxxxiS	27
64	TheShyPig	24
64	Elastiq	24
66	FishyBoy3811	21
67	kekhon	15
67	minersam1	15
67	RohnJosin	15
67	Maenara	15
67	NameGenerat0r	15
67	Nycteus_	15
67	SingedBread	15
74	TheSecondLord	12
74	Fullut	12
74	Purplehere	12
74	avalan64	12
74	Soplight	12
74	Ezekson	12
80	Lez_	9
80	paranoid_plant	9
80	bearlystraight	9
80	Russiancat1	9
80	claivin	9
80	Spacewardharpy7	9
86	lolofied	6
86	rachcl	6
86	Saltymart	6
86	xxPipperDipperxx	6
86	AnnieBathory	6
86	Blaiku	6
86	Groundler	6
86	CornOnTheCobalt	6
86	fffMike	6
86	2bolx_	6
86	MelodyGaysharks	6
86	00000000-0000-0000-0009-01f073f37a91	6
98	xfemboyx	3
98	Esme_1	3
98	Natty	3
98	ShedJr_	3
98	301851	3
98	cheerytomato	3
98	MrExplorer	3
98	Smashic	3
98	Eraza	3
98	r123moore	3
98	Kynigito	3
98	dartwaffle	3
98	Deathkob	3
98	GoofyBread	3
98	HellsSponge	3
98	ReflexCode	3
98	MustaLoordi	3
98	Hisiste	3
98	iSammael	3
98	LordSpeed37	3
98	SvenskaHugo	3
98	MineMaster0012	3
98	UCP_TheKingK	3
98	MilleGrug	3
98	Steelynan	3
