rank	username	minecraft:crafted/minecraft:end_rod
1	Hyp3rion_	15872
2	noam464	3788
3	lordpipe	3604
4	Spacewardharpy7	3328
5	beeperbeeper5	3052
6	xxPipperDipperxx	3000
7	joethahobo	2636
8	m_be9	2560
9	luseis	2212
10	6king6colt6	2116
11	Jackattack53	1876
12	eitanzaki	1784
13	Blaiku	1344
14	Smoke____	1068
15	titanlax	1032
16	Steelynan	1024
17	Ezekson	832
18	Mahoose	796
19	Di_infiri	632
20	sp00ky_ghost977	576
21	Frozil20	512
22	jnp_gaming	496
23	Merv__	484
24	TheSecondLord	456
25	Historical_Sand	384
25	kekhon	384
27	I_Am_Mushkin	360
28	bigstankyy	336
29	TheShyPig	328
30	pintsizedrogue	316
31	UrbanPlanningEx	300
32	Groundler	276
33	MattieHD	260
33	thewindmillman	260
35	teslawolf38	256
35	Lez_	256
35	rarrq	256
35	Inchef	256
35	Xalithia	256
35	mihimihimihi	256
35	SvenskaHugo	256
35	ConnorDanky_	256
43	surfinggiraffejp	252
44	Zoeyfortnite	240
45	Razzgriz	172
46	TheTrueClipse	144
47	Iamthejo	116
48	Nicserso	92
49	Sral7	76
50	SmashingPump	68
51	Incinere	64
51	ROY4LE	64
51	RobotMinion101	64
51	XxCookiequeenxX	64
51	gusstationwerker	64
56	vandmanden	56
57	Fuhrer_Teemo	52
57	2bolx_	52
59	_Huge_Male_	44
59	lillips	44
59	TechnoNinja64	44
62	Arceus1975	36
63	Euclidoris	32
63	Zaridey	32
63	Winklepicker279	32
66	Soplight	28
67	jimintyy	24
68	MyNameIsJobo	20
68	Legendosh	20
70	Alteriity	16
70	claivin	16
70	pixelviolin	16
73	ougstur	12
74	ClemenPine	8
75	RebelAndroid	4
75	Blackberry1310	4
75	Awyrlas	4
75	Zythose	4
75	burbankbuilder28	4
75	Werbe	4
75	mawileite	4
