rank	username	minecraft:crafted/minecraft:flower_banner_pattern
1	vandmanden	67
2	beeperbeeper5	15
3	eitanzaki	9
4	RodSerlingCringe	7
4	WyngGoy	7
6	mobunni	6
7	MilleGrug	5
8	Groovy_MoonBird	3
8	Akoot_	3
8	__tomato	3
11	_Dean_123	2
11	500am	2
11	xxPipperDipperxx	2
11	toj__	2
11	EveryonesUncle	2
11	claivin	2
11	Blaiku	2
11	Ze_BaronKrigler	2
11	Kyrum2169	2
20	RosaDoesMC	1
20	pintsizedrogue	1
20	Bandito_Roamer	1
20	MixerDixer	1
20	strongman951753	1
20	Drlzyy	1
20	teslawolf38	1
20	shineh10	1
20	Dedalus36	1
20	ewsophie	1
20	Reamdin	1
20	joethahobo	1
20	H72l9w	1
20	Historical_Sand	1
20	rarrq	1
20	Blackberry1310	1
20	Cryptacity	1
20	BobDeBouwer1337	1
20	MrExplorer	1
20	Fullut	1
20	Inchef	1
20	ROY4LE	1
20	r123moore	1
20	Touched_Bread	1
20	M_Patata	1
20	Kakolbus	1
20	valiSW	1
20	MyNameIsJobo	1
20	SuperPooch06	1
20	Arceus1975	1
20	thewindmillman	1
20	Zythose	1
20	burbankbuilder28	1
20	AnnieBathory	1
20	Hiryu27	1
20	ItsAki_	1
20	ApophisNova	1
20	Werbe	1
20	RobotMinion101	1
20	Onennon	1
20	TheShyPig	1
20	Lord_Jord	1
20	NomadicRobin_	1
20	gustarbite	1
20	chipklip	1
20	Fuad_R	1
20	_Karmaa	1
20	StinkyDiplomat	1
20	censorsheep	1
20	Xclax101	1
20	Spacewardharpy7	1
20	Dusk_95	1
20	MasterNueve	1
20	Optiprimus	1
20	Kowcio_	1
20	YungMaki	1
20	Soplight	1
20	stellarjay	1
20	Western_1	1
20	Kubeusz2010	1
20	Skippeh	1
20	oxfordschool	1
20	MyNamaSheff	1
20	Enderslayerxz3	1
20	Legendosh	1
20	Sral7	1
