rank	username	minecraft:crafted/minecraft:golden_leggings
1	TheShyPig	25
2	Hyp3rion_	21
3	Lez_	19
4	thewindmillman	18
5	TheSecondLord	17
5	lillips	17
7	luseis	12
8	Blackberry1310	9
9	TechnoNinja64	8
10	tsohomie	7
11	LeauVox4921	6
12	Zaridey	5
12	Katsuragi0243218	5
14	Mahoose	4
14	joethahobo	4
14	Inchef	4
14	HellsSponge	4
14	GravitySaint	4
14	mihimihimihi	4
14	djancak	4
14	Smoke____	4
22	SuperPooch06	3
22	ApophisNova	3
22	wezzzi	3
22	Racengan	3
22	KingMatthew506	3
22	MyNamaSheff	3
22	Enderxz3	3
29	pintsizedrogue	2
29	Groovy_MoonBird	2
29	teslawolf38	2
29	beeperbeeper5	2
29	Vizzoid	2
29	MinttyFressh	2
29	Fullut	2
29	_Magdo_	2
29	himak1	2
29	noam464	2
29	selectrix	2
29	Akoot_	2
29	Nicky19	2
29	ebanana	2
29	ReflexCode	2
29	monky_irl	2
29	iSammael	2
29	Eraxa	2
29	Soplight	2
29	stellarjay	2
29	Poppy235	2
29	GlitchyPlate810	2
29	Kferno	2
29	Njensen7	2
29	Ezekson	2
29	EcksD	2
29	MelodyGaysharks	2
56	Tobinator_007	1
56	JohnnyFyes	1
56	FazeObama69	1
56	Merv__	1
56	Esme_1	1
56	ImpavidArcher	1
56	BlancoFlaco	1
56	SaucyDark	1
56	TooManyDuck	1
56	Incinere	1
56	T045RTY	1
56	AlazelTheReal	1
56	ShedJr_	1
56	H72l9w	1
56	Historical_Sand	1
56	Whiterooster001	1
56	ratglock	1
56	jacxhadow	1
56	Ardennes	1
56	zorin123	1
56	500am	1
56	thescout7	1
56	Awyrlas	1
56	orxngejuice	1
56	PegLegPete93	1
56	Cellcorgi649	1
56	r123moore	1
56	Paintz	1
56	Matek_	1
56	platinumzero	1
56	NotoriousNina	1
56	Windo_licker	1
56	gabriels543	1
56	Di_infiri	1
56	hanaryheatwave	1
56	Zythose	1
56	burbankbuilder28	1
56	BasedEphex	1
56	Werbe	1
56	wrinkledpiglet	1
56	cedric72	1
56	jewbacaman	1
56	TeenMomTom	1
56	YahooScreen9000	1
56	sxc_	1
56	AlphaWolfPlaysMC	1
56	Gab4101	1
56	Deathkob	1
56	rotten_mango	1
56	NameGenerat0r	1
56	MangoSalad316	1
56	FlashMigma	1
56	SwooshBoi	1
56	Xclax101	1
56	Fildyr	1
56	THEKINGLyric10	1
56	Spacewardharpy7	1
56	lordpipe	1
56	Dusk_95	1
56	sp00ky_ghost977	1
56	Kura2218	1
56	Kowcio_	1
56	UCP_TheKingK	1
56	SammiWolfGirl	1
56	CoryJJ	1
56	Nargotah	1
56	laron58	1
56	ConnorDanky_	1
56	HesDemonPants	1
56	Kiki_Majiki	1
56	PlasticOtari	1
56	Biites	1
56	xolstoi	1
56	JayToe	1
56	WinterYoke	1
56	00000000-0000-0000-0009-01f570995a20	1
