rank	username	minecraft:crafted/minecraft:gray_bed
1	PlasticOtari	267
2	Manaateee	171
3	Segotep999	134
4	TheOuterCore	59
5	pixelviolin	54
6	SmashingPump	53
7	teslawolf38	32
8	Shogunite	24
9	shineh10	22
10	Ryan_GEMS	19
11	Di_infiri	17
12	pintsizedrogue	16
12	joethahobo	16
12	500am	16
12	Tyrannosplart	16
12	alkrie	16
17	nocturne78	14
17	Soplight	14
19	Lez_	13
19	non089	13
21	openatheclose	12
21	Chickenchaser2	12
21	starbits140	12
24	k_ce	11
24	XxCookiequeenxX	11
26	RoskobiOne	9
26	Mahoose	9
26	ogoa	9
29	Historical_Sand	7
29	Rumpletaezer	7
31	FreakGenius	6
32	Merv__	5
32	eiC_	5
32	EveryonesUncle	5
32	Fuad_R	5
32	Hermanni__	5
37	TheShyPig	4
37	fkGrim	4
37	_Karmaa	4
37	El_Jalapeno	4
37	sp00ky_ghost977	4
37	Shin69	4
37	IdeallyGrey	4
44	beeperbeeper5	3
44	MonitorLizards	3
44	SaintJosie	3
47	squigglybones	2
47	ECstardust	2
47	Prismyst	2
47	Cryptacity	2
47	kekhon	2
47	JETrotter	2
53	Lepthymo	1
53	MuffinManzz	1
53	Apollo_993	1
53	PazinGaming	1
53	ImNotYuqii	1
53	SaucyDark	1
53	Raltemoxitonica	1
53	Reamdin	1
53	Ozixar	1
53	picardred	1
53	TheSecondLord	1
53	ABUSNA1996	1
53	Cambo5000	1
53	Scathra	1
53	mwrty	1
53	Xalithia	1
53	noam464	1
53	legal_tax_evader	1
53	Doom_melon	1
53	hanaryheatwave	1
53	Hyp3rion_	1
53	Werbe	1
53	Kouridragon	1
53	Onennon	1
53	F_Uhre	1
53	Drewen24	1
53	lizardfightclub	1
53	Leyna3	1
53	IamCL4SSY	1
53	gustarlep	1
53	Inbefour	1
53	Lord_Zacler	1
53	Toowny	1
53	Dakar_	1
53	DubDoesGams	1
53	Blaiku	1
53	ElectricDragon81	1
53	SvenskaHugo	1
53	ReyTheLegend	1
53	djancak	1
53	__tomato	1
53	Spenduh	1
53	Deguns123	1
53	ZoomieZoomie	1
53	EngagedGrub41	1
53	EcksD	1
53	BreadBacon	1
53	Oxygen16	1
53	Zoeyfortnite	1
53	FishisTTV	1
53	diggydog67	1
