rank	username	minecraft:crafted/minecraft:ladder
1	thewindmillman	11761
2	HellsSponge	3105
3	joethahobo	2772
4	beeperbeeper5	2592
5	Smoke____	1899
6	Di_infiri	1149
7	Werbe	1065
8	cedric72	963
9	Frozil12	921
10	pintsizedrogue	786
11	Legendosh	774
12	TheShyPig	738
13	Bumpy419	675
14	_Dean_123	636
15	EveryonesUncle	627
16	SlayerCrypto	561
17	EMC_	549
18	YungMaki	537
19	Mahoose	522
20	Lord_Jord	498
21	El_Jalapeno	483
21	lordpipe	483
21	SvenskaHugo	483
24	Njensen7	462
25	Onennon	459
26	rarrq	447
27	xxPipperDipperxx	431
28	Enderslayerxz3	417
29	eviltunix	405
30	MustaLoordi	402
31	Skylord_Luke	399
32	noam464	393
33	Blackberry1310	384
34	thescout7	363
34	Kakolbus	363
36	tuckerdoodle	354
37	Nycteus_	351
38	burbankbuilder28	348
39	Paint	336
39	bigstankyy	336
39	Toriankel	336
42	Freak_Genius	327
43	Zythose	318
44	kekhon	315
45	teslawolf38	312
46	nut_e	306
47	djancak	300
48	Soplight	297
49	Groovy_MoonBird	291
50	ImpavidArcher	285
51	500am	281
52	SaucyDark	279
53	Fuhrer_Teemo	276
54	Hyp3rion_	270
54	cichy096	270
56	Vorlice	267
57	Rebytre	253
58	set67	252
59	Menthas	249
59	Drlzyy	249
59	fffMike	249
62	Mewar	246
62	Racengan	246
64	Comma__	240
64	PlasticOtari	240
66	alderban107	237
67	Aezekial	234
68	_TCARREIRA_	231
69	Fullut	228
69	fred870d	228
69	Cocoamallows	228
72	_8man	222
73	KarlKaek	216
73	TheOnlyRake	216
75	Logain42	213
75	trexgb	213
77	Historical_Sand	210
78	sp00ky_ghost977	207
79	NomadicRobin_	204
79	BlankityMcBlank	204
79	TechnoNinja64	204
82	oxfordschool	201
83	Inchef	198
83	Maenara	198
83	PortlyPete69	198
86	Lukeee33	195
87	2xil2	189
88	loveseeker	183
89	SaltineDream	182
90	eiC_	180
90	John6970	180
90	Warlord324	180
90	sebastiensaborio	180
94	m_be9	177
95	_stets	171
95	smogfrog	171
97	Z3braYTIL	169
98	boog4loo	168
98	gabriels543	168
100	Laykon	165
101	KingMatthew506	162
101	Rainaldus	162
103	abramgray	159
103	carpet4_69	159
103	kinas45y5	159
106	DanTheBuilderino	156
106	Barlycorn	156
106	cytotoxaint	156
109	BodaciousCake	153
109	Eraxa	153
109	mawileite	153
112	Megarboh	150
112	mwrty	150
112	ROY4LE	150
112	lcvezra	150
116	Tommhh	147
116	selectrix	147
118	wiqor	144
118	RobotMinion101	144
