rank	username	minecraft:crafted/minecraft:light_blue_banner
1	_Dean_123	219
2	beeperbeeper5	174
3	Akoot_	92
4	rarrq	76
5	12Magner05	73
6	oxfordschool	56
7	ShedJr_	55
8	Zythose	51
9	500am	47
10	Ezekson	38
11	Arceus1975	32
12	Drlzyy	30
13	EveryonesUncle	28
14	LexMakesHistory	26
15	pintsizedrogue	25
16	diamondgolem35	22
17	Mahoose	21
18	Werbe	20
18	AssEatrAndLicker	20
20	kekhon	18
20	noam464	18
22	TheShyPig	17
22	sebastiensaborio	17
24	claivin	12
25	CarltheCuck	7
26	Blackberry1310	6
27	ROY4LE	5
27	M_Patata	5
27	Snowflowe	5
27	MasterNueve	5
31	Groundler	4
32	pixelviolin	3
33	Merv__	2
33	Gundam_Steven	2
33	jushykins	2
33	Fullut	2
33	mariominejedi	2
33	NomadicRobin_	2
33	stahouo	2
33	Legendosh	2
33	EcksDofficial	2
33	JayToe	2
43	SaucyDark	1
43	hm947	1
43	titanlax	1
43	m_be9	1
43	MattieHD	1
43	Stiar	1
43	Hoid_the_Roamer	1
43	audiocracked	1
43	HellsSponge	1
43	SSytex_X	1
43	Nicserso	1
43	Smoke____	1
