rank	username	minecraft:crafted/minecraft:light_gray_stained_glass_pane
1	Legendosh	2880
2	Winklepicker279	2192
3	Lord_Jord	1472
4	EMC_	1184
5	HellsSponge	1160
6	joethahobo	1040
7	TheShyPig	1032
8	Werbe	1024
9	beeperbeeper5	893
10	Marbz_	800
11	Mahoose	752
12	PlasticOtari	696
13	ImpavidArcher	608
14	MattieHD	512
15	EcksDofficial	448
16	M_Patata	416
17	Mattesco	368
17	MasterNueve	368
19	Merv__	352
20	500am	336
21	The_Quack_Dealer	320
21	jnp_gaming	320
23	Jackattack53	288
24	Optiprimus	272
25	Cowison	224
25	lillips	224
27	jacxhadow	192
28	Groundler	184
29	Eraxa	176
30	pintsizedrogue	168
31	Malorn_Aetherius	160
31	ImDisconnected_	160
33	titanlax	144
34	ProbablyNick	128
34	Historical_Sand	128
34	rarrq	128
34	Fullut	128
34	Skippeh	128
39	TheSecondLord	112
39	Soplight	112
41	Frozil12	96
42	Donutt	80
42	MangoSalad316	80
42	El_Jalapeno	80
42	oxfordschool	80
46	epiksk8erduck	64
46	Eerini	64
46	Zoeyfortnite	64
46	00000000-0000-0000-0009-01ff0c3e5e4f	64
50	noam464	48
50	groofles	48
50	Sky_light_KING	48
50	Blaiku	48
50	MakeHistory157	48
50	Quotary	48
56	Groovy_MoonBird	32
56	T045RTY	32
56	Blackberry1310	32
56	Inchef	32
56	eiC_	32
56	gabriels543	32
56	Di_infiri	32
56	pappaberg	32
56	Rebytre	32
56	Onennon	32
56	Jiminie	32
56	lordpipe	32
56	lcvezra	32
69	Hpdinosaur	24
69	Smashic	24
71	Bandito_Roamer	16
71	m_be9	16
71	Chromary	16
71	Rumpletaezer	16
71	Arceus1975	16
71	King_Pancake1	16
71	MonitorLizards	16
71	XxCookiequeenxX	16
71	MAns_44	16
71	Spacewardharpy7	16
71	SammiWolfGirl	16
71	Steelynan	16
71	Hermanni__	16
71	Freedrik	16
85	livingdaydreams	8
85	IWorkAtIkea	8
85	thescout7	8
85	cedric72	8
85	Luminad3	8
