rank	username	minecraft:crafted/minecraft:light_weighted_pressure_plate
1	Hyp3rion_	3109
2	Kowcio_	3070
3	Jackattack53	860
4	YungMaki	553
5	thewindmillman	412
6	NameGenerat0r	178
7	noam464	168
8	Historical_Sand	130
9	eitanzaki	64
10	Smoke____	59
11	Frozil12	35
12	HellsSponge	22
13	Jovaphobic	18
14	oxfordschool	10
15	TheShyPig	9
15	Groundler	9
15	Soplight	9
18	thescout7	8
18	Kynigito	8
20	cichy096	6
21	SaucyDark	5
21	Mahoose	5
21	CliffEmAll	5
21	fade_emerge78823	5
25	censorsheep	4
25	Spacewardharpy7	4
27	12Magner05	3
27	mwrty	3
29	Bandito_Roamer	2
29	beeperbeeper5	2
29	Mewar	2
29	Kubelz	2
29	mimbo1211	2
29	Bumpy419	2
29	NomadicRobin_	2
29	Quincannon	2
29	DanTheBuilderino	2
38	_Virify_	1
38	nataliecool	1
38	dabloons	1
38	SlowMoNinja1994	1
38	Sleek_Storm_721	1
38	Gundam_Steven	1
38	Huwulling	1
38	ivorico	1
38	urbeans	1
38	Cryptacity	1
38	ROY4LE	1
38	r123moore	1
38	Bazongoman	1
38	Di_infiri	1
38	Parcc	1
38	domagawha	1
38	Werbe	1
38	Leyna3	1
38	Akoot_	1
38	TheTrueClipse	1
38	audiocracked	1
38	valkam13	1
38	1442	1
38	Hisiste	1
38	MovingFish7	1
38	OG_Songsee	1
38	sp00ky_ghost977	1
38	Eraxa	1
38	SvenskaHugo	1
38	pixelviolin	1
38	Njensen7	1
38	Hermanni__	1
38	EcksD	1
38	JayToe	1
