rank	username	minecraft:crafted/minecraft:moss_carpet
1	thewindmillman	3089
2	EMC_	2421
3	joethahobo	1707
4	pintsizedrogue	1431
5	Lez_	1266
6	Jiminie	504
7	Hyp3rion_	417
8	Jimi7hits	363
9	Enderslayerxz3	357
10	500am	258
11	Alteriity	204
12	PlasticOtari	192
13	beeperbeeper5	126
14	Kowcio_	123
15	SquadMonster	96
15	Rebytre	96
17	Tommhh	72
18	WYFYoyo	57
19	wwwwinnebagoooo	48
19	Steelynan	48
21	dartwaffle	39
22	Skylord_Luke	33
22	StinkyDiplomat	33
24	Smoke____	30
25	PigDab	24
25	Legendosh	24
27	groofles	21
28	orxngejuice	18
29	SuperPooch06	12
30	regulator75	9
31	Inchef	6
31	noam464	6
31	Soplight	6
