rank	username	minecraft:crafted/minecraft:netherite_ingot
1	EcksD	5280
2	thewindmillman	781
3	Enderslayerxz3	508
4	Dedalus36	346
5	12Magner05	278
6	Smoke____	247
7	500am	214
8	NomadicRobin_	205
9	TheSecondLord	180
10	Fullut	127
11	bigstankyy	120
12	set67	117
13	noam464	115
14	hm947	97
15	Winklepicker279	94
16	HolyVenom	92
17	beeperbeeper5	76
18	MilleGrug	72
19	Werbe	65
19	AssEatrAndLicker	65
21	BlancoFlaco	64
21	_Yonk_	64
23	fred870d	53
24	RadarHz	52
25	jnp_gaming	51
26	Kowcio_	46
27	PigDab	44
28	PortlyPete69	43
29	kekhon	42
30	Skylord_Luke	40
30	Racengan	40
32	StanClubPenguin	36
33	_NieToksikpl_	35
33	PhantomsGhost_	35
33	KG1999	35
36	_Virify_	33
37	JEWISHBadenBeele	32
38	Hyp3rion_	31
39	Strangemonkey71	30
39	YungMaki	30
41	RebelAndroid	29
41	SingedBread	29
43	bloodbiter	27
43	Chromary	27
45	mwrty	26
45	oxfordschool	26
47	Wooptey	25
47	Nicky_H225	25
47	gabriels543	25
50	Nycteus_	23
51	pintsizedrogue	22
51	Inchef	22
53	T045RTY	21
53	joethahobo	21
53	SammiWolfGirl	21
56	Drlzyy	20
56	Mahoose	20
56	Frozil12	20
59	eitanzaki	19
59	NinjaKnifeKill	19
59	Hail_the_wombat	19
59	EveryonesUncle	19
59	MightyWertu	19
59	Blaiku	19
65	livingdaydreams	18
65	rarrq	18
65	Quaintster	18
65	SkateboardR6	18
69	SuperPooch06	17
69	Spacewardharpy7	17
71	Snowflowe	16
71	diggydog67	16
73	Natofthese	15
73	jacxhadow	15
73	monky_irl	15
76	CoffeeNoir	14
76	ApophisNova	14
76	Lord_Jord	14
76	Ezekson	14
76	MyNamaSheff	14
81	Hpdinosaur	13
81	egglapras	13
81	TheEnderman548	13
84	ROY4LE	12
84	r123moore	12
84	HellsSponge	12
84	GlitchyPlate810	12
88	EMC_	11
88	Kakolbus	11
88	Zythose	11
88	King_Pancake1	11
88	KnightmareD	11
88	IdeallyGrey	11
88	pixelviolin	11
88	stahouo	11
88	obzii	11
97	JohnnyFyes	10
97	MSK__	10
97	jushykins	10
97	__TheNorseMan__	10
97	NoChumpChange	10
97	fluddd	10
97	Dusk_95	10
97	MakeHistory157	10
97	Ze_BaronKrigler	10
97	07shiny	10
97	SvenskaHugo	10
97	Spenduh	10
97	HesDemonPants	10
110	Jovaphobic	9
110	nataliecool	9
110	Merv__	9
110	error10101	9
110	Incinere	9
110	SteveWithClout	9
110	jiggywraps	9
110	CharlieButt	9
110	M_Patata	9
110	Di_infiri	9
110	pappaberg	9
110	BronkerBrum	9
110	SpaggeDR	9
110	KartivGal	9
110	DScatgirls	9
110	TheTrueClipse	9
110	Deodorante	9
110	lillips	9
110	Freak_Genius	9
110	MasterNueve	9
110	fffMike	9
110	Njensen7	9
110	MissCeleste7	9
110	anbbang	9
110	Legendosh	9
135	Cowison	8
135	Myszoaz	8
135	Xalithia	8
135	Gab4101	8
135	censorsheep	8
135	DeGodz4life	8
135	sp00ky_ghost977	8
135	Razzgriz	8
135	Soplight	8
135	AltnumberF4	8
135	MeetTheWollo	8
135	2blox	8
147	ImpavidArcher	7
147	paranoid_plant	7
147	pumpfonzo	7
147	OtariCharlie	7
147	Steven1282598	7
147	djancak	7
147	Sheldor097	7
154	I_Am_Mushkin	6
154	Wolf_Mauler_73	6
154	Blackberry1310	6
154	CyrusIsTired	6
154	XboxPanda	6
154	yulgur1	6
154	the__Reaper4999	6
154	Eraxa	6
154	Luigipunch989	6
154	Dreamdbr14	6
154	VentiHilton	6
165	Krasnal1337	5
165	littlesophiagirl	5
165	q_wq	5
165	ShedJr_	5
165	gaziter10	5
165	Covalents	5
165	CollinMH06	5
165	MangoTheFish	5
165	Rocco_Lane	5
165	TheShyPig	5
165	Deathkob	5
165	LordBlaze11	5
165	UltraZombie	5
165	Kubeusz2010	5
165	tartanboy	5
165	remmisrat	5
181	Groovy_MoonBird	4
181	Sleek_Storm_721	4
181	_Razar	4
181	Historical_Sand	4
181	MinttyFressh	4
181	Kkanot	4
181	NotTrixi	4
181	LotusProject	4
181	ReverendSmith	4
181	The_Fulgurator	4
181	Hiryu27	4
181	Leyna3	4
181	Airem_Core	4
181	WyngGoy	4
181	Erased_Identity	4
196	Swexti	3
196	SquadMonster	3
196	CliffEmAll	3
196	YungJakobo	3
196	whoaluv	3
196	LAVA129	3
196	FishyBoy3811	3
196	Wowful	3
196	ogoa	3
196	_Karmaa	3
196	DanTheBuilderino	3
196	Nagasaki_Riku	3
196	Skippeh	3
196	Quotary	3
196	YoshikageBites	3
211	Paint	2
211	soundad	2
211	Yatitay	2
211	Flores991	2
211	Z3braYTIL	2
211	Awyrlas	2
211	Jackattack53	2
211	mexicancharlie	2
211	Arceus1975	2
211	xo_Marren_xo	2
211	KeruNatsema	2
211	PuFY	2
211	Maenara	2
211	Joestra	2
211	MyNameIsDakar	2
211	DarlaMeow	2
211	NameGenerat0r	2
211	Shogunite	2
211	hdtpm	2
211	EcksDofficial	2
231	MixerDixer	1
231	teslawolf38	1
231	Myrlewen	1
231	Chickenchaser2	1
231	Boboczus	1
231	eclipseboi	1
231	Nach0Bear	1
231	xxPipperDipperxx	1
231	gcaisawesome	1
231	cwartzo	1
231	lizardfightclub	1
231	RodSerlingCringe	1
231	Akoot_	1
231	chipklip	1
231	GlitchMixed	1
231	claivin	1
231	MAns_44	1
231	ProfessorDiaper	1
231	ZoharGoldMine	1
231	brofrickcheaters	1
231	CalebDHawk	1
231	jcool7	1
231	Winston_Ingram	1
231	striker90333	1
231	Eczbek	1
231	little_dUki	1
231	FishisTTV	1
