rank	username	minecraft:crafted/minecraft:oak_wood
1	Marbz_	7617
2	Spacewardharpy7	2220
3	Jackattack53	1948
4	Bumpy419	1884
5	PlasticOtari	1329
6	rarrq	1107
7	Arceus1975	1004
8	Mahoose	936
9	Hyp3rion_	864
10	Inbefour	763
11	EveryonesUncle	729
12	Onennon	684
13	Werbe	681
14	Smoke____	592
15	Merv__	423
16	noam464	417
17	Kowcio_	399
18	Crowman1	384
19	Rebytre	333
20	__tomato	291
21	master9067	258
22	Smashic	246
23	CollinMH06	222
23	_naturell	222
25	r123moore	198
25	CalebDHawk	198
27	IWorkAtIkea	132
28	ehunt54	114
29	500am	108
29	gcaisawesome	108
31	jiggywraps	99
32	Luigipunch989	84
33	oxfordschool	81
33	Legendosh	81
35	GLLogan2	78
36	EMC_	75
36	Ezekson	75
38	FennYuzuna	63
38	NomadicRobin_	63
40	calamariclam_I	60
41	oreee	57
41	kekhon	57
41	dualvoidzz	57
41	Kouridragon	57
41	LordSpeed37	57
41	Soplight	57
47	teslawolf38	54
47	Akoot_	54
49	pintsizedrogue	51
49	epiksk8erduck	51
51	ApophisNova	48
51	MyNamaSheff	48
53	Jiminie	45
53	DemTechAlpha	45
53	KG1999	45
56	Alphanzt99	44
57	M_Patata	39
57	MasterNueve	39
59	eclipseboi	36
59	Rainaldus	36
61	MightyWertu	33
62	Wolverine4302	30
63	beeperbeeper5	27
63	TheSecondLord	27
65	Franco093	26
66	m_be9	24
66	regulator75	24
66	Flucxks	24
66	Quotary	24
70	Susscra	21
70	cowgirlkasia	21
70	Skylord_Luke	21
70	ogoa	21
70	Blaiku	21
75	Menthas	18
75	Hysna	18
75	FirsTimeGamingTV	18
75	h2p_emrld	18
79	Reamdin	15
79	Historical_Sand	15
79	Cryptacity	15
82	MixerDixer	12
82	Rox_The_Box	12
82	Zythose	12
82	cedric72	12
82	Cormelia	12
87	Kubelz	11
88	DementedTOAD	9
88	joethahobo	9
88	TheMaster972	9
88	MyNameIsJobo	9
88	iTurbo	9
88	Felenov	9
88	War_Time_Leader	9
88	Shoutur1	9
88	1442	9
88	Groundler	9
98	MunkaKris	6
98	nataliecool	6
98	_Razar	6
98	Incinere	6
98	T045RTY	6
98	Blackberry1310	6
98	BilboBaggins23	6
98	thescout7	6
98	floodjon	6
98	Maenara	6
98	Lord_Jord	6
98	MinuteMira	6
98	proxivitoid	6
98	KermitTheKripple	6
98	PortlyPete69	6
98	cichy096	6
98	Oxygen16	6
98	jnp_gaming	6
116	Krimys	3
116	Groovy_MoonBird	3
116	Ganongeek	3
116	Mimiir345	3
116	bloodbiter	3
116	SirMinza	3
116	marul1002	3
116	CharlieButt	3
116	RustyKedel	3
116	BomberBoi69	3
116	CARGOESVROOM_7	3
116	loveseeker	3
116	SuperPooch06	3
116	thewindmillman	3
116	Silvo614	3
116	Parcc	3
116	N7November	3
116	Forcolp	3
116	420BreadLizard	3
116	LibertyMutual	3
116	JakobDylanC	3
116	JollyDroopy52	3
116	GoofyBread	3
116	HellsSponge	3
116	frankosgf	3
116	NameGenerat0r	3
116	claivin	3
116	zijin154	3
116	DanTheBuilderino	3
116	GeromeMerris	3
116	Th6masss	3
116	Vorlice	3
116	iSammael	3
116	MrWataby	3
116	ItsDeltaMC	3
116	YungMaki	3
116	NinetyNick	3
116	Spenduh	3
116	Western_1	3
116	Steelynan	3
