rank	username	minecraft:crafted/minecraft:observer
1	noam464	39527
2	thewindmillman	6996
3	Spacewardharpy7	4689
4	Di_infiri	4669
5	Hyp3rion_	4587
6	PigDab	3741
7	eitanzaki	3171
8	gcaisawesome	3120
9	Smoke____	1733
10	YungMaki	1566
11	thescout7	1323
12	vandmanden	1153
13	TheShyPig	1068
14	Werbe	1007
15	HellsSponge	924
16	Frozil12	791
17	Snowflowe	752
18	beeperbeeper5	723
19	Awyrlas	667
20	m_be9	648
21	Blaiku	610
22	Nicserso	576
23	Jackattack53	533
24	Historical_Sand	528
25	Inbefour	407
26	Steelynan	397
27	Fuhrer_Teemo	378
28	Freak_Genius	376
29	Kakolbus	332
30	joethahobo	330
31	MangoTheFish	325
31	Eczbek	325
33	07shiny	320
34	domagawha	310
35	ApophisNova	298
35	MyNamaSheff	298
37	Hoid_the_Roamer	296
38	Hisiste	294
39	FishyBoy3811	290
40	TechnoNinja64	282
41	PlasticOtari	280
42	Merv__	270
42	Hiryu27	270
44	groofles	256
44	GoofyBread	256
46	MilleGrug	244
47	pintsizedrogue	226
48	Sral7	214
49	Lord_Jord	201
50	eiC_	200
51	kekhon	195
51	El_Jalapeno	195
53	geekbird	191
54	Rumpletaezer	181
55	UrbanPlanner1978	177
56	FreddyFart	176
57	Cowison	173
58	Hermanni__	170
59	fffMike	169
60	Zoeyfortnite	167
61	MinttyFressh	162
62	Dedalus36	156
63	RebelAndroid	153
64	The_slideV3	151
65	Soplight	150
66	corvidpartyfor6	148
66	gabriels543	148
68	EfficientC52	147
69	MightyWertu	146
70	AuroraValkyrie	140
71	TheSeismicDuck	139
72	mwrty	138
73	CharlieButt	137
74	T045RTY	136
75	Sky_light_KING	130
76	ProfessorBee	128
76	sp00ky_ghost977	128
76	ayamefag	128
79	Comma__	125
80	TheTrueClipse	124
81	kinas45y5	121
82	SlayerCrypto	120
83	oxfordschool	117
84	pixelviolin	114
85	FirsTimeGamingTV	111
85	Vizzoid	111
85	Groundler	111
85	WyngGoy	111
89	SkateboardR6	103
90	Solar_Power	100
90	fluddd	100
92	Racengan	96
92	SingedBread	96
94	tuckerdoodle	95
95	Xalithia	94
96	awesomeoneme	90
96	PortlyPete69	90
98	EMC_	87
99	sxc_	85
100	Mahoose	82
101	Ssor69	81
102	PhantomsGhost_	80
103	Bumpy419	79
103	Warlord324	79
105	Akoot_	76
106	Factoroni	74
107	Enderslayerxz3	68
108	M_Patata	67
109	Barlycorn	66
109	yatsuta	66
109	Quotary	66
112	Iagoku	65
112	Rich_Kat	65
114	H72l9w	64
114	emrekn	64
114	BlueZabu	64
114	NoChumpChange	64
114	Dogcorn69420	64
114	Sheldor097	64
114	Winston_Ingram	64
121	Jovaphobic	62
122	eviltunix	61
122	Dreamdbr14	61
124	__tomato	60
125	EveryonesUncle	56
126	andy_rex	55
127	StinkyDiplomat	54
128	masskedman	52
128	MAns_44	52
130	ShedJr_	51
130	JESS_THE_RERE	51
130	Powowowow	51
133	PegLegPete93	50
133	audiocracked	50
135	Soul_Atreus	49
135	Freedrik	49
137	_Nuf	48
137	Giannism	48
139	Skylord_Luke	46
140	xxPipperDipperxx	45
140	Covalents	45
140	BumbleBeever	45
143	Stynxy	44
144	Hyugo	43
144	slkiey	43
144	DTwenty	43
147	theonlymagikarp	42
148	benediktine1	40
148	Th6masss	40
148	MeetTheWollo	40
151	Onennon	39
152	Winklepicker279	38
152	Rebytre	38
154	Arceus1975	37
154	ediballbearings	37
156	AngalexikCZ	36
157	12Magner05	34
157	mariominejedi	34
157	ZeroKraken	34
160	Fullut	33
161	Huwulling	32
161	Prodiginus	32
163	valkam13	31
164	picardred	30
164	ayqq	30
164	Soap_Bender	30
164	Strangemonkey71	30
164	Kowcio_	30
164	obzii	30
170	AlexxO_o	28
170	Western_1	28
170	FishisTTV	28
173	ImpavidArcher	27
174	Inchef	26
175	Tobinator_007	25
175	prizm_	25
175	KnightmareD	25
175	godipose	25
179	TheSecondLord	24
180	HolyVenom	23
180	Quincannon	23
182	Nesquiczek	22
182	2blox	22
184	_Virify_	21
184	SellyZ	21
184	BreadBacon	21
187	soundad	20
187	Prismyst	20
187	Blackberry1310	20
187	Deathkob	20
187	Ezekson	20
192	jushykins	19
192	Smashic	19
192	Paintz	19
192	Fildyr	19
196	hm947	18
196	Zaridey	18
196	MyNameIsJobo	18
196	SvenskaHugo	18
196	anbbang	18
201	The_Thund	17
201	youhjjhhhjj	17
201	GravitySaint	17
201	K_a__a_n	17
205	ExtraDumb	16
205	Ryker	16
205	IWorkAtIkea	16
205	DarlaMeow	16
205	layabout100	16
210	bloodbiter	15
210	Motsaro	15
210	Juh1s	15
213	teslawolf38	14
213	LotusProject	14
215	XboxPanda	13
216	TAKrules	12
216	ivorico	12
216	rarrq	12
216	TheThomas69	12
216	StarPlanetMoon	12
216	KliBeast21	12
216	Kubeusz2010	12
223	q_wq	11
223	Scathra	11
223	CollinMH06	11
223	Chromary	11
223	Jimi7hits	11
223	fw3xywashere	11
229	Ailmast	10
229	Jahara	10
229	jiggywraps	10
229	loveseeker	10
229	_8man	10
229	fred870d	10
229	SammiWolfGirl	10
229	_TCARREIRA_	10
229	jnp_gaming	10
238	Crowvens	9
238	Elprone266	9
238	AshleeCW	9
238	NieToksikpl	9
238	ImDisconnected_	9
238	Jiminie	9
238	stavgod	9
238	voiding_	9
238	JayToe	9
247	Bruh77	8
247	ssleepless	8
247	xPixelRainx	8
247	ItsAki_	8
247	CaptainAvenger7	8
247	lizardfightclub	8
247	smogfrog	8
247	Weepingbiel	8
247	adiccting01	8
256	500am	7
256	Voxin2K	7
256	Jij0	7
256	Spenduh	7
260	carloselpapii	6
260	JitteryJared2	6
260	Truckoss	6
260	KeruNatsema	6
260	wezzzi	6
260	CalebDHawk	6
266	diamondgolem35	5
266	bigstankyy	5
266	CoffeeNoir	5
266	heckface	5
266	Sqwishy	5
266	MousePlays	5
266	SvenskaAlvar	5
266	Drewen24	5
266	_Karmaa	5
266	censorsheep	5
266	Skippeh	5
266	HesDemonPants	5
266	h2p_emrld	5
279	Yatitay	4
279	Alteriity	4
279	Mewar	4
279	r123moore	4
279	John6970	4
279	Zythose	4
279	epiksk8erduck	4
279	Rasmanden	4
279	rotten_mango	4
279	DanTheBuilderino	4
279	ProfessorDiaper	4
279	Xovalt_	4
279	bruh072	4
279	EcksDofficial	4
293	Groovy_MoonBird	3
293	Drlzyy	3
293	Jackster03	3
293	Ardennes	3
293	SoftSix	3
293	AnnieBathory	3
293	balin55	3
293	claivin	3
