rank	username	minecraft:crafted/minecraft:orange_bed
1	mwrty	102
2	Merv__	67
3	12Magner05	59
4	Quotary	57
4	Yamdalorian	57
6	beeperbeeper5	48
7	Soplight	43
8	Mahoose	33
9	HellsSponge	25
10	Groovy_MoonBird	21
10	xxPipperDipperxx	21
12	500am	16
13	pintsizedrogue	14
14	Lez_	12
15	T045RTY	9
15	Blaiku	9
15	SammiWolfGirl	9
18	QuiCreans	8
19	Quincannon	7
19	ReflexCode	7
21	RoskobiOne	6
21	RebelAndroid	6
21	noam464	6
21	luseis	6
25	Dakar_	5
25	El_Jalapeno	5
27	joethahobo	4
27	TheSecondLord	4
27	Werbe	4
30	Sleek_Storm_721	3
30	nocturne78	3
30	Onennon	3
30	djancak	3
30	skitzxo	3
35	SaucyDark	2
35	rarrq	2
35	Blackberry1310	2
35	Smashic	2
35	M_Patata	2
35	thewindmillman	2
35	Mattesco	2
35	Kynigito	2
35	MasterNueve	2
35	Pumpkin_P_Patch	2
35	miramyu	2
35	ConnorDanky_	2
47	Mr_Byzantine	1
47	teslawolf38	1
47	TooManyDuck	1
47	Prodiginus	1
47	Koffeeinz	1
47	Jokerman369	1
47	Fullut	1
47	Scathra	1
47	Bolete	1
47	Windo_licker	1
47	MyNameIsJobo	1
47	Chromary	1
47	hanaryheatwave	1
47	Bumpy419	1
47	TheShyPig	1
47	Maenara	1
47	Akoot_	1
47	420BreadLizard	1
47	FreakGenius	1
47	Jamstroxian	1
47	Groundler	1
47	ProfessorDiaper	1
47	Burge_r	1
47	pixelviolin	1
47	Kowcio_	1
47	therobo300	1
47	PlzNoBM	1
47	Dogcorn69420	1
47	Steelynan	1
47	OfficerAnvil	1
47	TechnoNinja64	1
47	PlasticOtari	1
47	00000000-0000-0000-0009-01ff0c3e5e4f	1
