rank	username	minecraft:crafted/minecraft:polished_diorite_stairs
1	burbankbuilder28	980
2	PlasticOtari	573
3	RedcatVII	520
4	seanitoo	508
5	Winklepicker279	396
6	Inbefour	384
7	Jovaphobic	256
8	MrExplorer	240
9	Jaka_Saurus_715	220
10	luseis	174
11	MattieHD	172
12	_Karmaa	160
13	Auseawesome	148
14	Optiprimus	144
15	Kubelz	136
16	_Huge_Male_	134
17	Jokerman369	128
18	m_be9	124
19	JESS_THE_RERE	112
19	Deerfoot	112
21	titanlax	88
21	andy_rex	88
23	LittleBug562	84
23	vandmanden	84
25	Da_Boss_Rani	72
26	KarlKaek	68
27	joethahobo	64
27	Matorz	64
29	slkiey	60
29	07shiny	60
31	ShedJr_	58
32	nocturne78	56
33	dnlksl	44
33	TheShyPig	44
35	Merv__	40
35	oreee	40
35	_Nuf	40
35	noam464	40
35	fluddd	40
35	Western_1	40
41	kekhon	39
42	Allanon1235	36
42	Vellu21	36
44	ImpavidArcher	35
45	Racengan	32
45	JayToe	32
47	HellsSponge	28
47	DanTheBuilderino	28
49	beeperbeeper5	26
50	ratglock	24
50	Nekomin0	24
50	Legendosh	24
53	FazeObama69	20
53	DarlaMeow	20
55	teslawolf38	16
55	Ajax6	16
55	starbits140	16
58	rats_life	12
58	ThiccExotic	12
58	12Magner05	12
58	himak1	12
58	hayybails	12
58	TheDankPlatypus	12
58	Arceus1975	12
58	The_Fulgurator	12
58	ooga47	12
58	FlashMigma	12
58	iSammael	12
58	Dreamdbr14	12
58	Enderxz3	12
58	bladeefan2009	12
72	MineMaster0012	9
73	Xalithia	8
73	TheWildMateo	8
73	ougstur	8
73	fkGrim	8
73	Toriankel	8
73	Eraxa	8
73	SSytex_X	8
73	mobunni	8
81	420BreadLizard	6
82	Mr_Byzantine	4
82	tramizu	4
82	Ardennes	4
82	Purplehere	4
82	Werbe	4
82	eSpawNa	4
82	bpmm	4
82	Meatlaugh	4
82	Photosynthesis_s	4
82	xolstoi	4
82	diggydog67	4
93	bearlystraight	2
94	LeauVox4921	1
94	Marbz_	1
94	Akoot_	1
94	MyNameIsDakar	1
94	Kowcio_	1
