rank	username	minecraft:crafted/minecraft:purple_carpet
1	doublemaki	19083
2	Spacewardharpy7	15880
3	beeperbeeper5	4810
4	Huwulling	4341
5	joethahobo	4280
6	Yamdalorian	2976
7	HellsSponge	2956
8	luseis	2517
9	QuiCreans	1933
10	kekhon	1638
11	Snowflowe	1095
12	jnp_gaming	1056
13	Lez_	696
14	Jovaphobic	681
15	MakeHistory157	666
16	ScootOfBoot	640
17	hermmm_	483
18	powercas_gamer	480
19	Groundler	420
20	lordpipe	366
21	royal_2	297
21	ROY4LE	297
23	Mr_Byzantine	282
24	burbankbuilder28	270
25	Legendosh	240
26	Kowcio_	210
27	Niklas20114552	198
28	Apollo_993	192
29	_Shadow66_	184
30	Ezekson	153
31	noam464	123
32	mwrty	108
33	TechnoNinja64	102
34	6king6colt6	99
34	KingMatthew506	99
36	Napoleonpancake	96
36	RebelAndroid	96
36	Swexti	96
36	cutelilreno	96
36	wwwwinnebagoooo	96
36	Cocoamallows	96
42	SaucyDark	90
42	AlazelTheReal	90
44	MinttyFressh	84
45	BRRRN179	64
46	heckface	63
47	KlausVonStiglitz	56
48	thewindmillman	48
48	non089	48
48	PlzNoBM	48
48	Njensen7	48
48	UrbanPlanningEx	48
53	FishyBoy3811	45
53	Inbefour	45
55	Merv__	42
55	MintyTuna	42
55	__tomato	42
58	Soplight	39
59	pintsizedrogue	30
59	TooManyDuck	30
61	_witch_craft_	27
61	Rumpletaezer	27
61	Mattesco	27
61	mihimihimihi	27
65	EMC_	24
65	WET_WET_WET	24
65	WyngGoy	24
65	_i_ERROR_i_	24
65	Enderxz3	24
65	Spaghettatron	24
71	titanlax	21
71	12Magner05	21
71	Inchef	21
74	xxPipperDipperxx	19
75	_Huge_Male_	18
75	Caribouse	18
75	Sleepy_Evelyn	18
75	Dakar_	18
79	PaperCanvas	12
79	fkGrim	12
81	TheBiggestFeller	9
81	Manaateee	9
81	miramyu	9
81	_3Stump_	9
85	Dali1465	8
85	00000000-0000-0000-0009-01ff0c3e5e4f	8
87	Mahoose	6
87	Juansinmiedo18	6
87	AJplaysMC_	6
87	Krowuss	6
87	thgrocks	6
87	LilLizardWizard	6
87	420BreadLizard	6
87	NomadicRobin_	6
87	XxCookiequeenxX	6
87	Deerfoot	6
87	Factoroni	6
87	ConnorDanky_	6
87	EcksD	6
100	SquadMonster	3
100	Cryptacity	3
100	TheSecondLord	3
100	bloodbiter	3
100	M_Patata	3
100	Hyp3rion_	3
100	cedric72	3
100	gustarlep	3
100	censorsheep	3
100	Blaiku	3
100	lunkuku	3
100	MasterNueve	3
100	CacheOut	3
100	pixelviolin	3
100	robonya_	3
100	Steelynan	3
