rank	username	minecraft:crafted/minecraft:red_dye
1	thewindmillman	213928
2	noam464	29208
3	oxfordschool	24831
4	Spacewardharpy7	12112
5	beeperbeeper5	11498
6	joethahobo	7353
7	Marbz_	4145
8	YungMaki	3302
9	Inbefour	3286
10	TheShyPig	2977
11	TheSecondLord	2854
12	EcksD	2436
13	Jiminie	2069
14	Smoke____	1842
15	Njensen7	1643
16	EveryonesUncle	1623
17	Hyp3rion_	1482
18	Steelynan	1281
19	Mahoose	1273
20	Truckoss	1133
21	Jackattack53	1110
22	lordpipe	1104
23	HellsSponge	986
24	Frozil12	909
25	Di_infiri	908
26	Werbe	794
27	Nicky_H225	775
28	Fullut	745
29	Merv__	691
30	r123moore	669
31	500am	660
32	MightyWertu	630
33	Rumpletaezer	597
34	PeteO1995	568
35	Kowcio_	540
36	Blackberry1310	538
37	jnp_gaming	529
38	Rasmanden	524
39	Snowflowe	515
40	lillips	512
41	Weepingbiel	511
42	Ezekson	500
43	audiocracked	480
44	Kakolbus	436
45	LordSpeed37	428
46	pintsizedrogue	427
47	kekhon	426
48	UrbanPlanner1978	415
49	Sky_light_KING	403
50	bigstankyy	402
50	TechnoNinja64	402
52	Jordan_R	401
53	Incinere	384
53	SkateboardR6	384
55	Onennon	360
56	Xalithia	354
57	Akoot_	352
57	Deathkob	352
59	Legendosh	350
60	Freak_Genius	340
61	rarrq	332
62	Hermanni__	330
63	Lord_Jord	328
64	MousePlays	320
65	sxc_	309
66	stahouo	304
67	Blaiku	288
68	MyNameIsDakar	275
69	xxPipperDipperxx	268
70	nataliecool	258
71	thescout7	241
72	Bumpy419	240
73	Sral7	231
74	SuperPooch06	229
74	SSytex_X	229
76	_k2x	220
77	KartivGal	219
78	m_be9	215
79	_TCARREIRA_	207
80	eitanzaki	200
81	Cocoamallows	196
82	MilleGrug	192
83	Typadopoulos	188
84	El_Jalapeno	183
85	NoChumpChange	172
86	epiksk8erduck	168
87	__tomato	159
88	BlancoFlaco	155
88	DarlaMeow	155
90	Arceus1975	154
91	XboxPanda	153
92	beeleg	152
93	NameGenerat0r	151
94	RobotMinion101	148
95	Nicserso	146
96	BobDeBouwer1337	144
96	Racengan	144
98	Quotary	142
99	sp00ky_ghost977	141
99	remmisrat	141
101	fluddd	140
102	Chromary	134
103	MyNameIsJobo	133
104	KingMatthew506	131
105	ProbablyNick	129
106	JEWISHBadenBeele	128
106	Jimi7hits	128
108	_Dean_123	127
109	Inchef	124
110	Wolverine4302	123
111	GlitchyPlate810	121
112	XxCookiequeenxX	117
113	proxivitoid	114
114	ShedJr_	112
115	The11thDoctor	110
116	Menthas	107
117	MovingFish7	106
118	Miko_Fullbuster	99
119	12Magner05	95
119	pappaberg	95
121	teslawolf38	94
121	claivin	94
121	ayamefag	94
124	PegLegPete93	93
124	Windo_licker	93
126	Th6masss	92
126	stellarjay	92
128	Froste131	91
128	Winklepicker279	91
128	kinas45y5	91
131	MattieHD	89
131	Soplight	89
133	theonlymagikarp	88
134	EMC_	84
134	ExtraDumb	84
134	surfinggiraffejp	84
137	Jovaphobic	82
137	Yatitay	82
137	FirsTimeGamingTV	82
140	SaucyDark	79
140	TheDankPlatypus	79
140	wobn	79
143	Notta	78
144	Groovy_MoonBird	77
144	Quincannon	77
146	CoffeeNoir	76
147	NomadicRobin_	75
148	_Virify_	74
149	Kynigito	73
150	h2p_emrld	71
151	Kyrum2169	70
151	anbbang	70
153	Tobinator_007	69
153	AnnieBathory	69
153	Skylord_Luke	69
156	ewsophie	68
156	The_slideV3	68
158	adiccting01	67
159	Smashic	66
159	burbankbuilder28	66
159	WyngGoy	66
162	Bandito_Roamer	65
162	King_Pancake1	65
162	Nekomin0	65
165	Steven1282598	64
165	Optiprimus	64
165	Winston_Ingram	64
168	SellyZ	62
168	FishisTTV	62
170	Comma__	61
170	Blu3beast	61
172	ImpavidArcher	60
172	tobinwilliams	60
174	_stets	57
174	heckface	57
176	_Boipl_	56
177	master9067	55
177	lcvezra	55
179	Cowison	54
179	MakeHistory157	54
179	Kubeusz2010	54
182	TheEnderman548	52
182	PortlyPete69	52
184	nocturne78	51
185	gustarbite	50
185	JESS_THE_RERE	50
187	mwrty	49
188	_Bguette_	48
189	AuroraValkyrie	47
189	pixelviolin	47
191	561cool	46
192	Groundler	45
193	Xovalt_	44
194	MinttyFressh	43
194	Kars_Requiem	43
196	ssleepless	42
196	H72l9w	42
198	hm947	41
199	dabloons	40
200	MAns_44	38
200	Enderslayerxz3	38
202	GoofyBread	37
202	Eraxa	37
202	LeeMcGee30	37
205	himak1	36
205	Hiryu27	36
205	ApophisNova	36
205	Maenara	36
205	Karbl	36
205	MyNamaSheff	36
211	bloodbiter	35
211	Shin69	35
211	WYFYoyo	35
214	ProfessorBee	34
214	BigMoneyH	34
216	Reamdin	33
216	Megarboh	33
216	Kubelz	33
216	Dusk_95	33
220	Tolhart	32
221	Stiar	31
221	BRRRN179	31
221	marumochis	31
224	dopplexd	30
224	Awyrlas	30
224	MaGro2010	30
224	madderfall	30
224	chipklip	30
229	Avrelion	29
229	KermitTheKripple	29
231	Tommhh	28
231	Kim_Jong_eel	28
233	Ailmast	27
233	6king6colt6	27
233	Kamflame10	27
233	_naturell	27
233	Drewen24	27
233	Luigipunch989	27
239	mimbo1211	26
239	whoaluv	26
239	ElKaySVK	26
239	YoshikageBites	26
243	youhjjhhhjj	25
243	Sheldor097	25
243	diggydog67	25
246	awesomeoneme	24
246	set67	24
246	Rebytre	24
246	Fuhrer_Teemo	24
246	Airem_Core	24
246	starbits140	24
252	TooManyDuck	23
252	Wooptey	23
252	jacxhadow	23
252	emrekn	23
252	Xclax101	23
252	_3Stump_	23
252	AltnumberF4	23
259	RosaDoesMC	22
259	Bolete	22
259	loveseeker	22
259	Jiminbub	22
259	censorsheep	22
259	Bloo2406	22
259	PlzNoBM	22
259	BreadBacon	22
267	jspwn	21
267	I_Am_Mushkin	21
267	Swexti	21
267	_8man	21
267	_Karmaa	21
267	Ze_BaronKrigler	21
267	obzii	21
274	Valoth	20
274	AuroraSkies	20
274	NotMeowMix	20
274	CheifJumbo	20
278	__Auspicious	19
279	Zippyzam	18
279	Misato_0	18
279	DSYisDizzy	18
279	vampgey	18
279	RedcatVII	18
279	IAmTheWalrus910	18
279	IdeallyGrey	18
286	KarlKaek	17
286	RodSerlingCringe	17
288	Ao_Ken	16
288	Zaridey	16
288	Parcc	16
288	NNikitas	16
288	Skomo	16
288	thgrocks	16
288	SingedBread	16
288	VentiHilton	16
288	Lowjinx	16
297	Sleek_Storm_721	15
297	Natty	15
297	zorin123	15
297	Jokerman369	15
