rank	username	minecraft:crafted/minecraft:spruce_door
1	Mahoose	216
2	Dr0xzy	192
3	beeperbeeper5	183
4	noam464	129
5	Legendosh	126
6	500am	120
6	burbankbuilder28	120
8	RodSerlingCringe	117
8	El_Jalapeno	117
10	Inchef	114
11	sebastiensaborio	108
12	Skylord_Luke	102
13	joethahobo	96
13	kekhon	96
15	rarrq	78
15	_Dean_123	78
17	EcksDofficial	69
18	TheShyPig	66
18	Enderslayerxz3	66
20	m_be9	63
21	Bumpy419	60
21	lcvezra	60
23	Dedalus36	57
23	John6970	57
25	Merv__	54
26	KarlKaek	48
26	TheSecondLord	48
26	fkGrim	48
29	Incinere	45
29	ApophisNova	45
29	MyNamaSheff	45
32	soundad	42
33	HellsSponge	41
34	MattieHD	39
34	zorin123	39
34	Fullut	39
34	Werbe	39
34	Onennon	39
39	Blackberry1310	36
39	Megarboh	36
39	Kamflame10	36
39	xxPipperDipperxx	36
39	Jiminie	36
39	Eraxa	36
39	oxfordschool	36
46	Mr_Byzantine	33
46	_Bguette_	33
46	vandmanden	33
49	Jovaphobic	30
49	RoskobiOne	30
49	_stets	30
49	PigDab	30
49	Negriuke	30
49	SkateboardR6	30
49	Kowcio_	30
56	ImpavidArcher	27
56	Di_infiri	27
56	Inbefour	27
56	Deathkob	27
56	Ze_BaronKrigler	27
56	SvenskaHugo	27
56	Soplight	27
56	Skippeh	27
56	Wolverine4302	27
65	Swexti	24
65	TheDankPlatypus	24
65	gabriels543	24
65	Smoke____	24
69	SuperPooch06	23
70	Groovy_MoonBird	21
70	Tommhh	21
70	Sleek_Storm_721	21
70	diamondgolem35	21
70	ElFi66	21
70	Sky_light_KING	21
70	Akoot_	21
70	robotemo	21
70	PlasticOtari	21
70	JayToe	21
80	pintsizedrogue	18
80	Cowison	18
80	hm947	18
80	Natty	18
80	ROY4LE	18
80	Winklepicker279	18
80	_Boipl_	18
80	claivin	18
80	Blu3beast	18
80	layabout100	18
80	SammiWolfGirl	18
80	CalebDHawk	18
80	fffMike	18
93	TooManyDuck	15
93	Tolhart	15
93	dopplexd	15
93	Cryptacity	15
93	MinttyFressh	15
93	Kakolbus	15
93	Rumpletaezer	15
93	Snowflowe	15
93	impossibleteapot	15
93	wezzzi	15
93	EveryonesUncle	15
93	MyNameIsDakar	15
93	Shogunite	15
93	Freak_Genius	15
93	Spacewardharpy7	15
93	MovingFish7	15
93	Ezekson	15
93	BreadBacon	15
93	diggydog67	15
112	Louiis123	12
112	MixerDixer	12
112	Drlzyy	12
112	EMC_	12
112	eitanzaki	12
112	T045RTY	12
112	ShedJr_	12
112	Malorn_Aetherius	12
112	Comma__	12
112	bloodbiter	12
112	BlueZabu	12
112	Chromary	12
112	ibarker21	12
112	andy_rex	12
112	RobotMinion101	12
112	Lord_Jord	12
112	NomadicRobin_	12
112	1442	12
112	Bloo2406	12
112	Groundler	12
112	sleepdrifter_	12
112	BlankityMcBlank	12
112	PortlyPete69	12
112	obzii	12
112	krutas2000	12
112	Soffbord	12
112	Teebone15	12
139	littlesophiagirl	9
139	jspwn	9
139	Foof13	9
139	numbra	9
139	SaucyDark	9
139	CoffeeNoir	9
139	Historical_Sand	9
139	SquadMonster	9
139	Ardennes	9
139	Cortexia	9
139	set67	9
139	egglapras	9
139	himak1	9
139	2Stout	9
139	DermeinUser	9
139	M_Patata	9
139	breadbowlgamer	9
139	Bazongoman	9
139	SlayerCrypto	9
139	Arceus1975	9
139	Studyhallsaver	9
139	CrateOfBoxes	9
139	Shiirazuku	9
139	thgrocks	9
139	Leyna3	9
139	DarlaMeow	9
139	ewpunk	9
139	FlashMigma	9
139	Frozil12	9
139	Xclax101	9
139	yoyoYoloMonke	9
139	wwwwinnebagoooo	9
139	Dusk_95	9
139	MasterNueve	9
139	NebulousBadger	9
139	Poppy235	9
139	Powowowow	9
139	YoshikageBites	9
177	rats_life	6
177	Sheepwarder	6
177	Froste131	6
177	squigglybones	6
177	teslawolf38	6
177	6king6colt6	6
177	bigstankyy	6
177	Lukeee33	6
177	Loveablerose12	6
177	ewsophie	6
177	AlazelTheReal	6
177	PhantomBionic	6
177	gaziter10	6
177	IWorkAtIkea	6
177	titanlax	6
177	cowgirlkasia	6
177	shdesolt	6
177	MrExplorer	6
177	Guillemet	6
177	shyshyannne	6
177	Enigma0251	6
177	Jokerman369	6
177	Kkanot	6
177	Cambo5000	6
177	thescout7	6
177	orxngejuice	6
177	PegLegPete93	6
177	Septemb3r	6
177	NoxxxxiS	6
177	Dyosy	6
177	SpicyMeatballs	6
177	ehunt54	6
177	fallingemma	6
177	CaptainSteve345	6
177	FetteMutter	6
177	ImDisconnected_	6
177	Orcus113	6
177	TakeThis2UrGrave	6
177	Jackattack53	6
177	whoaluv	6
177	Zythose	6
177	Nyxiom_	6
177	DaKaveMan	6
177	regulator75	6
177	Rebytre	6
177	grislgrobl	6
177	fred870d	6
177	Dragonlfw	6
177	sammidk	6
177	CarryLine	6
177	FishyBoy3811	6
177	ClemenPine	6
177	Austinizzle	6
177	ADEXTV	6
177	420BreadLizard	6
177	Meepcraft	6
177	XxCookiequeenxX	6
177	Jiminbub	6
177	KlausVonStiglitz	6
177	DarkS0L	6
177	Meatlaugh	6
177	drumine	6
177	Soap_Bender	6
177	_Karmaa	6
177	Quincannon	6
177	NameGenerat0r	6
177	BigCronkin	6
177	MAns_44	6
177	fluddd	6
177	RedcatVII	6
177	Barlycorn	6
177	DarkLawD	6
177	Matorz	6
177	cytotoxaint	6
177	Mistruth	6
177	Bonzaidalek	6
177	CheifJumbo	6
177	LetsDoItLive	6
177	SexcMf	6
177	CSG_Haru	6
177	ayamefag	6
177	kyouma777	6
177	pixelviolin	6
177	yatsuta	6
177	YungMaki	6
177	MineMaster0012	6
177	CLUBN2	6
177	Segotep999	6
177	SSytex_X	6
177	KingMatthew506	6
177	bitsplease	6
177	Rainaldus	6
177	VentiHilton	6
177	Quotary	6
177	AltnumberF4	6
177	WYFYoyo	6
177	trexgb	6
274	TableTim	5
275	MunkaKris	3
275	SaltineDream	3
275	fingerguns__	3
275	Krimys	3
275	Thaumatarge	3
275	2xil2	3
275	PhantomsGhost_	3
275	xyct	3
275	strongman951753	3
275	JEWISHBadenBeele	3
275	Paint	3
275	MrBeesMan	3
275	Bk2Lumby4You	3
275	lewieinnit	3
275	Healthing	3
275	Yatitay	3
275	DepressedCubic	3
275	jpoxman	3
275	chimpmunker	3
275	neurotic_a	3
275	TheMilkerOfCats	3
275	Iagoku	3
275	rachcl	3
275	ssleepless	3
275	JingleLizi	3
275	Frozt99	3
