rank	username	minecraft:crafted/minecraft:stone_brick_stairs
1	joethahobo	25860
2	Wolverine4302	25035
3	Skylord_Luke	16870
4	gcaisawesome	6768
5	Werbe	6544
6	El_Jalapeno	5396
7	TheShyPig	5144
8	burbankbuilder28	4800
9	Frozil20	4680
10	Incinere	4556
11	_Dean_123	3660
12	EcksD	3658
13	Zythose	2804
14	ApophisNova	2732
14	MyNamaSheff	2732
16	HellsSponge	2611
17	mihimihimihi	2472
18	UncreativeArtist	2427
19	PigDab	2252
20	Shogunite	2173
21	WyngGoy	1960
22	lcvezra	1592
23	Akoot_	1451
24	Spacewardharpy7	1440
25	Ryan_GEMS	1320
26	xolstoi	1243
27	Fildyr	1228
28	fffMike	1175
29	Bumpy419	1168
30	PlasticOtari	1158
31	Inchef	1140
32	Lez_	1136
33	EveryonesUncle	1110
34	Kakolbus	1090
35	r123moore	1048
36	VentiHilton	1005
37	StinkyDiplomat	968
38	AdmiralSmoke	961
39	thescout7	960
40	Smiguli_	896
41	Fuhrer_Teemo	852
42	Kowcio_	828
43	pk1297	825
44	Sorry_Arey	768
45	_Karmaa	696
46	selectrix	668
47	Ezekson	662
48	madderfall	656
49	hcb238	632
50	Hyp3rion_	620
51	Eraxa	596
52	Lord_Zacler	570
53	weabis	556
54	ProfessorBee	552
55	Xalithia	549
56	kekhon	544
57	Mr_Byzantine	532
58	NieToksikpl	528
59	MoistMicrowave	522
60	ssleepless	512
61	slkiey	508
62	Bandito_Roamer	476
63	SammiWolfGirl	452
64	ITDV	448
65	MyNameIsJobo	440
66	Inconvenionce	432
67	Rumpletaezer	424
68	TheThomas69	420
69	Blu3beast	416
70	toj__	404
71	Manaateee	403
72	benediktine1	400
73	CoffeeNoir	384
73	Zedducius	384
73	Jackattack53	384
73	Hiryu27	384
77	Merv__	382
78	beeperbeeper5	380
78	Xclax101	380
80	eviltunix	376
81	Matorz	372
82	DermeinUser	368
82	_Boipl_	368
84	lizardfightclub	364
85	EMC_	356
85	anbbang	356
87	ROY4LE	352
87	Ecplosive	352
89	Racengan	344
90	Arceus1975	338
91	thewindmillman	337
92	tobinwilliams	336
92	sxc_	336
94	pintsizedrogue	332
95	DarkS0L	329
96	Dakar_	321
97	xxPipperDipperxx	320
98	LordSpeed37	316
99	Steelynan	314
100	Di_infiri	312
101	Fuad_R	308
101	CattSoup	308
103	lewieinnit	296
103	DanTheBuilderino	296
105	TheSeismicDuck	292
105	NameGenerat0r	292
105	Nicserso	292
108	Kubelz	288
108	MirielThePastor	288
110	_i_ERROR_i_	285
111	_Nuf	284
112	KliBeast21	278
113	theonlymagikarp	276
113	Chromary	276
113	NormanFetus	276
113	avalan64	276
117	Mahoose	274
118	PazinGaming	272
118	Vizzoid	272
118	TheSecondLord	272
121	fr0stss	268
121	XboxPanda	268
121	Lutres_	268
124	PaperCanvas	264
124	Warlord324	264
126	MrExplorer	260
126	SkateboardR6	260
128	_Huge_Male_	259
129	Arteriana	256
130	07shiny	252
130	Skippeh	252
132	jacxhadow	250
133	Cowison	248
133	Winklepicker279	248
133	thgrocks	248
136	Kijiki	245
137	Zaridey	244
137	censorsheep	244
139	m_be9	240
140	eitanzaki	236
141	The_slideV3	232
142	Tommhh	228
143	Factoroni	224
144	Jorrdi	220
144	layabout100	220
146	bigstankyy	216
146	drunkeeez	216
148	set67	213
149	xX_Stalin69_Xx	212
150	rarrq	204
150	pixelviolin	204
152	cringenaynaybaby	200
152	Chaotic1s	200
152	krutas2000	200
155	UCP_TheKingK	197
156	Notta	196
156	Mr_Sun15	196
158	Jakobo1337	194
159	skrongus	192
160	ergoalias	188
160	MattieHD	188
160	zorin123	188
160	TableTim	188
164	Kkanot	184
165	mwrty	180
165	BumbleBeever	180
167	Awyrlas	176
167	trexgb	176
169	diamondgolem35	174
170	Zoeyfortnite	172
171	Healthing	168
171	Iagoku	168
171	SoftSix	168
171	BronkerBrum	168
171	sammidk	168
176	Huwulling	166
177	ImpavidArcher	164
177	Syropatathe	164
177	fkGrim	164
177	Tyrannosplart	164
177	JohnPrice	164
182	q_wq	160
182	PeteO1995	160
182	Calbo_	160
185	Druid95	157
186	Yatitay	156
186	ivorico	156
188	NatalieTW	152
188	Donutt	152
190	ECstardust	148
190	Natty	148
192	MonitorLizards	144
192	jcool7	144
194	Jovaphobic	140
194	cheerytomato	140
194	legal_tax_evader	140
197	AuroraSkies	136
197	Soffbord	136
199	FreakGenius	134
