rank	username	minecraft:crafted/minecraft:wheat
1	Enderslayerxz3	6317
2	Mahoose	5968
3	joethahobo	5040
4	pintsizedrogue	4401
5	Snowflowe	3780
6	himak1	3294
7	kekhon	3256
8	Groovy_MoonBird	2847
9	TheShyPig	2574
10	Vizzoid	2493
11	500am	2313
12	fred870d	2052
13	chipklip	1768
14	Ailmast	1732
15	Kowcio_	1728
16	teslawolf38	1710
17	set67	1642
18	ProfessorBee	1332
19	thescout7	1296
20	RodSerlingCringe	1170
21	FishyBoy3811	1152
22	jcool7	1151
23	victorLIE	945
24	IdeallyGrey	936
25	Kim_Jong_eel	891
26	TAKrules	837
26	sp00ky_ghost977	837
28	ExtraDumb	835
29	rarrq	819
30	ROY4LE	810
31	RyuNeko932000	783
31	diggydog67	783
33	Quaintster	775
34	07shiny	768
35	Smoke____	758
36	Kouridragon	738
36	Njensen7	738
38	hcb238	720
39	duelcard	711
40	HesDemonPants	603
41	Kakolbus	594
42	Drlzyy	576
42	Werbe	576
42	AssEatrAndLicker	576
45	obzii	572
46	abramgray	528
47	EMC_	522
47	Soplight	522
49	MyNameIsDakar	513
50	SaucyDark	512
51	DScatgirls	509
52	H72l9w	504
53	Frozil12	496
54	EveryonesUncle	495
55	MrMonster61	486
56	DanTheBuilderino	477
57	UncreativeArtist	459
58	Chromary	450
59	lordsaladito	444
60	djancak	441
61	gabriels543	432
62	Historical_Sand	428
63	KingFaenor	423
63	Airem_Core	423
65	Freak_Genius	414
66	Awyrlas	409
66	Myhym	409
68	MinttyFressh	405
69	Di_infiri	396
69	PortlyPete69	396
71	bigstankyy	388
72	bloodbiter	387
72	Bolete	387
74	noam464	378
75	Stynxy	360
75	ElKaySVK	360
77	KarlKaek	351
77	stellarjay	351
77	PlasticOtari	351
80	Marbz_	342
80	fluddd	342
82	yulgur1	333
83	Azorathum	324
83	Ezekson	324
83	SpaceTurtleOX	324
86	_Virify_	323
87	SeverianTheLame	306
87	kinas45y5	306
89	Prayingninja	297
89	NotMeowMix	297
89	YungMaki	297
92	Dan_Scha	290
93	soundad	288
93	JungeSchnauzer	288
93	remmisrat	288
96	noyan121	282
97	2blox	281
98	ABitOddish	279
98	WarMachina	279
98	Rasmanden	279
101	Calbo_	262
102	Michaelelelelele	261
102	tortillatitan	261
102	CharlieButt	261
102	RealDelver	261
106	MunkaKris	252
106	Merv__	252
106	thewindmillman	252
106	_Boipl_	252
106	camando92	252
111	KartivGal	243
111	CarryLine	243
113	PegLegPete93	234
114	Blaiku	225
115	SuperPooch06	221
116	valiSW	216
116	regulator75	216
116	wezzzi	216
116	rotten_mango	216
120	Swexti	207
120	Wowful	207
122	adiccting01	199
123	TylerDupree	198
123	smogfrog	198
125	diamondgolem35	189
126	Begformurrcy	180
126	Euclidoris	180
126	ooga47	180
129	HellsSponge	171
129	Xclax101	171
129	underscore_2	171
129	fffMike	171
133	SpaggeDR	162
133	anbbang	162
133	xorompole	162
136	TheSecondLord	153
136	a_smol_bean	153
138	Cocoamallows	149
139	eitanzaki	144
139	Myszoaz	144
139	_Hayt	144
139	Hermanni__	144
143	_Razar	136
144	jaimshae	135
144	Luigipunch989	135
146	Windo_licker	126
146	masskedman	126
146	SkateboardR6	126
149	PhantomBionic	117
149	Akoot_	117
149	Chuglyfe	117
149	K_a__a_n	117
153	skatch212	108
153	emrekn	108
153	LilyNova	108
153	DeeDeeThonk	108
153	NameGenerat0r	108
153	_zzoe	108
153	Dusk_95	108
160	Frxnkz	99
160	jushykins	99
160	egglapras	99
160	KnightmareD	99
160	TheOuterCore	99
165	CrazyPotater	91
166	Hpdinosaur	90
166	CollinMH06	90
166	Skomo	90
166	Joestra	90
166	MightyWertu	90
166	Spacewardharpy7	90
172	PigDab	82
173	Jagyeol	81
173	spypig23	81
173	lizardfightclub	81
173	LeeMcGee30	81
173	laron58	81
173	Oxygen16	81
179	Yatitay	72
179	ImpavidArcher	72
179	T045RTY	72
179	picardred	72
179	dopplexd	72
179	OtherAnimus	72
179	Quincannon	72
179	sebastiensaborio	72
179	Sral7	72
188	I_Am_Mushkin	65
189	Louiis123	63
189	erikthebeanman	63
189	Wooptey	63
189	intropass	63
189	Xalithia	63
189	Matek_	63
189	TableTim	63
189	DarlaMeow	63
189	starbits140	63
189	DennyKai	63
189	oxfordschool	63
189	Legendosh	63
201	noodlepack	54
201	maaacaroni	54
201	_Yonk_	54
204	301851	45
204	John6970	45
204	Lord_Jord	45
204	XxCookiequeenxX	45
204	Quinasin	45
204	deerm	45
