rank	username	minecraft:crafted/minecraft:white_concrete_powder
1	Zythose	105552
2	noam464	63638
3	Hyp3rion_	47368
4	eitanzaki	42864
5	Blaiku	35040
6	rarrq	34752
7	Di_infiri	32688
8	lordpipe	30400
9	Spacewardharpy7	24064
10	thescout7	22968
11	Jackattack53	20696
12	Swexti	20064
13	fred870d	19512
14	beeperbeeper5	17352
15	Freak_Genius	17216
16	EveryonesUncle	17160
17	Franco093	15456
18	xxPipperDipperxx	11172
19	EcksD	10368
20	lillips	10320
21	HyperCave	9728
22	RodSerlingCringe	9528
23	Ezekson	9392
24	bigstankyy	9072
25	Inchef	8184
26	__Fanda__	7688
27	ROY4LE	6936
28	Miko_Fullbuster	6387
29	Xalithia	6352
30	HellsSponge	6292
31	Hoid_the_Roamer	6144
32	Steelynan	6088
33	set67	5968
34	BumbleBeever	5880
35	YungMaki	5872
36	_Karmaa	5808
37	__tomato	5344
38	KG1999	5096
39	500am	5056
40	teslawolf38	4632
41	Hyugo	4608
41	jushykins	4608
43	beeleg	4544
44	titanlax	4456
45	Snowflowe	4432
46	diamondgolem35	4064
47	SkateboardR6	4032
48	kekhon	4016
49	RobotMinion101	3896
50	CollinMH06	3704
51	PigDab	3608
52	T045RTY	3584
53	Smoke____	3520
54	Enderslayerxz3	3384
55	Ssor69	3336
56	surfinggiraffejp	3200
57	Mahoose	3064
57	Groundler	3064
59	Onennon	3000
60	r123moore	2880
61	Frozil20	2776
62	Iagoku	2704
63	CoffeeNoir	2688
64	sp00ky_ghost977	2588
65	NameGenerat0r	2568
66	Mewar	2529
67	SuperPooch06	2488
68	LeauVox4921	2432
69	Hiryu27	2408
70	oxfordschool	2282
71	joethahobo	2224
72	Incinere	2152
73	El_Jalapeno	2120
74	Merv__	2056
75	ssleepless	1928
76	RedcatVII	1776
77	Da_Boss_Rani	1736
78	Zoeyfortnite	1688
79	TheSecondLord	1672
80	Lutres_Torane	1664
80	MakeHistory157	1664
80	stahouo	1664
80	Quotary	1664
84	StinkyDiplomat	1624
85	ImpavidArcher	1600
86	Leyna3	1584
87	1442	1572
88	ProfessorBee	1504
88	Powowowow	1504
90	EcksDofficial	1368
91	TheShyPig	1312
92	Segotep999	1288
93	NLKBuilder	1152
94	PlasticOtari	1120
95	Kyrum2169	1080
96	audiocracked	1024
96	Syropatathe	1024
96	YoshikageBites	1024
99	oreee	1016
99	LordSpeed37	1016
101	Rich_Kat	968
102	kinas45y5	960
103	MousePlays	944
104	thewindmillman	906
105	NoChumpChange	832
106	Paintz	824
107	Menthas	816
108	M_Patata	768
108	Blu3beast	768
108	MasterNueve	768
108	pixelviolin	768
112	claivin	712
113	Blackberry1310	696
114	Winklepicker279	688
114	SpacesickPrism	688
116	Drlzyy	608
117	Arceus1975	592
118	nocturne78	576
119	Darkgon	568
120	jnp_gaming	544
121	Jovaphobic	512
121	NotTrixi	512
121	ibarker21	512
121	ApophisNova	512
121	groofles	512
121	Sky_light_KING	512
121	EngagedGrub41	512
121	MyNamaSheff	512
121	JayToe	512
130	TheTrueClipse	464
131	_Dean_123	456
132	Whiterooster001	432
132	MyNameIsDakar	432
134	Elprone266	424
134	GLLogan2	424
134	John6970	424
137	ExtraDumb	384
137	Legendosh	384
139	WyngGoy	376
140	Slapface522	344
141	Enigma0251	320
141	Truckoss	320
143	ItsAki_	304
144	stavgod	280
145	xo_Marren_xo	264
145	starbits140	264
147	willowcherrytree	256
147	Dan_Scha	256
147	AssFullaCum	256
147	stellarjay	256
147	tartanboy	256
147	RadarHz	256
147	AltnumberF4	256
147	h2p_emrld	256
155	ConcretePirate	248
155	SokaOtaku	248
157	AJplaysMC_	232
158	himak1	216
158	Xovalt_	216
158	Sral7	216
161	fluddd	200
162	CalebDHawk	192
162	Schlitzman	192
164	Kowcio_	184
165	jimintyy	176
165	Blamphe	176
167	Cyntrical	168
168	Quaintster	160
169	pintsizedrogue	152
169	EMC_	152
169	epiksk8erduck	152
169	GravitySaint	152
169	Winston_Ingram	152
174	Chromary	136
175	AuroraValkyrie	128
175	Scathra	128
175	GoofyBread	128
175	lcvezra	128
179	Tobinator_007	112
179	StanceTB	112
179	Diavri	112
182	Fullut	104
182	BlueZabu	104
184	wwwwinnebagoooo	96
185	TechnoNinja64	88
186	PortlyPete69	80
187	Fuad_R	72
187	Lowjinx	72
189	Malorn_Aetherius	64
189	LexMakesHistory	64
189	MissCeleste7	64
192	tuckerdoodle	56
192	MrExplorer	56
192	chipklip	56
195	bloodbiter	48
196	KarlKaek	40
196	Ze_BaronKrigler	40
196	bloomkieren	40
199	Smashic	32
199	UCP_TheKingK	32
201	Soplight	24
202	prizm_	16
202	Kim_Jong_eel	16
202	TheEnderman548	16
202	mountaingirl311	16
206	PhantomsGhost_	8
206	cedric72	8
206	Deathkob	8
