rank	username	minecraft:crafted/minecraft:white_terracotta
1	thewindmillman	25904
2	YungMaki	5504
3	TheSecondLord	4608
4	Spacewardharpy7	3584
5	joethahobo	3400
6	himak1	3112
7	DarlaMeow	2832
8	yulgur1	2800
9	Rumpletaezer	2712
10	Inbefour	1752
11	kekhon	1216
12	mihimihimihi	1152
13	SuperPooch06	928
14	Luigipunch989	784
15	ProfessorBee	688
16	Werbe	668
17	Smoke____	660
18	Steelynan	652
19	QuiCreans	640
20	Blu3beast	624
21	_Bguette_	584
22	PlasticOtari	544
23	SellyZ	512
24	Mahoose	492
25	EcksD	432
26	Tobinator_007	424
27	EcksDofficial	420
28	lordpipe	372
29	drunkeeez	328
29	Legendosh	328
31	wobn	296
32	Mr_Byzantine	264
33	ProbablyNick	256
34	Lord_Jord	240
35	CarryLine	232
35	SSytex_X	232
37	xxPipperDipperxx	192
37	mariominejedi	192
39	Stynxy	184
40	ImpavidArcher	180
41	Merv__	160
42	duqboy	144
43	Parcc	136
44	Inchef	128
45	MilleGrug	120
46	thescout7	112
46	TheShyPig	112
48	Frozil20	104
49	beeperbeeper5	96
50	pintsizedrogue	92
51	master9067	88
52	Snowflowe	84
53	noam464	78
54	Tommhh	72
54	ROY4LE	72
56	500am	64
56	MeowMeowMcmuffin	64
56	Marbz_	64
56	Quincannon	64
56	NameGenerat0r	64
56	claivin	64
56	Freak_Genius	64
56	wwwwinnebagoooo	64
56	07shiny	64
56	oxfordschool	64
66	Blackberry1310	56
67	gcaisawesome	48
68	SaucyDark	40
68	monolu	40
70	Jiminie	36
71	Kowcio_	32
72	HellsSponge	28
73	Icyyyyy	24
73	Di_infiri	24
73	TheEnderman548	24
73	SammiWolfGirl	24
77	_Virify_	19
78	Karbl	16
78	Toriankel	16
80	eitanzaki	12
80	Sral7	12
82	Bandito_Roamer	8
82	m_be9	8
82	Kakolbus	8
82	AJplaysMC_	8
82	Bumpy419	8
82	cedric72	8
82	TTNG	8
82	DemTechAlpha	8
82	StinkyDiplomat	8
82	ItsDeltaMC	8
92	youhjjhhhjj	6
92	Doom_melon	6
92	fluddd	6
95	Hermanni__	1
95	EngagedGrub41	1
