rank	username	minecraft:crafted/minecraft:yellow_shulker_box
1	Hyp3rion_	542
2	thewindmillman	252
3	Marbz_	142
4	TheSecondLord	63
5	Jackattack53	41
5	Inbefour	41
7	Lez_	39
8	pintsizedrogue	36
9	jnp_gaming	28
10	Awyrlas	24
11	Huwulling	22
11	500am	22
11	Werbe	22
14	Smoke____	20
15	EcksD	19
16	Fullut	17
17	Mattesco	16
17	lillips	16
17	lordpipe	16
20	luseis	14
20	Enderxz3	14
22	TooManyDuck	12
23	Alteriity	11
23	PlasticOtari	11
25	beeperbeeper5	10
25	wezzzi	10
27	BumbleBeever	9
28	ThiccExotic	8
28	Snowflowe	8
28	YungMaki	8
31	mwrty	7
31	HellsSponge	7
31	NameGenerat0r	7
31	Groundler	7
31	sp00ky_ghost977	7
31	EngagedGrub41	7
37	Frozil20	6
37	Rebytre	6
37	Akoot_	6
37	SingedBread	6
41	Octatrack	5
41	Mahoose	5
41	12Magner05	5
41	Skylord_Luke	5
41	Deathkob	5
41	fluddd	5
47	Da_Boss_Rani	4
47	kekhon	4
47	surfinggiraffejp	4
47	gabriels543	4
47	Bumpy419	4
47	pixelviolin	4
47	Kowcio_	4
47	SammiWolfGirl	4
47	ConnorDanky_	4
47	Legendosh	4
47	00000000-0000-0000-0009-01ff0c3e5e4f	4
58	Merv__	3
58	Swexti	3
58	Prodiginus	3
58	fade_emerge78823	3
58	Zaridey	3
58	Lord_Jord	3
58	masskedman	3
58	MightyWertu	3
58	Blaiku	3
58	MovingFish7	3
58	MilleGrug	3
58	Njensen7	3
58	Ezekson	3
58	Jimb0nat0r	3
58	diggydog67	3
73	Groovy_MoonBird	2
73	teslawolf38	2
73	Hpdinosaur	2
73	joethahobo	2
73	titanlax	2
73	shyshyannne	2
73	Smashic	2
73	set67	2
73	xxPipperDipperxx	2
73	SuperPooch06	2
73	KartivGal	2
73	NomadicRobin_	2
73	EveryonesUncle	2
73	Tyrannosplart	2
73	MAns_44	2
73	Hisiste	2
73	Yahir091	2
73	Airem_Core	2
73	IAmTheWalrus910	2
73	WyngGoy	2
73	UCP_TheKingK	2
73	gusstationwerker	2
73	stellarjay	2
73	fffMike	2
73	Steelynan	2
73	AltnumberF4	2
99	Lepthymo	1
99	Jovaphobic	1
99	seanitoo	1
99	_Virify_	1
99	Froste131	1
99	ProbablyNick	1
99	PhantomsGhost_	1
99	CadenSteele	1
99	SmashingPump	1
99	AuroraValkyrie	1
99	EMC_	1
99	Houstonion	1
99	diamondgolem35	1
99	Iagoku	1
99	Esme_1	1
99	ExtraDumb	1
99	ImpavidArcher	1
99	SaucyDark	1
99	eitanzaki	1
99	TAKrules	1
99	CoffeeNoir	1
99	MOSS000	1
99	Myszoaz	1
99	ITDV	1
99	fr0stss	1
99	Historical_Sand	1
99	IWorkAtIkea	1
99	Euclidoris	1
99	Blackberry1310	1
99	SDMNAEK	1
99	jushykins	1
99	Rich_Kat	1
99	m_be9	1
99	MattieHD	1
99	SteveCraftBlocks	1
99	CyrusIsTired	1
99	Xalithia	1
99	SellyZ	1
99	Diavri	1
99	noam464	1
99	XboxPanda	1
99	TheDankPlatypus	1
99	SeverianTheLame	1
99	prizm_	1
99	Kakolbus	1
99	Ecplosive	1
99	nitram49b	1
99	Chromary	1
99	burbankbuilder28	1
99	MangoTheFish	1
99	pappaberg	1
99	Hoid_the_Roamer	1
99	Donutt	1
99	Voxin2K	1
99	ApophisNova	1
99	Kouridragon	1
99	Luminad3	1
99	Maenara	1
99	IamCL4SSY	1
99	binman420	1
99	audiocracked	1
99	Fuhrer_Teemo	1
99	Soap_Bender	1
99	1442	1
99	RoBe__	1
99	claivin	1
99	Jamstroxian	1
99	Blu3beast	1
99	Nycteus_	1
99	censorsheep	1
99	Xclax101	1
99	GoofySilly	1
99	OffWithTheirHead	1
99	MS_Pryxx	1
99	Typadopoulos	1
99	Warlord324	1
99	Spacewardharpy7	1
99	TheTommyGun63	1
99	iSammael	1
99	OG_Songsee	1
99	Razzgriz	1
99	stavgod	1
99	Eraxa	1
99	Mythic1130	1
99	Jij0	1
99	IdeallyGrey	1
99	__tomato	1
99	Soplight	1
99	Fizznut909	1
99	xzvu	1
99	_TCARREIRA_	1
99	GlitchyPlate810	1
99	Dogcorn69420	1
99	Dreamdbr14	1
99	ThisUserIsStump	1
99	Eczbek	1
99	Hermanni__	1
99	alderban107	1
99	Skippeh	1
99	anbbang	1
99	RadarHz	1
99	MyNamaSheff	1
99	FelixPSY375	1
99	little_dUki	1
99	Powowowow	1
99	vandmanden	1
99	Sral7	1
99	Zoeyfortnite	1
99	calamariclam_I	1
99	JayToe	1
99	FishisTTV	1
