rank	username	minecraft:custom/minecraft:damage_taken
1	Deodorante	94716860
2	Hyp3rion_	20297301
3	thescout7	16548230
4	luseis	15066601
5	masskedman	8894048
6	beeperbeeper5	6111593
7	Jimb0nat0r	5338503
8	EcksD	5082250
9	noam464	4101614
10	Jackattack53	3399917
11	eitanzaki	3205678
12	hanaryheatwave	3172873
13	Mahoose	2851632
14	joethahobo	2846220
15	thewindmillman	2697765
16	Manaateee	2434281
17	AdmiralSmoke	2422334
18	lordpipe	2352269
19	oscminus	2351821
20	jcool7	2321365
21	Blaiku	2166603
22	Spacewardharpy7	1924302
23	Lez_	1707520
24	Blu3beast	1656793
25	Kowcio_	1583151
26	Di_infiri	1540186
27	PazinGaming	1527940
28	Werbe	1510087
29	PigDab	1509098
30	Ezekson	1475161
31	Segotep999	1438308
32	rarrq	1321720
33	YungMaki	1316080
34	kekhon	1287069
35	HellsSponge	1286063
36	NomadicRobin_	1261584
37	Akoot_	1179426
38	Groovy_MoonBird	1143345
39	Blackberry1310	1109562
40	Frozil20	1062884
41	TheSecondLord	1028083
42	Mattesco	905736
43	Hermanni__	896708
44	Eraxa	895131
45	claivin	857990
46	PlasticOtari	838872
47	TechnoNinja64	800674
48	Smashic	743219
49	_Huge_Male_	739217
50	pintsizedrogue	721526
51	FreakGenius	705312
52	Enderxz3	702782
53	ooga47	699794
54	T045RTY	679978
55	gcaisawesome	678725
56	12Magner05	634607
57	Fullut	611282
58	xxPipperDipperxx	579397
59	EMC_	572808
60	ECstardust	571361
61	Historical_Sand	565243
62	Tyrannosplart	541084
63	xzvu	540001
64	jnp_gaming	534319
65	Spenduh	532967
66	Inchef	532059
67	ApophisNova	530481
68	MyNamaSheff	530184
69	SuperPooch06	525707
70	SteveCraftBlocks	516421
71	xolstoi	514793
72	Huwulling	507594
73	KarlKaek	497923
74	ConnorDanky_	489512
75	El_Jalapeno	485254
76	__tomato	484288
77	Fuad_R	482193
78	Mr_Byzantine	471132
79	fluddd	464524
80	Krowuss	457543
81	_Dean_123	453245
82	Chromary	447130
83	Soplight	444763
84	bloodbiter	436386
85	StarCookiees_	428461
86	Onennon	428369
87	Steelynan	424877
88	jessewegottacook	422486
89	EveryonesUncle	420647
90	_Mythic____	405902
91	skrongus	404260
92	Rebytre	398661
93	Racengan	385533
94	Kakolbus	380977
95	Merv__	379585
96	Zythose	373770
97	himak1	371506
98	DarlaMeow	369086
99	weabis	358885
100	ImpavidArcher	358734
101	500am	358328
102	TheMilkerOfCats	350682
103	fffMike	349768
104	Lord_Jord	341788
105	SyntheticSurgeon	339831
106	obzii	334436
107	Zoeyfortnite	332020
108	burbankbuilder28	324766
109	ShedJr_	324109
110	Arceus1975	320082
111	MyNameIsJobo	316732
112	PortlyPete69	314758
113	SvenskaHugo	313232
114	ItsHydroMC	309906
115	Legendosh	303648
116	SkateboardR6	302732
117	SoosAmongus	297661
118	Sral7	295346
119	Skippeh	281819
120	NameGenerat0r	280381
120	Nicserso	280381
122	MineMaster0012	276753
123	set67	276009
124	diamondgolem35	273359
125	_Virify_	271298
126	pixelviolin	268867
127	MilleGrug	268155
128	XboxPanda	267849
129	SammiWolfGirl	267691
130	6king6colt6	264922
131	AlexxO_o	263675
132	Marbz_	260016
133	m_be9	259658
134	Snowflowe	255722
135	RebelAndroid	255023
136	_Bguette_	253845
137	mihimihimihi	251550
138	h2p_emrld	248599
139	wwwwinnebagoooo	247310
140	LeonelSalamanca	247005
141	MattieHD	246476
142	mwrty	244333
143	CoffeeNoir	241585
144	laron58	241272
145	Nycteus_	240176
146	Alteriity	239788
147	F_Uhre	235173
148	lillips	234548
149	Winklepicker279	233564
150	NatalieTW	233217
151	Maenara	232489
152	bigstankyy	227630
153	k_ce	226613
154	CalebDHawk	226123
155	PhantomsGhost_	226073
156	Xalithia	225421
157	Kura2218	224866
158	Secret_Canary	224061
159	Hiryu27	223781
160	Deathkob	219278
161	ROY4LE	218795
162	TheShyPig	218178
163	Wowful	217625
164	hm947	216693
165	fw3xy74	215815
166	cedric72	215303
167	ProfessorBee	213123
168	Warlord324	212113
169	Powowowow	211554
170	Apollo_993	211280
171	lcvezra	210688
172	Luminad3	209696
173	I_Am_Mushkin	208897
174	WyngGoy	207658
175	Groundler	205831
176	fr_ser	202921
177	lorywithay	202277
178	SpacesickPrism	200452
179	MirielThePastor	200270
180	Archsam	200154
181	LeEricc	198323
182	_Boipl_	193681
183	TheBananaKat	192596
184	_TCARREIRA_	192004
185	CLG_Kata	188922
186	lorpus	188255
187	Saucepeh	188119
188	Ryan_GEMS	187048
189	alderban107	186218
190	MightyWertu	184337
191	TheWildMateo	183895
192	shadowthemonkey	183137
193	Awyrlas	182331
194	Bumpy419	181572
195	Quotary	180311
196	Swexti	178831
197	non089	178217
198	q_wq	173067
199	calamariclam_I	171305
200	Sheldor097	170787
201	AstreaTSS	169325
202	yheece	164995
203	UCP_TheKingK	164372
204	BlancoFlaco	164191
205	Iamthejo	161984
206	excelsionprime	160562
207	Skylord_Luke	160035
208	H72l9w	158049
209	groofles	157752
210	Hisiste	156101
211	r123moore	153793
212	zToasty69z	152325
213	vandmanden	151646
214	Da_Boss_Rani	150802
215	Quaintster	150522
216	Cowison	150314
217	Ze_BaronKrigler	149315
218	sp00ky_ghost977	148588
219	FishyBoy3811	148473
220	teslawolf38	147642
221	SingedBread	145994
222	StinkyDiplomat	145591
223	SaucyDark	142538
224	MovingFish7	141179
225	lizardfightclub	141037
226	thgrocks	140330
227	yulgur1	139605
228	Dakar_	139581
229	_i_ERROR_i_	138738
230	Covalents	138323
231	MAns_44	138157
232	Nicky_H225	138056
233	Inbefour	136590
234	Teebone15	136274
235	ITDV	135395
236	Eczbek	135074
237	MoistMicrowave	134970
238	Rumpletaezer	134951
239	2blox_	134644
240	00000000-0000-0000-0009-01ff0c3e5e4f	133388
241	Incinere	131533
242	PaperCanvas	131527
243	censorsheep	130343
244	Crowman1	127935
245	Biites	127411
246	Killercatty78	127005
247	djancak	126466
248	parodypatient	126461
249	soundad	125950
250	monky_irl	125702
251	Kyrum2169	125570
252	Dreamdbr14	125508
253	SmashingPump	125388
254	Corbsman	124754
255	fade_emerge78823	123795
256	stavgod	123760
257	HyperCave	122131
258	Wooptey	120449
259	RobotMinion101	120025
260	NieToksikpl	119695
261	anbbang	118327
262	Dogcorn69420	118310
263	Euclidoris	118063
264	H0UNDFRMH3LL	117992
265	Optiprimus	116993
266	intropass	115784
267	Comma__	115453
268	aldplaysmc	115346
269	FirsTimeGamingTV	115041
270	RadarHz	114876
271	Jonafrog99	114589
