rank	username	minecraft:custom/minecraft:drop
1	Hyp3rion_	9589522
2	thewindmillman	4953382
3	mihimihimihi	1891269
4	noam464	1444239
5	Jackattack53	978466
6	hanaryheatwave	835909
7	EcksD	782032
8	Spacewardharpy7	660646
9	PigDab	158339
10	Ezekson	127200
11	Kowcio_	126200
12	eitanzaki	88775
13	lordpipe	83981
14	gcaisawesome	69098
15	Frozil20	63997
16	beeperbeeper5	60880
17	Blaiku	59572
18	kekhon	56494
19	pixelviolin	54358
20	Di_infiri	52577
21	_Mythic____	51158
22	milltesco	50487
23	Alteriity	46989
24	joethahobo	42632
25	Blackberry1310	40896
26	doublemaki	39318
27	catandmoose	37158
28	HellsSponge	33670
29	Yamdalorian	32950
30	xxPipperDipperxx	31336
31	EMC_	27357
32	Mahoose	27125
33	Mattesco	25571
34	LuvLuvLove	25269
35	FreakGenius	23788
36	EveryonesUncle	21682
37	Werbe	21603
38	Lez_	21539
39	Akoot_	21046
40	NomadicRobin_	20914
41	SpacesickPrism	18190
42	Segotep999	16908
43	Smashic	16234
44	Fullut	15965
45	Groovy_MoonBird	15573
46	pintsizedrogue	15416
47	xzvu	15065
48	El_Jalapeno	14620
49	Blu3beast	14556
50	TheSecondLord	14327
51	Racengan	13965
52	SoosAmongus	13950
53	luseis	13938
54	Tyrannosplart	13560
55	PhantomsGhost_	13488
56	Zythose	13415
57	Iamthejo	13314
58	500am	13298
59	Krowuss	13156
60	k_ce	12942
61	SammiWolfGirl	12819
62	SteveCraftBlocks	12733
63	12Magner05	12718
64	thescout7	12366
65	TechnoNinja64	12215
66	oscminus	12143
67	Lord_Jord	12067
68	Jimb0nat0r	12054
69	Manaateee	11683
70	Chromary	11351
71	Soplight	11243
72	Enderxz3	11053
73	MightyWertu	10984
74	ECstardust	10974
75	jnp_gaming	10771
76	rarrq	10574
77	ImpavidArcher	10495
78	Fuad_R	10351
79	diamondgolem35	10053
80	PazinGaming	9563
81	Xclax101	9439
82	cuddlyMonster	9320
83	T045RTY	9163
84	Steelynan	8897
85	emreknugrlu	8834
86	_flud	8774
87	ConnorDanky_	8695
88	Hisiste	8687
89	Skylord_Luke	8057
90	_i_ERROR_i_	7841
91	Skippeh	7665
92	Rebytre	7497
93	Kakolbus	7466
94	Bumpy419	7146
95	Humpcat	7042
96	Eraxa	7031
97	es0th	6932
98	Nicserso	6883
99	craaaash	6448
100	Spenduh	6411
101	RebelAndroid	6408
102	__tomato	6397
103	Comma__	6274
104	PortlyPete69	6263
105	PlasticOtari	6148
106	MilleGrug	6033
107	Winklepicker279	5978
108	Arceus1975	5880
109	Secret_Canary	5770
110	KingMatthew506	5659
111	_Virify_	5589
112	_witch_craft_	5551
113	Legendosh	5449
114	fade_emerge78823	5441
115	mwrty	5438
116	AlexxO_o	5427
117	hermmm_	5418
118	non089	5378
119	Pumpkin_P_Patch	5366
120	Inbefour	5280
121	vandmanden	5159
122	WyngGoy	5129
123	royal_2	5100
124	Lutres_	5079
125	mymayowasgone	5076
126	SuperPooch06	5003
127	Kura2218	4940
128	Sral7	4857
129	Onennon	4840
130	SingedBread	4815
131	Ryan_GEMS	4771
132	bl1ss0	4743
133	MattieHD	4740
134	MunkaKris	4711
135	Nargotah	4706
136	sp00ky_ghost977	4699
137	Huwulling	4644
138	Groundler	4570
139	TheSandwhich_	4548
140	Inchef	4546
141	SkateboardR6	4526
142	TheBananaKat	4491
143	jcool7	4475
144	burbankbuilder28	4367
145	Merv__	4358
146	FishisTTV	4339
147	Mr_Byzantine	4292
148	SvenskaHugo	4268
149	NameGenerat0r	4263
150	bloodbiter	4249
151	MAns_44	4156
152	DarlaMeow	4069
153	fffMike	3992
154	Studio4x32	3982
155	Mewar	3974
156	The11thDoctor	3962
157	Cowison	3908
158	EdGalbraith	3887
159	TheShyPig	3854
160	claivin	3839
160	Travka100	3839
162	Eczbek	3830
163	LordSpeed37	3779
164	Hiryu27	3778
165	Gregward_Smith	3769
166	AstreaTSS	3732
167	set67	3710
168	shadowthemonkey	3679
169	Rumpletaezer	3677
170	Historical_Sand	3676
171	XboxPanda	3666
172	Kyrum2169	3659
173	ROY4LE	3626
174	HesDemonPants	3576
175	intropass	3574
176	I_Am_Mushkin	3545
177	Windo_licker	3540
178	fw3xy	3513
179	MovingFish7	3506
180	SaucyDark	3500
181	Snowflowe	3495
182	groofles	3461
183	Buuck_	3455
184	TwinTowerV2	3442
185	robertsnose	3435
186	Powowowow	3432
187	StinkyDiplomat	3389
188	StarCookiees_	3388
189	ApophisNova	3383
190	MyNamaSheff	3380
191	CoffeeNoir	3337
192	q_wq	3260
193	UrbanPlanningEx	3251
194	lorywithay	3240
195	zToasty69z	3168
196	m_be9	3167
197	_Huge_Male_	3149
198	RustyKedel	3147
199	_Karmaa	3130
200	_Dean_123	3101
201	Aryamanee	3086
202	Boipl	3082
203	RadarHz	3075
204	_Nuf	3074
205	Kubeusz2010	3071
206	masskedman	3061
207	TheKingK_	3055
208	IamCL4SSY	2998
209	Apollo_993	2996
210	CalebDHawk	2987
211	NatalieTW	2980
212	ShedJr_	2945
213	hm947	2926
214	monky_irl	2923
215	djancak	2892
216	Literally_Rat	2840
217	trexgb	2811
218	Saucepeh	2792
219	livingdaydreams	2781
220	KarlKaek	2780
221	miramyu	2778
222	Wowful	2728
223	h2p_emrld	2688
224	shineh10	2687
225	taengoos	2685
226	H0UNDFRMH3LL	2620
227	titanlax	2617
228	Kubelz	2611
229	Reneedium	2609
230	obzii	2607
231	lorpus	2591
232	MSK__	2584
233	Ssor69	2581
234	TooManyDuck	2571
235	Archsam	2566
236	mimbo1211	2564
237	Niklas20114552	2535
237	TheWickedBird	2535
239	Quaintster	2523
240	Bandito_Roamer	2504
241	teslawolf38	2485
242	fkGrim	2474
243	benediktine1	2466
244	censorsheep	2458
245	yheece	2455
246	Franco093	2441
247	cichy096	2428
248	CLG_Kata	2414
249	Luminad3	2410
250	FishyBoy3811	2408
251	6king6colt6	2402
252	bigstankyy	2401
253	ItsColin11	2388
254	Awyrlas	2354
255	Warlord324	2339
256	FelixPSY375	2330
257	MuffinManzz	2319
258	excelsionprime	2317
259	F_Uhre	2314
260	Marbz_	2313
261	Cocoamallows	2302
262	ayamefag	2295
263	sufjanlover	2294
264	heckface	2252
265	Njensen7	2243
266	weabis	2235
267	eiC_	2232
268	Xalithia	2228
269	Dogcorn69420	2223
270	RobotMinion101	2192
271	Luigipunch989	2185
272	HelloIamSora	2180
273	Hahaa_0	2165
274	elliebelle107	2146
275	Touched_Bread	2139
276	FiguraDei	2115
277	Moofyman	2097
277	AspenLightVT	2097
279	robonya_	2092
280	olliebollie48	2087
281	WET_WET_WET	2081
282	blackeemperor	2067
283	lotarp	2051
284	Dakar_	2046
285	Incinere	1983
286	Rani_R	1956
287	NATE_the_HALO	1949
288	TheSeismicDuck	1937
289	HolyVenom	1933
290	_TCARREIRA_	1926
291	yulgur1	1910
292	cedric72	1909
293	IAmTheWalrus910	1877
294	OreTheBear	1875
295	MakeHistory157	1871
296	powercas_gamer	1866
297	Elastiq	1863
298	00000000-0000-0000-0009-01ff0c3e5e4f	1862
299	Ecplosive	1821
300	r123moore	1807
