rank	username	minecraft:custom/minecraft:player_kills
1	Hyp3rion_	1999
2	Jackattack53	1825
3	rarrq	1746
4	Eraxa	1329
5	Frozil20	1162
6	eitanzaki	980
7	Chromary	789
8	fluddd	683
9	noam464	582
10	jcool7	577
11	kekhon	572
12	Jimb0nat0r	565
13	beeperbeeper5	564
14	Blu3beast	524
15	Blaiku	474
16	Tyrannosplart	465
17	oscminus	458
17	claivin	458
19	joethahobo	450
20	Ezekson	436
21	PazinGaming	433
22	Akoot_	412
23	YungMaki	363
24	Blackberry1310	358
25	Segotep999	356
26	Spenduh	352
27	Di_infiri	321
28	F_Uhre	316
29	__tomato	276
30	_Huge_Male_	270
31	xzvu	268
32	Groovy_MoonBird	266
32	EcksD	266
34	lorpus	257
34	lcvezra	257
36	TheSecondLord	243
37	Maenara	227
38	Mahoose	208
39	h2p_emrld	195
40	Racengan	185
40	Kura2218	185
42	Inchef	180
43	KarlKaek	171
43	jnp_gaming	171
45	Killercatty78	170
46	Kowcio_	169
47	ImpavidArcher	168
47	Soplight	168
47	ConnorDanky_	168
50	H0UNDFRMH3LL	166
51	jessewegottacook	163
52	SvenskaHugo	160
53	set67	159
53	MirielThePastor	159
55	obzii	154
56	SyntheticSurgeon	153
56	LeGold	153
56	Zoeyfortnite	153
59	MovingFish7	152
60	Kyrum2169	149
61	SkateboardR6	147
62	mimbo1211	141
62	PortlyPete69	141
62	Steelynan	141
65	T045RTY	136
66	H72l9w	135
66	LeonelSalamanca	135
68	6king6colt6	130
69	Badenbeele	129
69	fr_ser	129
71	Smashic	128
71	Spacewardharpy7	128
73	_Bguette_	123
74	SuperPooch06	119
75	ApophisNova	117
75	MyNamaSheff	117
77	luseis	112
78	Huwulling	111
79	bigstankyy	108
79	_TCARREIRA_	108
79	fffMike	108
82	SmashingPump	107
83	xolstoi	105
84	DarlaMeow	100
85	jimintyy	98
85	_Dean_123	98
87	Jonafrog99	97
87	_Mythic____	97
87	AdmiralSmoke	97
90	weabis	96
91	NomadicRobin_	95
92	Onennon	94
93	pintsizedrogue	93
93	lillips	93
95	Flores991	90
96	PhantomsGhost_	89
97	Euclidoris	88
97	Hiryu27	88
99	TheWildMateo	87
100	Fullut	86
100	SammiWolfGirl	86
102	WyngGoy	85
103	CalebDHawk	83
103	Biites	83
105	Wowful	81
105	Groundler	81
107	laron58	80
108	Werbe	79
109	Zythose	78
110	SaintJosie	77
111	diamondgolem35	76
111	Kkanot	76
111	Skippeh	76
114	_Virify_	75
114	Merv__	75
114	FreakGenius	75
114	LeEricc	75
118	Incinere	72
119	Luminad3	70
119	UCP_TheKingK	70
119	Hermanni__	70
122	dabloons	69
122	itburb	69
124	ROY4LE	68
125	seanitoo	67
126	MakeHistory157	66
127	yheece	65
127	EveryonesUncle	65
129	fanofbands101	64
129	_i_ERROR_i_	64
131	Kynigito	63
132	Fuad_R	62
133	lolpoottoot	61
134	emrekn	59
135	Historical_Sand	58
135	Cambo5000	58
137	teslawolf38	57
137	xxPipperDipperxx	57
137	Krowuss	57
137	Dreamdbr14	57
141	MOSS000	56
141	CollinMH06	56
141	skrongus	56
144	Crowman1	54
144	shrimp_flips	54
146	FishyBoy3811	53
147	ECstardust	51
147	Manaateee	51
149	hanaryheatwave	50
150	CLG_Kata	49
150	Enderxz3	49
152	himak1	48
152	thebaddruid	48
152	RobotMinion101	48
155	Tiberonus	46
155	Rebytre	46
155	handsome_strong	46
155	alderban107	46
159	HolyVenom	45
159	Kubeusz2010	45
161	ItsColin11	44
161	Notta	44
161	drunkeeez	44
161	Shiirazu	44
165	Reamdin	43
165	AlexxO_o	43
165	TheShyPig	43
168	jushykins	42
168	paranoid_plant	42
168	Rasmanden	42
168	TheOuterCore	42
168	Sral7	42
173	Teebone15	41
174	Shogunite	40
174	vandmanden	40
176	_lildarki3	39
176	shadowthemonkey	39
176	Soap_Bender	39
176	censorsheep	39
176	Sheldor097	39
181	gren_ben	38
181	ColeSnyder	38
181	r123moore	38
184	Swexti	37
184	Xalithia	37
184	Arceus1975	37
184	parodypatient	37
188	gcaisawesome	36
188	ItsMrRamen	36
188	xDraggin	36
191	JohnnyFyes	35
191	DarkDescent2392	35
191	legal_tax_evader	35
191	geekbird	35
191	PlasticOtari	35
196	XboxPanda	34
196	cichy096	34
198	mwrty	33
198	Mattesco	33
198	SvenskaAlvar	33
198	Nicserso	33
202	hollowww	32
202	Creativebuilder2	32
202	MattieHD	32
202	thescout7	32
202	CuzIm2Kev	32
207	MrKrabOnCoke	31
207	AJbeast01	31
207	NameGenerat0r	31
207	Warlord324	31
211	I_Am_Mushkin	30
211	Lez_	30
211	Secret_Canary	30
211	Quaintster	30
215	RoskobiOne	29
215	EMC_	29
215	Nicky_H225	29
215	MonkeySaint	29
215	Inbefour	29
215	Bloo2406	29
215	Kijiki	29
222	The_Cruncy	28
222	PigDab	28
222	GooseWithin	28
222	Lord_Jord	28
226	Kakolbus	27
226	Norrhede	27
226	stavgod	27
229	Prodiginus	26
229	SpacesickPrism	26
229	KingMatthew506	26
232	Alteriity	25
233	_Boipl_	24
233	k1ngGilgamesh	24
233	Steve897	24
233	Burge_r	24
233	TechnoNinja64	24
238	Frxnkz	23
238	Karetoko	23
238	epiksk8erduck	23
238	fw3xy74	23
238	Joestra	23
238	Syropatathe	23
238	Xclax101	23
238	SSytex_X	23
246	gaziter10	22
246	TheDankPlatypus	22
246	masskedman	22
246	monky_irl	22
250	Malorn_Aetherius	21
250	Skylord_Luke	21
250	Hisiste	21
250	Strangemonkey71	21
254	IronArshXS	20
254	TheMaster972	20
254	ougstur	20
254	Airem_Core	20
254	LetsDoItLive	20
254	ayamefag	20
260	Bandito_Roamer	19
260	SquadMonster	19
260	cheerytomato	19
260	Touched_Bread	19
260	Deodorante	19
260	Razzgriz	19
266	Mr_Byzantine	18
266	500am	18
266	TheTommyGun63	18
266	TheEnderMan548	18
266	Quotary	18
266	trexgb	18
272	SaucyDark	17
272	Batman922	17
272	The11thDoctor	17
272	Typadopoulos	17
276	chipklip	16
276	DinoDoctor_	16
276	ITDV	16
276	LilyNova	16
276	Bl1tzFX	16
276	Nycteus_	16
276	layabout100	16
276	33sudo	16
276	Legendosh	16
285	tramizu	15
285	FirsTimeGamingTV	15
285	Scathra	15
285	Nach0Bear	15
285	M_Patata	15
285	lordpipe	15
285	djancak	15
285	mawileite	15
285	CattSoup	15
285	Wolverine4302	15
285	Powowowow	15
285	Zcolt69	15
297	ProfessorBee	14
297	Ecplosive	14
297	Rumpletaezer	14
297	thewindmillman	14
