rank	username	minecraft:custom/minecraft:time_since_death
1	Ryker	15628626
2	Mewar	10581157
3	TheShyPig	6883731
4	slkiey	6877220
5	Spacewardharpy7	5855521
6	Valoth	5666045
7	Bumpy419	5280094
8	LordSpeed37	4532172
9	BungalowBeet	3885776
10	Hisiste	3782664
11	KingFaenor	3453755
12	Arceus1975	3347130
13	DTwenty	3271588
14	CharlieButt	3270347
15	2Stout	3217299
16	KlausVonStiglitz	3078945
17	Snowflowe	2957743
18	Xalithia	2772238
19	Jimi7hits	2730102
20	Inbefour	2662567
21	Kouridragon	2622425
22	XxCookiequeenxX	2550854
23	Paintz	2486000
24	SHAOBADMAN	2470594
25	Jovaphobic	2437356
26	Fizznut909	2394513
27	titanlax	2237575
28	EcksD	2119593
29	MindyDooWho	2054905
30	Hoid_the_Roamer	1948528
31	Jiminbub	1938788
32	audiocracked	1923882
33	AnnieBathory	1916431
34	ImpavidArcher	1910628
35	pintsizedrogue	1828453
36	ZeroKraken	1807100
37	Lowjinx	1796685
38	aec9	1786712
39	thewindmillman	1782957
40	Njensen7	1752202
41	Jahara	1748197
42	Smiguli_	1693245
43	MasterNueve	1637429
44	RebelAndroid	1607063
45	EngagedGrub41	1604029
46	wobn	1596493
47	Zedducius	1587172
48	Barlycorn	1580058
49	eiC_	1559565
50	Stynxy	1522637
51	Skomo	1507110
52	SvenskaAlvar	1487474
53	EMC_	1473881
54	selectrix	1456786
55	Xclax101	1455484
56	Harotio	1442194
57	MyNameIsJobo	1440011
58	SSytex_X	1419579
59	DiscardedCE	1376768
60	Hyp3rion_	1357393
61	toj__	1297152
62	301851	1266552
63	underscore_2	1257316
64	MightyWertu	1257050
65	MissCeleste7	1256111
66	beeleg	1236875
67	FirsTimeGamingTV	1233441
68	Dan_Scha	1225519
69	Merv__	1213053
70	BumbleBeever	1200049
71	BuildTheGondola	1195862
72	grislgrobl	1177113
73	Rainaldus	1172795
74	bloomkieren	1154705
75	PabloGonza02	1124219
76	NormanFetus	1122310
77	TAKrules	1122109
78	Lepthymo	1119375
79	Eczbek	1118979
80	DASH_X7	1112215
81	Paint	1110242
82	robotemo	1109857
83	hm947	1079721
84	SeverianTheLame	1072719
85	vandmanden	1058609
86	censorsheep	1038247
87	Kakolbus	1031976
88	_czarny	1031332
89	MattieHD	1013731
90	GLLogan2	995327
91	Ezekson	993970
92	PhantomsGhost_	988200
93	SlowMoNinja1994	976796
94	chlorinex	968950
95	Kekoo	964917
96	noam464	948409
97	Skylord_Luke	941246
98	tartanboy	927309
99	1442	924668
100	NebulousBadger	923792
101	Donutt	911974
102	DAD_1996	902622
103	Deathkob	899906
104	Ev0luti0nz	891016
105	oreee	884963
106	MonitorLizards	884791
107	ColdPath	883967
108	sandmire	883141
109	Enderslayerxz3	870258
110	SoftSix	868075
111	masskedman	864074
112	07shiny	845228
113	NoChumpChange	844837
114	Kegradigm	842309
115	valkam13	837414
116	sp00ky_ghost977	834698
117	UCP_TheKingK	830717
118	AdvertisingMerc	817308
119	Invisie	809968
120	Hyugo	801269
121	Vetral1	780334
122	markaus77	766146
123	Khelvoryk	757568
124	NanoShot	756484
125	Darkgon	753040
126	xXTheWolfmanXx	744450
127	ayqq	743929
128	little_dUki	742562
129	Lutres_Torane	734990
130	xo_Marren_xo	729675
131	Freeman666	726277
132	xKhoshekh	713357
133	lewieinnit	703411
134	_AAZAR	701974
135	RosaDoesMC	694923
136	wickedword	687607
137	lOlmantschi	676844
138	Zetsey	676070
139	BreadBacon	675769
140	RatatJuice	663741
141	BobDeBouwer1337	652779
142	LordBlaze11	644009
143	Base_Tempest	641065
144	Razzgriz	635654
145	MyNameIsDakar	633516
146	IWorkAtIkea	617466
147	stahouo	614625
148	dedgt	612962
149	_3Stump_	610722
150	JustAWill_	608432
151	obtusely	605704
152	Deliriohm	603118
153	iSammael	600771
154	__TheNorseMan__	597679
155	eviltunix	597466
156	Winston_Ingram	597126
157	Awyrlas	596282
158	Crowvens	590941
159	Orcus113	590728
160	Vellu21	588000
161	xPixelRainx	586135
162	DinoDoctor_	582862
163	Xovalt_	574815
164	cringenaynaybaby	567873
165	UncleDanDan	563850
166	123louis456	559377
167	Kamflame10	558875
168	BurgerKnight	558542
169	DarkS0L	557072
170	Rich_Kat	556863
171	JitteryJared2	549519
172	Cats_Fly	545919
173	Healthing	543338
174	Studyhallsaver	540075
175	lilsay	532868
176	N7November	523066
177	awesomeweasel	514535
178	Ganongeek	513880
179	Prismyst	513848
180	Racengan	513402
181	potato292	511963
182	sammidk	509728
183	SpacesickPrism	504213
184	LitoDelvito	501802
185	Notta	500890
186	rylikesrawtoast	499231
187	iTurbo	488864
188	DarkFisto	488377
189	Steven1282598	487836
190	freeandrew	485446
191	Dogcorn69420	484515
192	ooga47	482776
193	hcb238	480840
194	SpaceTurtleOX	480080
195	Ristebraaten	475658
196	Blaiku	473439
197	mwrty	471848
198	LilcoinXX	471265
199	ivorico	471171
200	Chayula	469932
201	TheCordicus	465379
202	NYJ	465040
203	MousePlays	463702
204	Chaotic1s	463260
205	spencersolberg	462387
206	potatocan	459073
207	419mmurphy	449450
208	ayamefag	448561
209	Firecracker320	447644
210	corvidpartyfor6	443675
211	jaimshae	440647
212	Wolverine4302	439853
213	Dusk_95	439442
214	Smoke____	439216
215	FujiBS	439205
216	nut_e	438313
217	LexMakesHistory	437921
218	YahooScreen9000	433821
219	Sebaschan__	432174
220	Krimys	431690
221	privatemeekly	426664
222	kekhon	425339
223	ATrojansLegend	423853
224	jacxhadow	418286
225	Mr_Byzantine	414636
226	SyK7	414395
227	Mowelan	408509
228	Jackattack53	406734
229	epiksk8erduck	406468
230	Deodorante	406217
231	SquadMonster	406053
232	Hamsanders	403404
233	Tolhart	403148
234	carloselpapii	397460
235	KevinLikesPie	394759
236	Katsuragi0243218	394533
237	zylanzagreat	392944
238	burbankbuilder28	392922
239	wfk7	389846
240	theofiel	385836
241	duqboy	385401
242	tsitrawhy	384198
243	RodSerlingCringe	383493
244	RustyKedel	379520
245	Swalt	378368
246	nitram49b	378366
247	SharpDev	374373
248	Bazongoman	372965
249	AngalexikCZ	370073
250	drumine	369492
251	Houstonion	368934
252	CranialBlowout	366880
253	regulator75	364816
254	DaKaveMan	364461
255	LikeableSausage	364405
256	csendeslol	364234
257	CarryLine	363489
258	BasedEphex	359352
