rank	username	minecraft:dropped/minecraft:acacia_fence
1	Smoke____	203
2	beeperbeeper5	66
3	KarlKaek	65
4	eitanzaki	64
5	Kakolbus	56
6	Werbe	43
6	AssEatrAndLicker	43
8	stahouo	33
9	Ozixar	30
10	Blackberry1310	28
11	EcksD	22
12	Frozil12	20
13	Groovy_MoonBird	19
14	ProfessorBee	15
15	Vizzoid	14
15	lilsay	14
17	mariominejedi	13
17	DennyKai	13
19	Di_infiri	10
20	pintsizedrogue	9
20	ImpavidArcher	9
22	TheSecondLord	7
22	chipklip	7
22	YungMaki	7
25	Incinere	6
25	Kyrum2169	6
25	oxfordschool	6
28	Soplight	5
29	CoffeeNoir	4
29	TheSeismicDuck	4
29	Dogcorn69420	4
32	Mahoose	3
32	PortlyPete69	3
32	CoryJJ	3
32	Vellu21	3
36	Bandito_Roamer	2
36	TildaAndrea	2
36	youhjjhhhjj	2
36	Irko	2
36	gcaisawesome	2
36	MinerDec	2
36	victorLIE	2
36	lillips	2
36	Meatlaugh	2
36	fluddd	2
36	UltraZombie	2
47	Mowelan	1
47	Nucket	1
47	EMC_	1
47	baxteerr	1
47	Franco093	1
47	Swalt	1
47	Howertt	1
47	rarrq	1
47	dopplexd	1
47	WET_WET_WET	1
47	thewindmillman	1
47	fkGrim	1
47	_Karmaa	1
47	IAmTheWalrus910	1
47	Ir0npack	1
47	Njensen7	1
47	JasmineGK	1
47	TechnoNinja64	1
47	camando92	1
47	561cool	1
