rank	username	minecraft:dropped/minecraft:azalea
1	thewindmillman	18504
2	Hyp3rion_	1744
3	noam464	1176
4	Mahoose	1092
5	Jackattack53	647
6	Iamthejo	559
7	EMC_	555
8	luseis	541
9	SpacesickPrism	402
10	AdmiralSmoke	213
11	EcksD	195
12	beeperbeeper5	167
13	Inchef	142
14	eitanzaki	122
15	Alteriity	78
16	Manaateee	62
17	shadowthemonkey	49
18	PlasticOtari	35
19	SvenskaHugo	34
20	MineMaster0012	30
20	Soplight	30
22	Lez_	29
23	Nicserso	28
24	iSammael	24
25	12Magner05	23
26	AlexxO_o	21
27	non089	20
28	Mr_Byzantine	17
28	PigDab	17
30	Crowman1	13
30	Mr_Sun15	13
30	pixelviolin	13
33	UCP_TheKingK	12
33	Segotep999	12
33	EngagedGrub41	12
33	Jimb0nat0r	12
37	00000000-0000-0000-0009-01ff0c3e5e4f	11
38	tuckerdoodle	10
38	2Stout	10
38	Rebytre	10
41	itburb	9
41	SyntheticSurgeon	9
41	SuperPooch06	9
41	EtherealEspresso	9
41	LeEricc	9
46	CoffeeNoir	8
46	Krowuss	8
46	MAns_44	8
49	_Huge_Male_	7
49	Flores991	7
49	calamariclam_I	7
52	pintsizedrogue	6
52	jessewegottacook	6
52	Sleepy_Time_	6
52	TheDankPlatypus	6
52	NomadicRobin_	6
52	Fuad_R	6
52	mihimihimihi	6
52	YungMaki	6
60	hanaryheatwave	5
60	Jimi7hits	5
62	ECstardust	4
62	ITDV	4
62	SteveCraftBlocks	4
62	Kowcio_	4
66	k_ce	3
66	diamondgolem35	3
66	Smashic	3
66	groofles	3
66	fw3xy74	3
66	MilleGrug	3
66	2blox_	3
73	ShedJr_	2
73	500am	2
73	Legendosh	2
76	H0UNDFRMH3LL	1
76	Huwulling	1
76	Da_Boss_Rani	1
76	lunathelemon	1
76	fade_emerge78823	1
76	XboxPanda	1
76	Gamergirl420628	1
76	Kakolbus	1
76	Di_infiri	1
76	Skylord_Luke	1
76	zToasty69z	1
76	GooseWithin	1
76	AuroraSkies	1
76	EveryonesUncle	1
76	NameGenerat0r	1
76	AstreaTSS	1
76	Human_Resource	1
76	ConJaBz	1
76	thedreadeddream	1
76	Yahir091	1
76	CheifJumbo	1
76	AshleySpiritHawk	1
76	Heisenbberrg	1
76	mobunni	1
76	CattSoup	1
76	coobert42	1
