rank	username	minecraft:dropped/minecraft:birch_stairs
1	Uzbeki_John	290
2	EveryonesUncle	194
3	Faart	122
4	FreakGenius	115
5	AdmiralSmoke	91
6	pixelviolin	70
7	Lez_	69
8	SuperPooch06	67
9	lorpus	64
9	RoboTramp7865	64
11	ImpavidArcher	63
12	Akoot_	56
13	kekhon	54
14	ApophisNova	49
14	MyNamaSheff	49
16	Diavri	40
17	rarrq	36
18	Skylord_Luke	33
19	adeptius	31
20	Merv__	30
21	lordpipe	29
22	jcool7	28
23	Smashic	27
24	UncreativeArtist	22
25	Mr_Byzantine	21
25	SaucyDark	21
25	The11thDoctor	21
28	Ezekson	20
29	LilLizardWizard	18
30	cichy096	16
31	LeonelSalamanca	15
32	Mahoose	14
32	xzvu	14
34	Blu3beast	13
34	stavgod	13
36	SyntheticSurgeon	12
36	Ssor69	12
36	Rebytre	12
36	Werbe	12
36	TheTrueClipse	12
36	AltnumberF4	12
42	beeperbeeper5	11
43	IAmTheWalrus910	10
44	Wooptey	8
44	500am	8
44	intropass	8
44	ReverendSmith	8
44	Kokeech	8
44	fluddd	8
44	PlasticOtari	8
51	Tommhh	7
51	Chromary	7
51	Mr_Sun15	7
54	Hyp3rion_	6
54	UCP_TheKingK	6
54	BreadBacon	6
57	pr33tu	5
57	Soplight	5
59	Ryan_GEMS	4
59	CoffeeNoir	4
59	cyuar	4
59	XboxPanda	4
59	Drewen24	4
59	tyraxxx	4
59	Nateman1000	4
59	_Karmaa	4
59	Kura2218	4
59	Eraxa	4
59	djancak	4
59	h2p_emrld	4
71	Frozil20	3
71	InfernalMound	3
71	Blackberry1310	3
71	TheSecondLord	3
71	Inchef	3
71	ROY4LE	3
71	Kakolbus	3
71	thewindmillman	3
71	NameGenerat0r	3
71	Blaiku	3
71	Nicserso	3
82	Tobinator_007	2
82	I_Am_Mushkin	2
82	Sabby65	2
82	SOA1RR	2
82	xxPipperDipperxx	2
82	Krowuss	2
82	jewbacaman	2
82	lizardfightclub	2
82	stuy9	2
82	JoeSaysBingBong	2
82	Matorz	2
82	monky_irl	2
82	voiding_	2
82	ReyTheLegend	2
82	Kowcio_	2
82	anbbang	2
82	CattSoup	2
82	Zoeyfortnite	2
100	pintsizedrogue	1
100	FirsTimeGamingTV	1
100	MattieHD	1
100	_Dean_123	1
100	Trixididntdie	1
100	ItzYaBoiPicard	1
100	noam464	1
100	Arceus1975	1
100	Bumpy419	1
100	Kynigito	1
100	MonitorLizards	1
100	TheShyPig	1
100	Elastiq	1
100	wezzzi	1
100	420BreadLizard	1
100	fkGrim	1
100	NYJ	1
100	lillips	1
100	The_Quack_Dealer	1
100	JESS_THE_RERE	1
100	Manaateee	1
100	MAns_44	1
100	Groundler	1
100	LetsDoItLive	1
100	YungMaki	1
100	_TCARREIRA_	1
100	Kubeusz2010	1
100	ConnorDanky_	1
100	Legendosh	1
100	Jimb0nat0r	1
