rank	username	minecraft:dropped/minecraft:black_stained_glass
1	PigDab	9249
2	thewindmillman	8813
3	Spacewardharpy7	8438
4	Hyp3rion_	4665
5	mihimihimihi	546
6	AuroraValkyrie	512
7	Blaiku	469
8	lillips	410
9	EcksD	400
10	YungMaki	399
11	noam464	318
12	lordpipe	192
13	Onennon	191
14	MightyWertu	189
15	Kowcio_	188
16	xzvu	141
17	eitanzaki	140
17	MakeHistory157	140
19	Marbz_	129
20	seramalen	128
21	_Karmaa	110
22	sadvavilloso	99
23	diamondgolem35	78
24	Blu3beast	68
25	beeperbeeper5	66
26	Di_infiri	65
26	Werbe	65
26	CattSoup	65
29	Ezekson	64
30	RebelAndroid	63
31	TheSecondLord	61
32	Mahoose	53
32	33sudo	53
34	bladeefan2009	47
35	h2p_emrld	37
36	joethahobo	32
36	GlitchyPlate810	32
38	fluddd	22
39	The_slideV3	16
40	Zythose	15
41	pintsizedrogue	10
41	Steelynan	10
43	Inchef	9
43	Sheldor097	9
45	ShedJr_	8
45	Luminad3	8
45	Deathkob	8
45	Tyrannosplart	8
49	burbankbuilder28	7
50	NomadicRobin_	6
50	Groundler	6
50	non089	6
53	CliffEmAll	4
53	500am	4
53	Jackattack53	4
53	DTwenty	4
53	FreakGenius	4
53	AssFullaCum	4
53	jnp_gaming	4
60	Jovaphobic	3
60	Frozil20	3
60	Lez_	3
60	dartwaffle	3
60	lcvezra	3
60	fffMike	3
60	Sral7	3
67	Myszoaz	2
67	Blackberry1310	2
67	Rebytre	2
67	Dan_Scha	2
67	Akoot_	2
67	binman420	2
67	luseis	2
67	OffWithTheirHead	2
67	MovingFish7	2
67	iSammael	2
67	pixelviolin	2
78	ImpavidArcher	1
78	SaucyDark	1
78	T045RTY	1
78	rarrq	1
78	BobDeBouwer1337	1
78	kekhon	1
78	Fullut	1
78	ROY4LE	1
78	Touched_Bread	1
78	Mattesco	1
78	Posseth	1
78	Xclax101	1
78	jcool7	1
78	Kubeusz2010	1
78	Enderxz3	1
78	Smoke____	1
