rank	username	minecraft:dropped/minecraft:deepslate
1	thewindmillman	8983
2	Miko_Fullbuster	6368
3	MilleGrug	2557
4	beeperbeeper5	2533
5	hm947	2518
6	12Magner05	837
7	Lutres_Torane	674
8	Hyp3rion_	658
9	AltnumberF4	538
10	crying_wolf_13	453
11	YungMaki	446
12	Steven1282598	442
13	500am	392
14	CoffeeNoir	353
15	verynothing	333
16	TheOuterCore	263
17	Auseawesome	256
18	noam464	255
19	pintsizedrogue	251
20	Inchef	234
21	TheEnderman548	163
22	pixelviolin	161
23	lordpipe	156
24	Enderslayerxz3	141
25	Weepingbiel	130
26	ShedJr_	128
27	kekhon	124
28	MSK__	116
29	PlasticOtari	78
30	MinttyFressh	72
30	BronkerBrum	72
32	SvenskaHugo	66
33	ImpavidArcher	64
33	MineMaster0012	64
33	mobunni	64
36	EMC_	63
37	T045RTY	62
37	TAKrules	62
39	EcksD	58
40	EveryonesUncle	55
41	WYFYoyo	50
42	Deathkob	38
43	Flores991	37
44	Frozil12	36
45	gcaisawesome	31
46	MAns_44	28
46	Kowcio_	28
48	IdeallyGrey	27
49	Spacewardharpy7	25
49	Smoke____	25
51	Drlzyy	23
52	Mahoose	18
52	TheSecondLord	18
54	Dan_Scha	16
55	Legendosh	14
56	MyNameIsDakar	13
57	yulgur1	9
57	NomadicRobin_	9
59	Skylord_Luke	8
59	Skippeh	8
61	Marbz_	4
61	Racengan	4
61	Soplight	4
61	GlitchyPlate810	4
65	TheThomas69	2
65	egglapras	2
65	PigDab	2
65	Spenduh	2
69	_stets	1
69	Myszoaz	1
69	titanlax	1
69	Jackattack53	1
69	Jiminie	1
