rank	username	minecraft:dropped/minecraft:gravel
1	thewindmillman	283712
2	noam464	55410
3	Blaiku	25446
4	EcksD	24023
5	eitanzaki	20001
6	PigDab	18568
7	PhantomsGhost_	11493
8	Spacewardharpy7	10624
9	Freak_Genius	10122
10	Segotep999	8367
11	Di_infiri	6994
12	lillips	6583
13	Miko_Fullbuster	6118
14	Dedalus36	6080
15	Jackattack53	5629
16	gcaisawesome	5512
17	YungMaki	5473
18	Fullut	5010
19	TechnoNinja64	4732
20	Kubelz	4396
21	Werbe	4078
22	surfinggiraffejp	4054
23	Winklepicker279	3811
24	diamondgolem35	3476
25	Sky_light_KING	3368
26	Hyp3rion_	3330
27	12Magner05	3313
28	Cowison	3257
29	beeperbeeper5	3165
30	SvenskaAlvar	3019
31	NomadicRobin_	2966
32	kinas45y5	2601
33	lordpipe	2586
34	pintsizedrogue	2559
35	BlancoFlaco	2534
36	KarlKaek	2460
37	MeetTheWollo	2313
38	EMC_	2305
39	Bumpy419	2088
40	SaucyDark	2065
41	Awyrlas	1996
42	Skippeh	1991
43	Drlzyy	1935
44	Jiminie	1899
45	Groovy_MoonBird	1892
46	Ezekson	1766
47	livingdaydreams	1761
48	MilleGrug	1749
49	Racengan	1745
50	set67	1738
51	KG1999	1625
52	Smoke____	1602
53	alderban107	1595
54	SpaceGrenadier	1533
54	Steelynan	1533
56	The11thDoctor	1505
57	ThatMan_Dave	1460
58	TheSecondLord	1452
59	Menthas	1448
60	fluddd	1445
61	Omar_Alone	1371
62	ProfessorBee	1314
63	Blackberry1310	1285
64	RebelAndroid	1259
65	500am	1238
65	Dusk_95	1238
67	Hiryu27	1193
68	paranoid_plant	1167
69	thescout7	1139
70	jnp_gaming	1130
71	Franco093	1126
72	Maenara	1120
73	Mahoose	1119
74	Njensen7	1113
75	stahouo	1101
76	Frozil12	1046
77	Enderslayerxz3	1037
78	HesDemonPants	1031
79	Spenduh	1027
80	HolyVenom	1001
81	HellsSponge	940
82	Wooptey	938
83	claivin	919
84	MangoTheFish	918
84	Eczbek	918
86	Inchef	911
87	I_Am_Mushkin	884
88	mwrty	873
89	wezzzi	852
90	CoffeeNoir	829
90	FallenCorps	829
92	Nagasaki_Riku	828
93	_NieToksikpl_	824
93	CruncyIsTaken	824
95	Hisiste	823
96	Onennon	812
97	m_be9	792
98	Xclax101	786
99	Tobinator_007	766
100	Skylord_Luke	744
101	vandmanden	732
102	burbankbuilder28	724
103	lotarp	712
103	Typadopoulos	712
105	SUN_DREAM	708
106	Akoot_	706
107	eviltunix	699
108	awesomeoneme	698
109	JEWISHBadenBeele	695
110	Rumpletaezer	693
111	trexgb	674
112	k1ngGilgamesh	672
113	_Virify_	666
114	SkateboardR6	662
115	Euclidoris	640
116	T045RTY	638
117	rarrq	634
118	djancak	623
119	ImDisconnected_	622
120	kekhon	621
121	Paintz	616
122	GlitchyPlate810	614
123	XboxPanda	612
124	FelixPSY375	607
125	UCP_TheKingK	604
126	joethahobo	603
127	r123moore	596
127	_TCARREIRA_	596
129	NameGenerat0r	594
130	Hermanni__	593
131	_Dean_123	591
132	fw3xywashere	574
133	Invisie	568
134	Meatlaugh	563
