rank	username	minecraft:dropped/minecraft:ice
1	noam464	214019
2	EcksD	84268
3	Spacewardharpy7	31114
4	gcaisawesome	10834
5	eitanzaki	2195
6	joethahobo	2048
7	thewindmillman	1597
8	Fullut	900
9	HellsSponge	788
10	Werbe	787
11	Blaiku	748
12	Di_infiri	690
13	Sky_light_KING	506
14	12Magner05	437
15	__Auspicious	403
16	TheSecondLord	338
17	FirsTimeGamingTV	324
18	Zythose	320
19	FelixPSY375	309
20	LexMakesHistory	290
21	Mahoose	280
22	Hyp3rion_	278
23	kekhon	262
24	Sral7	204
25	Smoke____	198
26	oxfordschool	182
27	KG1999	181
28	MilleGrug	180
29	jnp_gaming	148
30	YungMaki	139
31	drumine	131
32	Akoot_	120
33	Spenduh	112
34	Eraxa	111
35	EcksDofficial	109
36	Ezekson	97
37	RebelAndroid	95
38	Arceus1975	92
39	lillips	88
40	Kubeusz2010	82
41	AshleeCW	80
41	CoffeeNoir	80
43	Onennon	65
44	ImpavidArcher	64
44	Stynxy	64
44	lordpipe	64
44	Steelynan	64
48	MightyWertu	62
49	PigDab	61
49	El_Jalapeno	61
51	Cocoamallows	59
52	lizardfightclub	57
53	starbits140	53
53	smogfrog	53
55	Awyrlas	48
56	Maenara	47
57	Bumpy419	44
58	Kkanot	40
59	mwrty	39
60	beeperbeeper5	35
61	ElKaySVK	34
62	zylanzagreat	32
62	Donutt	32
62	fffMike	32
65	CrateOfBoxes	31
66	_Boipl_	29
67	Hermanni__	26
68	thescout7	25
69	Bandito_Roamer	22
70	I_Am_Mushkin	21
70	Ze_BaronKrigler	21
72	Euclidoris	20
73	Rebytre	19
74	HolyVenom	16
75	500am	14
75	claivin	14
75	Segotep999	14
75	AltnumberF4	14
79	Drlzyy	13
79	rarrq	13
79	Lord_Jord	13
82	peachfuzz1267	12
82	EMC_	12
82	MattieHD	12
85	6king6colt6	11
85	Skylord_Luke	11
85	_naturell	11
88	SteveCraftBlocks	10
88	masskedman	10
88	voiding_	10
91	Freak_Genius	9
91	SvenskaHugo	9
91	Nicserso	9
94	diamondgolem35	8
94	Blackberry1310	8
94	Jordan_R	8
97	hm947	7
97	Winklepicker279	7
99	pintsizedrogue	6
99	set67	6
99	andy_rex	6
99	Mattesco	6
99	Skippeh	6
104	Merv__	5
104	SaucyDark	5
104	FishyBoy3811	5
104	2blox	5
108	m_be9	4
108	Kamflame10	4
108	surfinggiraffejp	4
108	Kouridragon	4
108	yulgur1	4
108	JESS_THE_RERE	4
108	Groundler	4
108	PlzNoBM	4
116	Dedalus36	3
116	BlancoFlaco	3
116	ROY4LE	3
116	SellyZ	3
116	Leyna3	3
116	RodSerlingCringe	3
116	Blu3beast	3
116	MovingFish7	3
116	layabout100	3
116	stahouo	3
116	obzii	3
127	T045RTY	2
127	MSK__	2
127	Kakolbus	2
127	Chromary	2
127	fluddd	2
127	the__Reaper4999	2
127	Racengan	2
127	h2p_emrld	2
135	_NieToksikpl_	1
135	Historical_Sand	1
135	_Dean_123	1
135	Scathra	1
135	Hanselhoof	1
135	loveseeker	1
135	Jackattack53	1
135	burbankbuilder28	1
135	sammidk	1
135	madderfall	1
135	chipklip	1
135	The_slideV3	1
135	Nycteus_	1
135	Dusk_95	1
135	SammiWolfGirl	1
135	_Yonk_	1
135	CalebDHawk	1
135	Njensen7	1
135	Enderslayerxz3	1
135	diggydog67	1
