rank	username	minecraft:dropped/minecraft:iron_block
1	KG1999	115725
2	EcksD	90762
3	noam464	87252
4	PigDab	60282
5	eitanzaki	18884
6	Spacewardharpy7	16873
7	Blaiku	12600
8	gcaisawesome	10975
9	thescout7	4724
10	Hyp3rion_	4546
11	thewindmillman	4456
12	Di_infiri	3288
13	Werbe	1904
14	lillips	1473
15	Smoke____	1417
16	Chromary	1221
17	rarrq	1198
18	lordpipe	1173
19	ayamefag	1168
20	xxPipperDipperxx	1061
21	beeperbeeper5	1043
22	mwrty	1040
23	Freak_Genius	1034
24	Soplight	947
25	Spenduh	873
26	kekhon	871
27	TechnoNinja64	854
28	fred870d	822
29	YungMaki	686
30	Kyrum2169	640
31	Blackberry1310	620
32	oxfordschool	584
33	NomadicRobin_	583
34	Blu3beast	566
35	obzii	553
36	S4tox	513
37	stahouo	501
38	Nicserso	499
39	joethahobo	491
40	Quotary	467
41	WET_WET_WET	464
42	Hisiste	452
43	Marbz_	432
44	benediktine1	419
44	Sky_light_KING	419
46	Mahoose	413
47	Enderslayerxz3	408
48	HellsSponge	386
49	_Dean_123	376
50	Hermanni__	369
51	alderban107	360
52	The_slideV3	345
53	JEWISHBadenBeele	337
54	YungWali	328
55	chipklip	323
56	EcksDofficial	322
57	Jackattack53	287
58	Akoot_	276
59	fluddd	273
59	MeetTheWollo	273
61	Shogunite	271
62	SC0RCHEDD	264
63	SammiWolfGirl	248
64	KarlKaek	224
65	I_Am_Mushkin	219
66	Steelynan	217
67	_Nuf	211
68	Wowful	200
69	PortlyPete69	198
70	fffMike	197
70	Sral7	197
72	TheSecondLord	194
73	Gundam_Steven	184
74	Aryamanee	183
75	Njensen7	174
76	Groundler	173
77	Merv__	168
78	500am	161
78	r123moore	161
80	Groovy_MoonBird	158
81	AuroraValkyrie	157
81	Ezekson	157
83	Menthas	149
84	Bumpy419	148
85	Racengan	147
86	tuckerdoodle	144
86	oreee	144
86	__tomato	144
89	Inbefour	136
90	FelixPSY375	135
91	teslawolf38	128
91	Justins_Juliet	128
91	Lord_Jord	128
94	Krasnal1337	125
95	trexgb	124
96	ImpavidArcher	116
97	ProfessorBee	113
97	MightyWertu	113
99	vandmanden	112
100	SteveWithClout	111
101	soundad	109
102	k1ngGilgamesh	106
103	Comma__	104
104	Inchef	100
105	Airem_Core	95
106	Zoeyfortnite	93
107	Warlord324	90
108	MattieHD	89
108	DemTechAlpha	89
110	Xclax101	83
111	Incinere	78
112	Snowflowe	77
113	egglapras	76
114	diamondgolem35	74
115	Masssonnn	71
116	shyshyannne	69
116	laron58	69
118	GlitchyPlate810	68
119	SaucyDark	67
119	IronyMan69	67
121	Auseawesome	66
122	EveryonesUncle	65
122	NameGenerat0r	65
124	q_wq	64
124	Euclidoris	64
124	FlashingDemon	64
124	AnnieBathory	64
124	KliBeast21	64
124	TheSeismicDuck	64
124	FlashMigma	64
124	Miko_Fullbuster	64
124	Legendosh	64
133	BumbleBeever	63
134	Kazekage	60
134	CollinMH06	60
136	Kowcio_	59
137	wobn	58
138	Zythose	56
138	jcool7	56
140	CrateOfBoxes	52
140	UrbanPlanner1978	52
142	Powowowow	51
143	HolyVenom	50
144	EMC_	49
144	JayToe	49
146	Z3braYTIL	48
146	ogoa	48
146	SkateboardR6	48
149	jacxhadow	47
149	Awyrlas	47
151	XboxPanda	46
152	Frozil12	45
152	_3Stump_	45
154	12Magner05	41
154	xo_Marren_xo	41
156	pintsizedrogue	40
156	Sleek_Storm_721	40
158	AlphaWolfPlaysMC	39
158	_Karmaa	39
158	Juk3b0x	39
158	OfficerAnvil	39
162	PhantomBionic	38
162	ApophisNova	38
162	MyNamaSheff	38
165	Crowvens	37
166	Rich_Kat	36
167	_TCARREIRA_	35
168	Bandito_Roamer	34
168	CoffeeNoir	34
168	Hiryu27	34
168	Onennon	34
172	bloodbiter	33
173	ztsy	32
173	jiggywraps	32
173	set67	32
173	DaviusMaximoose	32
173	cedric72	32
173	Stylessz	32
173	NotMeowMix	32
180	DirtyBoar	30
180	Rebytre	30
180	MousePlays	30
180	MeanTugger	30
184	FirsTimeGamingTV	28
184	m_be9	28
186	peachfuzz1267	27
186	CaptainDeadBread	27
188	jnp_gaming	26
189	SellyZ	25
190	mimbo1211	24
190	gustarbite	24
192	himak1	21
192	lcvezra	21
194	gaziter10	20
195	TooManyDuck	19
195	Kubeusz2010	19
197	_NieToksikpl_	18
197	DirtyDalle	18
197	Bloo2406	18
200	Kakolbus	17
200	aa2x_	17
200	Syropatathe	17
200	Skippeh	17
204	rpmm	16
204	Smashic	16
204	airbkane	16
207	MovingFish7	15
207	ediballbearings	15
209	H72l9w	13
209	elmer1234	13
209	tehretro	13
209	_Boipl_	13
209	Negriuke	13
209	Deodorante	13
209	TheDumbHuman	13
216	YungJakobo	12
217	SuperPooch06	10
217	sadvavilloso	10
217	CalebDHawk	10
217	HesDemonPants	10
221	Eraxa	9
222	PhantomsGhost_	8
222	Jiminbub	8
222	Soap_Bender	8
222	swimingduck	8
222	Nagasaki_Riku	8
222	TheEnderman548	8
222	Sheldor097	8
229	livingdaydreams	7
229	Gooberkid223	7
229	Ecplosive	7
229	Corbsman	7
229	The11thDoctor	7
229	IAmTheWalrus910	7
229	FishisTTV	7
236	hm947	6
236	DC_XII	6
236	501g	6
236	07shiny	6
236	ProbsNotNova	6
236	cichy096	6
236	kinas45y5	6
243	Flores991	5
243	SteveCraftBlocks	5
243	ROY4LE	5
243	Covalents	5
243	burbankbuilder28	5
243	SvenskaHugo	5
249	M_Patata	4
249	SullyhS	4
249	Sqwishy	4
249	Leyna3	4
249	Joestra	4
249	__Auspicious	4
249	MasterNueve	4
249	MilleGrug	4
249	h2p_emrld	4
258	ShedJr_	3
258	Swexti	3
258	mariominejedi	3
258	loveseeker	3
258	Skylord_Luke	3
258	fw3xywashere	3
258	GlitchMixed	3
258	xof_on_microwave	3
258	camando92	3
267	error10101	2
267	Natty	2
267	mexicancharlie	2
267	Rumpletaezer	2
267	Fast_Turtle	2
267	Forcolp	2
267	ese_wn_po	2
267	Ze_BaronKrigler	2
267	Cocoamallows	2
267	Dreamdbr14	2
267	_KuruKuru	2
267	QueenOfDirt	2
267	Yahrto	2
267	Northernrabbit	2
281	dann_n	1
281	_Virify_	1
281	dabloons	1
281	Lukeee33	1
281	BodaciousCake	1
281	T045RTY	1
281	NinjaKnifeKill	1
281	speenduhXD	1
281	Frxnkz	1
281	Nostrom	1
281	Fullut	1
281	Raxmalor	1
281	IforgotCS_Source	1
281	Jonte0599	1
281	Hail_the_wombat	1
281	Choco_Spy	1
281	ChampBoii	1
281	Deathkob	1
281	jake314810	1
281	Quincannon	1
