rank	username	minecraft:dropped/minecraft:item_frame
1	thewindmillman	8429
2	noam464	535
3	eitanzaki	531
4	lordpipe	228
5	beeperbeeper5	208
6	YungMaki	133
7	Blaiku	118
8	Freak_Genius	115
9	Werbe	109
10	Frozil12	106
11	EcksD	99
12	Comma__	86
13	Segotep999	71
14	rarrq	66
14	TheShyPig	66
16	WET_WET_WET	64
17	kekhon	63
18	thescout7	59
19	Di_infiri	52
20	Xclax101	51
21	joethahobo	48
22	Mahoose	47
23	2Stout	45
24	FishyBoy3811	42
24	jnp_gaming	42
26	Merv__	35
26	TheThomas69	35
28	Snowflowe	34
29	Blackberry1310	32
30	Sheldor097	30
30	oxfordschool	30
32	EveryonesUncle	29
33	rejenita	28
34	DarlaMeow	27
35	fluddd	26
36	VentiHilton	24
37	ImpavidArcher	22
37	lillips	22
39	Smoke____	21
40	SuperPooch06	20
41	Spacewardharpy7	19
41	TechnoNinja64	19
43	GingerNeutron	18
43	_Nuf	18
43	Inchef	18
46	Winklepicker279	17
47	_Dean_123	16
47	NomadicRobin_	16
47	NameGenerat0r	16
50	RadarHz	15
51	Nesquiczek	14
51	burbankbuilder28	14
51	MousePlays	14
51	Rasmanden	14
55	Smashic	13
55	Zoeyfortnite	13
57	PhantomsGhost_	11
57	KarlKaek	11
57	HellsSponge	11
57	Groundler	11
57	sadvavilloso	11
57	KingMatthew506	11
63	mariominejedi	10
63	Jackattack53	10
63	Skylord_Luke	10
63	StinkyDiplomat	10
67	SokaOtaku	9
67	Onennon	9
67	fred870d	9
67	CalebDHawk	9
67	Steelynan	9
72	MakeHistory157	8
73	JEWISHBadenBeele	7
73	SaucyDark	7
73	Fullut	7
73	LeGold	7
73	Blu3beast	7
73	SvenskaHugo	7
73	Kyrum2169	7
80	Arceus1975	6
80	Hyp3rion_	6
80	Kynigito	6
80	JoCoLi	6
80	ReyTheLegend	6
85	ShedJr_	5
85	Lez_	5
85	fr_ser	5
85	TheTrueClipse	5
85	censorsheep	5
85	MightyWertu	5
85	Soplight	5
85	stahouo	5
85	SammiWolfGirl	5
85	Kateesaur	5
95	JohnnyFyes	4
95	6king6colt6	4
95	I_snowy_I	4
95	Awyrlas	4
95	Ecplosive	4
95	CheesyToess	4
95	Dusk_95	4
95	Kowcio_	4
95	PlzNoBM	4
95	Nicserso	4
95	Enderslayerxz3	4
95	Powowowow	4
95	PlasticOtari	4
95	Wanjibon	4
109	TildaAndrea	3
109	Wolf_Mauler_73	3
109	diamondgolem35	3
109	Mewar	3
109	Chromary	3
109	PigDab	3
109	AlexxO_o	3
109	lizardfightclub	3
109	Sky_light_KING	3
109	Wowful	3
109	TheSeismicDuck	3
109	gustarbite	3
109	Jiminbub	3
109	MyNameIsDakar	3
109	__Auspicious	3
109	izzybearh	3
109	camando92	3
109	EcksDofficial	3
127	pintsizedrogue	2
127	Groovy_MoonBird	2
127	bigstankyy	2
127	Iagoku	2
127	ProfessorBee	2
127	500am	2
127	crying_wolf_13	2
127	Uzbeki_John	2
127	Covalents	2
127	NotKaden_	2
127	Corbsman	2
127	The11thDoctor	2
127	RobotMinion101	2
127	DScatgirls	2
127	Akoot_	2
127	binman420	2
127	masskedman	2
127	chipklip	2
127	GoofyBread	2
127	Racengan	2
127	Eraxa	2
127	djancak	2
127	SSytex_X	2
127	_Yonk_	2
127	jcool7	2
127	striker90333	2
127	tartanboy	2
127	OfficerAnvil	2
127	Lord_Lollo	2
127	vandmanden	2
127	Sral7	2
158	Bandito_Roamer	1
158	Elprone266	1
158	nataliecool	1
158	Drlzyy	1
158	AuroraValkyrie	1
158	q_wq	1
158	Dedalus36	1
158	Sabby65	1
158	_Razar	1
158	Rasplinn	1
158	T045RTY	1
158	SidorAlex	1
158	Historical_Sand	1
158	Da_Boss_Rani	1
158	chlorinex	1
158	Prodiginus	1
158	titanlax	1
158	TheSecondLord	1
158	MinttyFressh	1
158	SteveCraftBlocks	1
158	mwrty	1
158	PegLegPete93	1
158	surfinggiraffejp	1
158	ROY4LE	1
158	SellyZ	1
158	xxPipperDipperxx	1
158	gcaisawesome	1
158	LittleIan365	1
158	Jaqar	1
158	Paintz	1
158	SSneakyB	1
158	Focat	1
158	ImDisconnected_	1
158	valiSW	1
158	Rumpletaezer	1
158	Queen_Jalapeno	1
158	wTXop	1
158	Bumpy419	1
158	DAD_1996	1
158	ooga47	1
158	Mattesco	1
158	epiksk8erduck	1
158	xo_Marren_xo	1
158	brycepants	1
158	sammidk	1
158	HolyVenom	1
158	Leyna3	1
158	Maenara	1
158	ILoveCarrot	1
158	Russiancat1	1
158	thechoosenone69	1
158	Karbl	1
158	_Karmaa	1
158	claivin	1
158	Quaintster	1
158	DeGodz4life	1
158	Toriankel	1
158	cytotoxaint	1
158	Yahir091	1
158	MovingFish7	1
158	geekbird	1
158	CheifJumbo	1
158	ItsDeltaMC	1
158	33sudo	1
158	Strangemonkey71	1
158	carbo_bro	1
158	kyouma777	1
158	Spenduh	1
158	vVip3rzzz	1
158	PortlyPete69	1
158	GlitchyPlate810	1
158	Kymarmalade	1
158	Dogcorn69420	1
158	MilleGrug	1
158	_3Stump_	1
158	Hermanni__	1
158	ZoomieZoomie	1
158	TheOuterCore	1
158	Skippeh	1
158	Ezekson	1
158	Legendosh	1
158	HesDemonPants	1
158	MeetTheWollo	1
158	kinas45y5	1
158	Earlesstrain4	1
