rank	username	minecraft:dropped/minecraft:jungle_slab
1	Hyp3rion_	487
2	thewindmillman	319
3	_Virify_	202
4	SvenskaHugo	142
5	bladeefan2009	113
6	ItsColin11	111
7	EveryonesUncle	104
8	eitanzaki	82
9	Uzbeki_John	77
10	beeperbeeper5	76
11	Jackattack53	65
12	himak1	64
13	Akoot_	62
13	lillips	62
15	Prodiginus	53
16	_Nuf	45
17	KingMatthew506	44
18	Factoroni	40
19	ese_wn_po	39
20	Smoke____	31
21	El_Jalapeno	30
22	Mahoose	28
22	FreakGenius	28
24	RobotMinion101	24
24	MovingFish7	24
26	Awyrlas	21
27	ConnorDanky_	20
28	Racengan	14
28	OffWithTheirHead	14
30	the_fireminer	13
31	xzvu	12
32	Blackberry1310	11
32	Xalithia	11
34	fkGrim	9
35	TheWildMateo	8
35	fluddd	8
35	Steelynan	8
38	pintsizedrogue	6
38	seramalen	6
38	sufjanlover	6
38	Blu3beast	6
38	SammiWolfGirl	6
43	Frozil20	5
43	CoffeeNoir	5
43	titanlax	5
43	Bumpy419	5
47	AuroraValkyrie	4
47	gaziter10	4
47	TheSecondLord	4
47	Comma__	4
47	Voxin2K	4
47	SvenskaAlvar	4
47	THEKINGLyric10	4
54	PhantomsGhost_	3
54	soundad	3
54	Da_Boss_Rani	3
54	Ecplosive	3
54	MS_Pryxx	3
59	RebelAndroid	2
59	Historical_Sand	2
59	ratglock	2
59	TylerDupree	2
59	Skylord_Luke	2
59	sxc_	2
59	SaintJosie	2
59	PortlyPete69	2
59	tompup	2
59	Enderxz3	2
59	jnp_gaming	2
70	Harotio	1
70	I_Am_Mushkin	1
70	T045RTY	1
70	ZaneABrain	1
70	Lez_	1
70	MrExplorer	1
70	kekhon	1
70	SteveCraftBlocks	1
70	UnderKat	1
70	Noah_Bez	1
70	Winklepicker279	1
70	whoaluv	1
70	andy_rex	1
70	BronkerBrum	1
70	Werbe	1
70	cedric72	1
70	Kim_Jong_eel	1
70	Groundler	1
70	Typadopoulos	1
70	radioactv_jelly	1
70	Kowcio_	1
70	gusstationwerker	1
70	ProbsNotNova	1
70	ItsJunoIGuess	1
70	Hermanni__	1
