rank	username	minecraft:dropped/minecraft:jungle_trapdoor
1	Spacewardharpy7	1292
2	Inbefour	88
3	FreddyFart	69
4	AuroraValkyrie	64
5	Hyp3rion_	38
6	beeperbeeper5	35
7	Freak_Genius	31
8	Jiminie	14
9	Xalithia	7
10	_Nuf	6
10	Blu3beast	6
12	Mahoose	5
13	SvenskaHugo	4
13	Steelynan	4
13	PlasticOtari	4
16	joethahobo	3
16	kinas45y5	3
18	_Virify_	2
18	soundad	2
18	kekhon	2
18	thescout7	2
18	BronkerBrum	2
18	sxc_	2
18	EveryonesUncle	2
18	lordpipe	2
18	stellarjay	2
18	oxfordschool	2
28	teslawolf38	1
28	Swexti	1
28	Prodiginus	1
28	titanlax	1
28	noodlepack	1
28	noam464	1
28	AlexxO_o	1
28	Akoot_	1
28	yulgur1	1
28	ese_wn_po	1
28	fkGrim	1
28	JESS_THE_RERE	1
28	Typadopoulos	1
28	AssFullaCum	1
28	jcool7	1
28	Smoke____	1
