rank	username	minecraft:dropped/minecraft:lead
1	Hyp3rion_	2601
2	Mahoose	245
3	thewindmillman	224
4	YungMaki	168
5	beeperbeeper5	129
6	Blackberry1310	116
7	Alteriity	113
8	500am	103
9	Spacewardharpy7	87
10	eitanzaki	83
11	AdmiralSmoke	79
12	Jackattack53	76
12	jnp_gaming	76
14	ImpavidArcher	70
14	lordpipe	70
16	lillips	67
17	noam464	64
18	DinoDoctor_	63
19	luseis	58
20	pintsizedrogue	47
21	joethahobo	45
22	ConnorDanky_	44
23	Werbe	42
24	Akoot_	38
24	djancak	38
26	Eraxa	37
27	kekhon	33
28	Saucepeh	32
28	Jimb0nat0r	32
30	PaperCanvas	29
30	Kowcio_	29
32	Huwulling	28
33	AlexxO_o	27
33	HellsSponge	27
33	Quaintster	27
33	Blaiku	27
37	xxPipperDipperxx	26
38	Frozil20	25
38	FreakGenius	25
38	EcksD	25
41	ECstardust	24
42	Smashic	23
42	TechnoNinja64	23
44	KingMatthew506	21
45	SammiWolfGirl	19
46	SmashingPump	18
46	Segotep999	18
48	Inbefour	17
49	shadowthemonkey	16
49	Di_infiri	16
51	PhantomsGhost_	14
52	thescout7	13
53	Historical_Sand	12
53	TheSecondLord	12
53	lorpus	12
53	NomadicRobin_	12
53	Soplight	12
53	ZoomieZoomie	12
59	Chromary	11
59	hanaryheatwave	11
59	Enderxz3	11
62	Myszoaz	10
62	Arceus1975	10
62	Snowflowe	10
62	Spenduh	10
66	Merv__	9
66	Archsam	9
68	T045RTY	8
68	rarrq	8
68	TheThomas69	8
68	SteveCraftBlocks	8
68	oscminus	8
68	claivin	8
68	Blu3beast	8
68	Racengan	8
68	LeeMcGee30	8
68	Hermanni__	8
78	_Huge_Male_	6
78	Natty	6
78	MinttyFressh	6
78	MattieHD	6
78	MyNameIsJobo	6
78	Voxin2K	6
78	TheShyPig	6
78	Tyrannosplart	6
78	DarlaMeow	6
78	El_Jalapeno	6
78	jcool7	6
78	vandmanden	6
90	k_ce	5
90	H72l9w	5
90	Koffeeinz	5
90	_Dean_123	5
90	mariominejedi	5
90	CollinMH06	5
90	RobotMinion101	5
90	BRRRN179	5
90	Meatlaugh	5
90	fluddd	5
90	MightyWertu	5
90	StarCookiees_	5
90	skrongus	5
103	Alexanderjac	4
103	CLG_Kata	4
103	tramizu	4
103	Secret_Canary	4
103	Zythose	4
103	GooseWithin	4
103	EveryonesUncle	4
103	Manaateee	4
103	Groundler	4
103	monky_irl	4
103	CheifJumbo	4
103	fffMike	4
103	Kubeusz2010	4
103	Skippeh	4
103	cichy096	4
118	MunkaKris	3
118	luvcheesecake	3
118	Apollo_993	3
118	hollowww	3
118	diamondgolem35	3
118	SaucyDark	3
118	ratglock	3
118	bloodbiter	3
118	Tiberonus	3
118	LavenderBi1ch	3
118	mimbo1211	3
118	Krowuss	3
118	Rebytre	3
118	Dennid	3
118	LeonelSalamanca	3
118	sufjanlover	3
118	StinkyDiplomat	3
118	GravitySaint	3
118	SkateboardR6	3
118	Hisiste	3
118	stavgod	3
118	MineMaster0012	3
118	_i_ERROR_i_	3
118	Njensen7	3
118	alderban107	3
118	Wolverine4302	3
118	Powowowow	3
118	Wanjibon	3
146	H0UNDFRMH3LL	2
146	Batoser	2
146	Groovy_MoonBird	2
146	_Virify_	2
146	squigglybones	2
146	PazinGaming	2
146	AuroraValkyrie	2
146	teslawolf38	2
146	LovelyDane	2
146	Sleek_Storm_721	2
146	bigstankyy	2
146	Reamdin	2
146	Da_Boss_Rani	2
146	heckface	2
146	firesgal3116	2
146	Ravenbie	2
146	12Magner05	2
146	ProfessorBee	2
146	Fullut	2
146	set67	2
146	Inchef	2
146	Touched_Bread	2
146	XboxPanda	2
146	Kakolbus	2
146	Ecplosive	2
146	Marbz_	2
146	thatbeanyboi	2
146	yheece	2
146	SuperPooch06	2
146	AJplaysMC_	2
146	DAD_1996	2
146	WhosJPG	2
146	ApophisNova	2
146	DJenthousiast	2
146	F_Uhre	2
146	KeruNatsema	2
146	FishyBoy3811	2
146	zToasty69z	2
146	Luminad3	2
146	Maenara	2
146	fw3xy74	2
146	fkGrim	2
146	the_russell1611	2
146	Fuad_R	2
146	Xclax101	2
146	RedcatVII	2
146	3_Solar_3	2
146	MovingFish7	2
146	AvaRosey	2
146	MakeHistory157	2
146	NebulousBadger	2
146	Soul_Atreus	2
146	SvenskaHugo	2
146	pixelviolin	2
146	EtherealEspresso	2
146	ediballbearings	2
146	non089	2
146	PlzNoBM	2
146	Dogcorn69420	2
146	MilleGrug	2
146	laron58	2
146	MyNamaSheff	2
146	HesDemonPants	2
146	MirielThePastor	2
146	2blox_	2
146	PlasticOtari	2
146	xolstoi	2
146	calamariclam_I	2
146	WYFYoyo	2
146	561cool	2
216	heysushii	1
216	ProbablyNick	1
216	Deu_Stew	1
216	SoosAmongus	1
216	Ev0luti0nz	1
216	soundad	1
216	TildaAndrea	1
216	Ilinca_Io	1
216	6king6colt6	1
216	EkkoTraveler	1
216	ewsophie	1
216	Batman922	1
216	ZaneABrain	1
216	_AceOfSpace_	1
216	ShedJr_	1
216	Lez_	1
216	MrKrabOnCoke	1
216	gaziter10	1
216	nocturne78	1
216	Ssor69	1
216	Euclidoris	1
216	Stynxy	1
216	picardred	1
216	dopplexd	1
216	InfernalMound	1
216	Crowman1	1
216	Auseawesome	1
216	CliffEmAll	1
216	ItsHydroMC	1
216	jacxhadow	1
216	BobDeBouwer1337	1
216	Nicky_H225	1
216	eddiehobbit	1
216	zorin123	1
216	_Nuf	1
216	paranoid_plant	1
216	intropass	1
216	benediktine1	1
216	burbankbuilder28	1
216	Reneedium	1
216	pappaberg	1
216	S4tox	1
216	Mpkkiller	1
216	Bumpy419	1
216	Skylord_Luke	1
216	TheWildMateo	1
216	The11thDoctor	1
216	ooga47	1
216	Mattesco	1
216	halfwayup	1
216	Nicky19	1
216	Wowful	1
216	Meepcraft	1
216	handsome_strong	1
216	JureJurko	1
216	ewpunk	1
216	Travka100	1
216	censorsheep	1
216	Cyntrical	1
216	marumochis	1
216	the__Reaper4999	1
216	Barlycorn	1
216	Druid95	1
216	IAmTheWalrus910	1
216	WyngGoy	1
216	Kura2218	1
216	_Mythic____	1
216	kyouma777	1
216	lcvezra	1
216	Luigipunch989	1
216	PortlyPete69	1
216	Kferno	1
216	Steelynan	1
216	TheBananaKat	1
216	OfficerAnvil	1
216	Quotary	1
216	CattSoup	1
216	gooseboi_69	1
216	h2p_emrld	1
