rank	username	minecraft:dropped/minecraft:nether_wart
1	thewindmillman	64408
2	noam464	7948
3	k_ce	4349
4	EMC_	3690
5	eitanzaki	2000
6	EcksD	1347
7	ConnorDanky_	1217
7	PlasticOtari	1217
9	joethahobo	1159
10	kekhon	974
11	J03K	896
12	beeperbeeper5	745
13	Hyp3rion_	544
14	TechnoNinja64	444
15	_Nuf	411
16	Studio4x32	410
17	shadowthemonkey	397
18	rarrq	391
19	lordpipe	367
20	PigDab	361
21	doublemaki	355
22	FreakGenius	326
23	Ezekson	316
24	Huwulling	274
24	luseis	274
26	Lez_	257
27	Yamdalorian	243
28	Queen_Jalapeno	235
29	Blaiku	180
30	Arceus1975	170
31	Xclax101	168
32	NutellaPenguinz	165
33	zToasty69z	163
34	El_Jalapeno	159
35	pintsizedrogue	158
36	thescout7	146
37	Segotep999	136
38	lorpus	134
39	stavgod	131
39	TheKingK_	131
41	Snowflowe	130
42	Inbefour	128
42	KatieBelle04	128
44	Groovy_MoonBird	124
45	Cryptacity	123
46	w3nd3lbo3	115
47	cuddlyMonster	114
47	Racengan	114
49	LuvLuvLove	107
50	SammiWolfGirl	103
51	HellsSponge	96
52	set67	84
53	JayToe	82
54	Akoot_	77
55	mwrty	74
56	Zythose	73
57	AlphaWolfPlaysMC	71
58	Kakolbus	68
59	CoffeeNoir	66
59	Tyrannosplart	66
61	MSK__	65
61	MilleGrug	65
61	Nicserso	65
61	Legendosh	65
65	bl1ss0	64
65	craaaash	64
65	Jackattack53	64
65	TheShyPig	64
65	MAns_44	64
65	Spenduh	64
71	Kowcio_	63
72	Dakar_	62
73	Di_infiri	60
74	yheece	57
75	Kyrum2169	56
75	Soplight	56
77	djancak	53
78	ShedJr_	52
79	abdomera	48
79	Blackberry1310	48
79	EveryonesUncle	48
82	TheOnlyRake	45
82	taengoos	45
84	impossibleteapot	44
85	hanaryheatwave	43
86	_flud	42
87	LeeMcGee30	41
88	q_wq	40
89	elmer1234	39
89	GooseWithin	39
91	moonman169	38
92	Smashic	35
93	UncleDanDan	34
94	Secret_Canary	33
94	robonya_	33
96	Rumpletaezer	32
96	Manaateee	32
96	Kubeusz2010	32
99	Mahoose	30
99	DairyNickel756	30
101	lizardfightclub	29
102	jnp_gaming	27
103	Frozil20	25
103	Auseawesome	25
103	oscminus	25
103	claivin	25
107	Marbz_	24
107	DarlaMeow	24
109	Kynigito	17
109	Juh1s	17
111	dabloons	16
111	Houstonion	16
111	Onennon	16
111	FishisTTV	16
115	Spacewardharpy7	15
115	sea_otter_h	15
117	masskedman	14
118	RobotMinion101	12
119	lotarp	11
120	mymayowasgone	10
120	OfficerAnvil	10
122	PazinGaming	9
122	shineh10	9
122	Druid95	9
122	Luigipunch989	9
126	Bandito_Roamer	8
126	Mattesco	8
128	royal_2	7
128	zorin123	7
128	ROY4LE	7
128	ee_echo_oo	7
128	tobinwilliams	7
128	Karbl	7
134	Brewer20	6
134	soundad	6
134	Incinere	6
134	Rebytre	6
138	Tolhart	5
138	KomputerDude	5
138	M_Patata	5
138	CaptainDeadBread	5
138	iNotSpeak	5
138	Blu3beast	5
138	Leithz6	5
138	jcool7	5
146	funeralhome	4
146	Mr_Byzantine	4
146	dudcreeper	4
146	KingFaenor	4
146	Sparky_KT	4
146	Saucepeh	4
146	Fullut	4
146	fr_ser	4
146	Chromary	4
146	BeastyBoi954911	4
146	Bumpy419	4
146	epiksk8erduck	4
146	HoldThatPee	4
146	master9067	4
146	MustaLoordi	4
146	MovingFish7	4
162	Hpdinosaur	3
162	Furiuosbeast0404	3
162	Historical_Sand	3
162	Nicky_H225	3
162	fallingemma	3
162	Aerqophs	3
162	Rasmanden	3
162	Quaintster	3
162	Sheldor097	3
171	SpartanNamor	2
171	diamondgolem35	2
171	jushykins	2
171	J4k__	2
171	Maenara	2
171	pixelviolin	2
171	stijnbro	2
171	brofrickcheaters	2
171	miramyu	2
171	Skippeh	2
171	Jimb0nat0r	2
171	calamariclam_I	2
183	Cowison	1
183	T045RTY	1
183	Gregward_Smith	1
183	Euclidoris	1
183	bloodbiter	1
183	MattieHD	1
183	Pelbo	1
183	Winklepicker279	1
183	mariominejedi	1
183	Kouridragon	1
183	ougstur	1
183	aldplaysmc	1
183	LexMakesHistory	1
183	The_slideV3	1
183	Jamstroxian	1
183	Vorlice	1
183	_Mythic____	1
