rank	username	minecraft:dropped/minecraft:netherite_hoe
1	T045RTY	12
2	beeperbeeper5	10
3	Freak_Genius	9
4	Blackberry1310	8
5	kinas45y5	7
6	noam464	6
7	_NieToksikpl_	4
7	q_wq	4
7	Mahoose	4
7	kekhon	4
11	_Virify_	2
11	Spaghettatron	2
11	OtariCharlie	2
11	HolyVenom	2
11	Spacewardharpy7	2
11	Eraxa	2
11	Ezekson	2
11	oxfordschool	2
11	HesDemonPants	2
11	Smoke____	2
21	wylify	1
21	pintsizedrogue	1
21	Natofthese	1
21	Myszoaz	1
21	rarrq	1
21	set67	1
21	mwrty	1
21	cwartzo	1
21	fred870d	1
21	Akoot_	1
21	Joestra	1
21	masskedman	1
21	lillips	1
21	DarkS0L	1
21	chipklip	1
21	Blaiku	1
21	lordpipe	1
21	MakeHistory157	1
21	KG1999	1
21	Sheldor097	1
21	sebastiensaborio	1
21	Dreamdbr14	1
21	Kubeusz2010	1
21	Enderslayerxz3	1
