rank	username	minecraft:dropped/minecraft:orange_carpet
1	thewindmillman	8295
2	Hermanni__	943
3	TheSecondLord	860
4	beeperbeeper5	687
5	lordpipe	572
6	Freak_Genius	253
7	Smoke____	86
8	KingMatthew506	32
9	joethahobo	31
10	Sral7	24
11	kekhon	14
12	Blackberry1310	13
12	TechnoNinja64	13
14	EcksD	12
15	InfernalMound	8
16	obzii	6
16	oxfordschool	6
18	Fullut	5
19	SaucyDark	4
19	Mahoose	4
19	heckface	4
22	pintsizedrogue	3
22	Reamdin	3
22	YungMaki	3
25	_Virify_	2
25	Tommhh	2
25	SteveCraftBlocks	2
25	noam464	2
25	Blaiku	2
25	SkateboardR6	2
25	Spacewardharpy7	2
25	Aryamanee	2
33	eitanzaki	1
33	Historical_Sand	1
33	NomadicRobin_	1
33	MakeHistory157	1
33	Kowcio_	1
