rank	username	minecraft:dropped/minecraft:podzol
1	EcksD	1788
2	Freak_Genius	423
3	MyNameIsJobo	388
4	Onennon	319
5	Ssor69	277
6	Blackberry1310	270
7	wTXop	224
8	TheMilkerOfCats	192
9	surfinggiraffejp	157
10	HesDemonPants	148
11	Eraxa	131
12	obzii	118
13	Kowcio_	106
14	Luigipunch989	86
15	Ezekson	70
16	Historical_Sand	68
17	m_be9	64
17	Jackattack53	64
19	Mahoose	53
20	Nagasaki_Riku	48
21	sebastiensaborio	32
22	Soap_Bender	30
23	XxCookiequeenxX	27
24	rarrq	25
25	_Dean_123	22
25	burbankbuilder28	22
27	stellarjay	19
28	oxfordschool	18
29	beeperbeeper5	15
30	El_Jalapeno	14
31	kekhon	13
31	OtariCharlie	13
33	Soplight	12
34	noam464	10
34	Chromary	10
34	lordpipe	10
37	RodSerlingCringe	9
38	Werbe	8
38	AssEatrAndLicker	8
40	Groundler	6
41	500am	5
42	ProbablyNick	4
42	PhantomsGhost_	4
42	emrekn	4
42	Sheldor097	4
46	TooManyDuck	3
46	joethahobo	3
46	DTwenty	3
49	6king6colt6	2
49	RobotMinion101	2
49	silverpopcorn	2
49	AltnumberF4	2
53	Tommhh	1
53	SquadMonster	1
53	Fullut	1
53	set67	1
53	Kakolbus	1
53	Sky_light_KING	1
53	EveryonesUncle	1
53	fkGrim	1
53	_Bguette_	1
53	HellsSponge	1
53	NameGenerat0r	1
53	kyouma777	1
53	SammiWolfGirl	1
53	jnp_gaming	1
