rank	username	minecraft:dropped/minecraft:polished_blackstone_slab
1	noam464	1464
2	PigDab	626
3	eitanzaki	235
4	lillips	162
5	EveryonesUncle	78
6	YungJakobo	66
7	rarrq	65
8	TheSecondLord	35
9	Smoke____	29
10	Awyrlas	24
11	Blaiku	14
12	Chromary	12
12	Freak_Genius	12
14	beeperbeeper5	7
15	Ze_BaronKrigler	6
16	ImpavidArcher	5
17	joethahobo	4
18	kekhon	3
18	Frozil12	3
18	lordpipe	3
21	Blackberry1310	2
21	Werbe	2
21	AssEatrAndLicker	2
24	Fullut	1
24	Hyp3rion_	1
24	OtariCharlie	1
24	Akoot_	1
24	Spacewardharpy7	1
24	HesDemonPants	1
