rank	username	minecraft:dropped/minecraft:raw_iron_block
1	thewindmillman	10365
2	Kowcio_	450
3	luseis	392
4	Werbe	185
5	j5ylim	163
6	Hyp3rion_	128
7	diamondgolem35	97
8	AdmiralSmoke	72
9	Samificator	64
9	Ezekson	64
11	SvenskaHugo	62
12	xolstoi	54
13	PazinGaming	52
14	EMC_	26
14	TheBananaKat	26
16	lordpipe	18
17	fw3xy74	16
18	TAKrules	14
19	Lez_	7
20	itburb	6
21	ECstardust	5
22	Segotep999	4
23	beeperbeeper5	3
24	NieToksikpl	2
24	AlexxO_o	2
24	GooseWithin	2
27	pintsizedrogue	1
27	Groovy_MoonBird	1
27	joethahobo	1
27	fade_emerge78823	1
27	ScootOfBoot	1
27	tsitrawhy	1
27	MadmanRaven	1
