rank	username	minecraft:dropped/minecraft:red_shulker_box
1	thewindmillman	2400
2	Hyp3rion_	349
3	Lez_	62
4	Kowcio_	27
5	noam464	19
6	beeperbeeper5	18
7	kekhon	14
8	Eraxa	13
9	eitanzaki	12
9	Spacewardharpy7	12
9	lordpipe	12
12	luseis	11
12	Blu3beast	11
12	Segotep999	11
15	lillips	10
16	Mahoose	9
16	Smashic	9
16	HellsSponge	9
16	AdmiralSmoke	9
20	Soap_Bender	8
20	djancak	8
22	pintsizedrogue	7
22	Huwulling	7
22	Jimb0nat0r	7
25	PazinGaming	6
25	joethahobo	6
25	TheSecondLord	6
25	masskedman	6
25	YungMaki	6
25	UCP_TheKingK	6
25	MilleGrug	6
25	EcksD	6
33	rarrq	5
33	Jackattack53	5
33	Fuad_R	5
33	FreakGenius	5
33	Blaiku	5
38	teslawolf38	4
38	Swexti	4
38	_Nuf	4
38	Di_infiri	4
38	k1ngGilgamesh	4
38	AlexxO_o	4
38	MovingFish7	4
38	ConnorDanky_	4
38	Legendosh	4
47	nocturne78	3
47	Blackberry1310	3
47	Fullut	3
47	thescout7	3
47	KGTV	3
47	gcaisawesome	3
47	Zythose	3
47	Werbe	3
47	The_Cruncy	3
47	HolyVenom	3
47	fw3xy74	3
47	Tyrannosplart	3
47	Manaateee	3
47	MightyWertu	3
47	ayamefag	3
47	MineMaster0012	3
47	Nicserso	3
47	jnp_gaming	3
47	TechnoNinja64	3
47	camando92	3
67	k_ce	2
67	Frozil20	2
67	SaucyDark	2
67	Alteriity	2
67	bloodbiter	2
67	MattieHD	2
67	set67	2
67	4774	2
67	mwrty	2
67	r123moore	2
67	XboxPanda	2
67	Kakolbus	2
67	Chromary	2
67	hanaryheatwave	2
67	Krowuss	2
67	Mattesco	2
67	Samificator	2
67	Lord_Jord	2
67	wezzzi	2
67	NameGenerat0r	2
67	fluddd	2
67	Groundler	2
67	pixelviolin	2
67	tsitrawhy	2
67	Steelynan	2
67	CattSoup	2
67	Enderxz3	2
67	PlasticOtari	2
67	MadmanRaven	2
96	Bandito_Roamer	1
96	Merv__	1
96	ECstardust	1
96	IronArshXS	1
96	ImpavidArcher	1
96	Wooptey	1
96	ZaneABrain	1
96	CoffeeNoir	1
96	Archsam	1
96	ITDV	1
96	fr0stss	1
96	Da_Boss_Rani	1
96	InfernalMound	1
96	Crowman1	1
96	Auseawesome	1
96	_Nat666	1
96	Rich_Kat	1
96	SteveCraftBlocks	1
96	_Dean_123	1
96	Awyrlas	1
96	fade_emerge78823	1
96	Inchef	1
96	Xalithia	1
96	LeauVox4921	1
96	xxPipperDipperxx	1
96	drunkeeez	1
96	TheDankPlatypus	1
96	prizm_	1
96	Ecplosive	1
96	shadowthemonkey	1
96	Itz_DuongVN	1
96	Rebytre	1
96	oscminus	1
96	ApophisNova	1
96	TheWildMateo	1
96	Truckoss	1
96	F_Uhre	1
96	Vetral1	1
96	cedric72	1
96	groofles	1
96	GooseWithin	1
96	LeonelSalamanca	1
96	NomadicRobin_	1
96	JoeSaysBingBong	1
96	Fuhrer_Teemo	1
96	CuzIm2Kev	1
96	Lutres_	1
96	DarlaMeow	1
96	shrimp_flips	1
96	claivin	1
96	weabis	1
96	rezi	1
96	Racengan	1
96	BumbleBeever	1
96	OffWithTheirHead	1
96	SkateboardR6	1
96	Airem_Core	1
96	Dirt_Bread	1
96	sp00ky_ghost977	1
96	Burge_r	1
96	StarCookiees_	1
96	_Mythic____	1
96	Soplight	1
96	Spenduh	1
96	stellarjay	1
96	Dogcorn69420	1
96	CalebDHawk	1
96	fffMike	1
96	LeeMcGee30	1
96	Njensen7	1
96	Eczbek	1
96	Hermanni__	1
96	alderban107	1
96	TheOuterCore	1
96	MyNamaSheff	1
96	skrongus	1
96	Zoeyfortnite	1
96	xolstoi	1
96	calamariclam_I	1
96	Empresario	1
96	IsoldeB	1
