rank	username	minecraft:dropped/minecraft:shield
1	beeperbeeper5	51
2	Jackattack53	49
3	eitanzaki	37
4	_Dean_123	26
5	kekhon	25
6	FreakGenius	23
7	Akoot_	22
7	EcksD	22
9	Dan_Scha	21
10	noam464	18
11	Hyp3rion_	17
11	F_Uhre	17
13	T045RTY	15
13	joethahobo	15
15	ColeSnyder	13
15	alderban107	13
17	lotarp	12
17	rarrq	12
17	Blaiku	12
17	YungMaki	12
17	__tomato	12
22	Tyrannosplart	11
23	SmashingPump	10
23	Mahoose	10
25	Groovy_MoonBird	9
25	diamondgolem35	9
25	TheSecondLord	9
25	bladeefan2009	9
29	emrekn	8
29	Chromary	8
29	Fuad_R	8
29	Xclax101	8
29	lordpipe	8
29	xzvu	8
35	Di_infiri	7
35	Arceus1975	7
35	Snowflowe	7
35	Skylord_Luke	7
35	Maenara	7
35	Groundler	7
35	LeEricc	7
35	ConnorDanky_	7
43	6king6colt6	6
43	Incinere	6
43	Kakolbus	6
43	Rebytre	6
43	Lord_Jord	6
43	NomadicRobin_	6
43	Soap_Bender	6
43	censorsheep	6
43	Racengan	6
43	SkateboardR6	6
43	jnp_gaming	6
43	Smoke____	6
55	LeDuctTape	5
55	SaucyDark	5
55	Tolhart	5
55	slkiey	5
55	Werbe	5
55	fw3xywashere	5
55	Spacewardharpy7	5
55	Soplight	5
55	Steelynan	5
55	Legendosh	5
65	pintsizedrogue	4
65	teslawolf38	4
65	Frozil20	4
65	gren_ben	4
65	ImpavidArcher	4
65	InfernalMound	4
65	himak1	4
65	Paintz	4
65	Kubelz	4
65	MangoTheFish	4
65	Luminad3	4
65	masskedman	4
65	EveryonesUncle	4
65	luseis	4
65	monky_irl	4
65	Kyrum2169	4
65	djancak	4
65	PortlyPete69	4
65	NATE_the_HALO	4
65	Eczbek	4
65	Zoeyfortnite	4
86	Bandito_Roamer	3
86	KarlKaek	3
86	ExtraDumb	3
86	hm947	3
86	Wooptey	3
86	tsohomie	3
86	Ssor69	3
86	Euclidoris	3
86	Blackberry1310	3
86	12Magner05	3
86	Ardennes	3
86	Fullut	3
86	thescout7	3
86	Ecplosive	3
86	mariominejedi	3
86	thewindmillman	3
86	The11thDoctor	3
86	FishyBoy3811	3
86	Wowful	3
86	Joestra	3
86	DTwenty	3
86	Meatlaugh	3
86	Hisiste	3
86	IAmTheWalrus910	3
86	33sudo	3
86	Kowcio_	3
86	RealGroot	3
86	gusstationwerker	3
86	Fizznut909	3
86	PlasticOtari	3
116	weezygator	2
116	Froste131	2
116	JohnnyFyes	2
116	Jalvajar	2
116	Cowison	2
116	pZygh0st	2
116	Gemstuff	2
116	RebelAndroid	2
116	KomputerDude	2
116	ITDV	2
116	Vizzoid	2
116	Frxnkz	2
116	Cryptacity	2
116	jushykins	2
116	Jakobo1337	2
116	minersam1	2
116	Kamflame10	2
116	MindyDooWho	2
116	set67	2
116	fade_emerge78823	2
116	Xalithia	2
116	theonlymagikarp	2
116	M_Patata	2
116	GOOBERGABE04	2
116	SuperPooch06	2
116	burbankbuilder28	2
116	impossibleteapot	2
116	_Boipl_	2
116	Hiryu27	2
116	PigDab	2
116	Bl1tzFX	2
116	Gryglu583	2
116	Syropatathe	2
116	KermitTheKripple	2
116	DarlaMeow	2
116	_Karmaa	2
116	MightyWertu	2
116	GravitySaint	2
116	ItzWqlfy	2
116	halfbakedlasagna	2
116	NotMeowMix	2
116	ItsDeltaMC	2
116	Kura2218	2
116	LordSpeed37	2
116	AssFullaCum	2
116	starbits140	2
116	brofrickcheaters	2
116	Luigipunch989	2
116	Kubeusz2010	2
