rank	username	minecraft:dropped/minecraft:slime_ball
1	thewindmillman	504936
2	EcksD	86531
3	noam464	78728
4	Hyp3rion_	48981
5	Di_infiri	38817
6	mihimihimihi	20911
7	Spacewardharpy7	5290
8	joethahobo	4807
9	non089	3866
10	Frozil20	2927
11	HellsSponge	2835
12	FreakGenius	2429
13	lordpipe	2020
14	MyNameIsJobo	1992
15	eitanzaki	1728
16	gcaisawesome	1253
17	thescout7	1188
18	jnp_gaming	1026
19	Tyrannosplart	1023
20	Hisiste	1021
21	Maenara	927
22	AdmiralSmoke	798
23	beeperbeeper5	718
24	Skippeh	707
25	Blaiku	660
26	Jackattack53	618
27	Chromary	583
28	Bumpy419	564
29	Ezekson	454
30	KarlKaek	450
31	eviltunix	448
32	PigDab	404
33	TechnoNinja64	400
34	Mahoose	376
35	Segotep999	365
36	YungMaki	349
37	Onennon	297
37	ConnorDanky_	297
39	Zythose	293
40	Soplight	290
41	TheThomas69	281
42	Eraxa	268
43	Lord_Jord	252
44	Blu3beast	229
45	zToasty69z	221
46	kekhon	201
47	bloodbiter	194
48	SellyZ	157
49	AlexxO_o	152
50	Kowcio_	148
51	Muffindrake	142
52	Alteriity	138
53	Blackberry1310	135
54	TildaAndrea	128
54	bigstankyy	128
54	Racengan	128
57	Arceus1975	111
58	WyngGoy	110
59	T045RTY	106
60	NatalieTW	105
61	rarrq	101
62	Kyrum2169	98
62	PortlyPete69	98
64	RebelAndroid	92
65	hanaryheatwave	90
66	PhantomsGhost_	88
67	luseis	87
67	SammiWolfGirl	87
69	Steve897	84
70	Powowowow	83
71	Fullut	82
72	xzvu	80
73	Luminad3	79
73	Soap_Bender	79
75	k_ce	76
75	TheMilkerOfCats	76
75	ImpavidArcher	76
78	CoffeeNoir	75
78	__tomato	75
80	Enderxz3	74
81	NomadicRobin_	73
81	Dreamdbr14	73
83	The_slideV3	71
84	Deodorante	70
85	Akoot_	69
86	alderban107	67
87	Steelynan	66
88	xxPipperDipperxx	65
